,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.01721,-122.06968,Acid Drop,88,0,DH,UCSC
1,37.01723,-122.06963,Acid Drop,88,0,DH,UCSC
2,37.01713,-122.06946,Acid Drop,88,0,DH,UCSC
3,37.0171,-122.06922,Acid Drop,88,0,DH,UCSC
4,37.01705,-122.06913,Acid Drop,88,0,DH,UCSC
5,37.01707,-122.06904,Acid Drop,88,0,DH,UCSC
6,37.01714,-122.06891,Acid Drop,88,0,DH,UCSC
7,37.0172,-122.0688,Acid Drop,88,0,DH,UCSC
8,37.01728,-122.06876,Acid Drop,88,0,DH,UCSC
9,37.01732,-122.06861,Acid Drop,88,0,DH,UCSC
10,37.01738,-122.06859,Acid Drop,88,0,DH,UCSC
11,37.01745,-122.0684,Acid Drop,88,0,DH,UCSC
12,37.0174,-122.06815,Acid Drop,88,0,DH,UCSC
13,37.01738,-122.06812,Acid Drop,88,0,DH,UCSC
14,37.01735,-122.0681,Acid Drop,88,0,DH,UCSC
15,37.01742,-122.06798,Acid Drop,88,0,DH,UCSC
16,37.01745,-122.0679,Acid Drop,88,0,DH,UCSC
17,37.01745,-122.06769,Acid Drop,88,0,DH,UCSC
18,37.01749,-122.06749,Acid Drop,88,0,DH,UCSC
19,37.01751,-122.06717,Acid Drop,88,0,DH,UCSC
20,37.01754,-122.06706,Acid Drop,88,0,DH,UCSC
21,37.01752,-122.0669,Acid Drop,88,0,DH,UCSC
22,37.0173,-122.06667,Acid Drop,88,0,DH,UCSC
23,37.0173,-122.06662,Acid Drop,88,0,DH,UCSC
24,37.01726,-122.06658,Acid Drop,88,0,DH,UCSC
25,37.01726,-122.06654,Acid Drop,88,0,DH,UCSC
26,37.01739,-122.06638,Acid Drop,88,0,DH,UCSC
27,37.0174,-122.06575,Acid Drop,88,0,DH,UCSC
28,37.01743,-122.06571,Acid Drop,88,0,DH,UCSC
29,37.01744,-122.06563,Acid Drop,88,0,DH,UCSC
30,37.01742,-122.06559,Acid Drop,88,0,DH,UCSC
31,37.01742,-122.0654,Acid Drop,88,0,DH,UCSC
