,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.01955,-122.06892,Airborne,700,139,DH,UCSC
1,37.01963,-122.06869,Airborne,700,139,DH,UCSC
2,37.01965,-122.06845,Airborne,700,139,DH,UCSC
3,37.01964,-122.06821,Airborne,700,139,DH,UCSC
4,37.01984,-122.06801,Airborne,700,139,DH,UCSC
5,37.01993,-122.06789,Airborne,700,139,DH,UCSC
6,37.02002,-122.06772,Airborne,700,139,DH,UCSC
7,37.02015,-122.06754,Airborne,700,139,DH,UCSC
8,37.02034,-122.06742,Airborne,700,139,DH,UCSC
9,37.02035,-122.06728,Airborne,700,139,DH,UCSC
10,37.02039,-122.0672,Airborne,700,139,DH,UCSC
11,37.02041,-122.06695,Airborne,700,139,DH,UCSC
12,37.02034,-122.06667,Airborne,700,139,DH,UCSC
13,37.02033,-122.06645,Airborne,700,139,DH,UCSC
14,37.02042,-122.0664,Airborne,700,139,DH,UCSC
15,37.02056,-122.06629,Airborne,700,139,DH,UCSC
16,37.02072,-122.06622,Airborne,700,139,DH,UCSC
17,37.0207,-122.06632,Airborne,700,139,DH,UCSC
