,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.00295,-121.99238,Archery Range,17,0,Climb,Delavega
1,37.00301,-121.99237,Archery Range,17,0,Climb,Delavega
2,37.00308,-121.99245,Archery Range,17,0,Climb,Delavega
3,37.00317,-121.99264,Archery Range,17,0,Climb,Delavega
4,37.0033,-121.99304,Archery Range,17,0,Climb,Delavega
5,37.00333,-121.99309,Archery Range,17,0,Climb,Delavega
6,37.0034,-121.99312,Archery Range,17,0,Climb,Delavega
7,37.00344,-121.99317,Archery Range,17,0,Climb,Delavega
8,37.00353,-121.99321,Archery Range,17,0,Climb,Delavega
9,37.00364,-121.99333,Archery Range,17,0,Climb,Delavega
10,37.00373,-121.99338,Archery Range,17,0,Climb,Delavega
11,37.00379,-121.9934,Archery Range,17,0,Climb,Delavega
12,37.00382,-121.99339,Archery Range,17,0,Climb,Delavega
13,37.00395,-121.99348,Archery Range,17,0,Climb,Delavega
14,37.00401,-121.9935,Archery Range,17,0,Climb,Delavega
15,37.00416,-121.99359,Archery Range,17,0,Climb,Delavega
16,37.00426,-121.99368,Archery Range,17,0,Climb,Delavega
17,37.00445,-121.99377,Archery Range,17,0,Climb,Delavega
18,37.00472,-121.99386,Archery Range,17,0,Climb,Delavega
19,37.0048,-121.99393,Archery Range,17,0,Climb,Delavega
20,37.00484,-121.99392,Archery Range,17,0,Climb,Delavega
21,37.0049,-121.99396,Archery Range,17,0,Climb,Delavega
22,37.00498,-121.99398,Archery Range,17,0,Climb,Delavega
23,37.00502,-121.99406,Archery Range,17,0,Climb,Delavega
24,37.00507,-121.99406,Archery Range,17,0,Climb,Delavega
25,37.00507,-121.99412,Archery Range,17,0,Climb,Delavega
26,37.00509,-121.99416,Archery Range,17,0,Climb,Delavega
27,37.00509,-121.99424,Archery Range,17,0,Climb,Delavega
28,37.00506,-121.9943,Archery Range,17,0,Climb,Delavega
29,37.00497,-121.99435,Archery Range,17,0,Climb,Delavega
30,37.00493,-121.9944,Archery Range,17,0,Climb,Delavega
31,37.00491,-121.99447,Archery Range,17,0,Climb,Delavega
32,37.00485,-121.99473,Archery Range,17,0,Climb,Delavega
33,37.00487,-121.99495,Archery Range,17,0,Climb,Delavega
34,37.00492,-121.99517,Archery Range,17,0,Climb,Delavega
35,37.00503,-121.9954,Archery Range,17,0,Climb,Delavega
36,37.00516,-121.9956,Archery Range,17,0,Climb,Delavega
37,37.0052,-121.99575,Archery Range,17,0,Climb,Delavega
38,37.00528,-121.99587,Archery Range,17,0,Climb,Delavega
39,37.00526,-121.99596,Archery Range,17,0,Climb,Delavega
40,37.00531,-121.99606,Archery Range,17,0,Climb,Delavega
41,37.00546,-121.99616,Archery Range,17,0,Climb,Delavega
42,37.00564,-121.99624,Archery Range,17,0,Climb,Delavega
43,37.00582,-121.99625,Archery Range,17,0,Climb,Delavega
44,37.00599,-121.99628,Archery Range,17,0,Climb,Delavega
45,37.0061,-121.99624,Archery Range,17,0,Climb,Delavega
46,37.0062,-121.99628,Archery Range,17,0,Climb,Delavega
47,37.00627,-121.99624,Archery Range,17,0,Climb,Delavega
48,37.0064,-121.99624,Archery Range,17,0,Climb,Delavega
49,37.00648,-121.99625,Archery Range,17,0,Climb,Delavega
50,37.00665,-121.99622,Archery Range,17,0,Climb,Delavega
51,37.00691,-121.9962,Archery Range,17,0,Climb,Delavega
52,37.00699,-121.99617,Archery Range,17,0,Climb,Delavega
53,37.00705,-121.99619,Archery Range,17,0,Climb,Delavega
54,37.00718,-121.99617,Archery Range,17,0,Climb,Delavega
55,37.0073,-121.99612,Archery Range,17,0,Climb,Delavega
56,37.00735,-121.99613,Archery Range,17,0,Climb,Delavega
57,37.00744,-121.99607,Archery Range,17,0,Climb,Delavega
58,37.00755,-121.99606,Archery Range,17,0,Climb,Delavega
59,37.0076,-121.99604,Archery Range,17,0,Climb,Delavega
60,37.00781,-121.99604,Archery Range,17,0,Climb,Delavega
61,37.00785,-121.99607,Archery Range,17,0,Climb,Delavega
62,37.00788,-121.9961,Archery Range,17,0,Climb,Delavega
63,37.00789,-121.99631,Archery Range,17,0,Climb,Delavega
64,37.00784,-121.99662,Archery Range,17,0,Climb,Delavega
65,37.00782,-121.99664,Archery Range,17,0,Climb,Delavega
66,37.00765,-121.99666,Archery Range,17,0,Climb,Delavega
67,37.00753,-121.99665,Archery Range,17,0,Climb,Delavega
68,37.0073,-121.99675,Archery Range,17,0,Climb,Delavega
69,37.00728,-121.99679,Archery Range,17,0,Climb,Delavega
70,37.0073,-121.99679,Archery Range,17,0,Climb,Delavega
