,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.0096,-122.05884,B to I,54,13,DH,UCSC
1,37.00974,-122.05859,B to I,54,13,DH,UCSC
2,37.00995,-122.0583,B to I,54,13,DH,UCSC
3,37.01007,-122.05804,B to I,54,13,DH,UCSC
4,37.0101,-122.05792,B to I,54,13,DH,UCSC
5,37.01014,-122.05787,B to I,54,13,DH,UCSC
6,37.01031,-122.05771,B to I,54,13,DH,UCSC
7,37.0104,-122.05768,B to I,54,13,DH,UCSC
8,37.01043,-122.05765,B to I,54,13,DH,UCSC
9,37.01053,-122.05745,B to I,54,13,DH,UCSC
10,37.01052,-122.05711,B to I,54,13,DH,UCSC
11,37.01066,-122.05651,B to I,54,13,DH,UCSC
12,37.01074,-122.05641,B to I,54,13,DH,UCSC
13,37.01092,-122.05628,B to I,54,13,DH,UCSC
14,37.01112,-122.05635,B to I,54,13,DH,UCSC
15,37.01137,-122.05629,B to I,54,13,DH,UCSC
16,37.0114,-122.05622,B to I,54,13,DH,UCSC
