,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.07687,-121.86485,Bacon,146,80,DH,Nisene
1,37.07683,-121.8651,Bacon,146,80,DH,Nisene
2,37.07646,-121.8655,Bacon,146,80,DH,Nisene
3,37.07643,-121.86561,Bacon,146,80,DH,Nisene
4,37.07633,-121.86578,Bacon,146,80,DH,Nisene
5,37.07632,-121.86592,Bacon,146,80,DH,Nisene
6,37.07616,-121.86613,Bacon,146,80,DH,Nisene
7,37.07608,-121.86635,Bacon,146,80,DH,Nisene
8,37.07601,-121.8664,Bacon,146,80,DH,Nisene
9,37.07592,-121.86656,Bacon,146,80,DH,Nisene
10,37.07578,-121.86673,Bacon,146,80,DH,Nisene
11,37.07575,-121.86679,Bacon,146,80,DH,Nisene
12,37.07572,-121.86718,Bacon,146,80,DH,Nisene
13,37.07564,-121.86734,Bacon,146,80,DH,Nisene
14,37.07563,-121.86739,Bacon,146,80,DH,Nisene
15,37.0756,-121.86746,Bacon,146,80,DH,Nisene
16,37.07553,-121.86751,Bacon,146,80,DH,Nisene
17,37.07553,-121.86756,Bacon,146,80,DH,Nisene
18,37.07544,-121.86772,Bacon,146,80,DH,Nisene
19,37.07543,-121.8679,Bacon,146,80,DH,Nisene
20,37.07529,-121.86801,Bacon,146,80,DH,Nisene
21,37.07517,-121.86819,Bacon,146,80,DH,Nisene
22,37.07498,-121.8682,Bacon,146,80,DH,Nisene
23,37.07484,-121.86823,Bacon,146,80,DH,Nisene
24,37.07459,-121.86818,Bacon,146,80,DH,Nisene
25,37.07442,-121.86816,Bacon,146,80,DH,Nisene
26,37.0743,-121.86817,Bacon,146,80,DH,Nisene
27,37.07416,-121.86815,Bacon,146,80,DH,Nisene
28,37.07403,-121.86821,Bacon,146,80,DH,Nisene
29,37.07388,-121.8682,Bacon,146,80,DH,Nisene
30,37.07373,-121.86823,Bacon,146,80,DH,Nisene
31,37.07362,-121.86821,Bacon,146,80,DH,Nisene
32,37.07344,-121.86812,Bacon,146,80,DH,Nisene
33,37.07341,-121.86814,Bacon,146,80,DH,Nisene
34,37.07337,-121.86825,Bacon,146,80,DH,Nisene
35,37.07331,-121.86833,Bacon,146,80,DH,Nisene
36,37.07317,-121.86845,Bacon,146,80,DH,Nisene
37,37.07314,-121.86852,Bacon,146,80,DH,Nisene
38,37.07293,-121.86868,Bacon,146,80,DH,Nisene
39,37.07276,-121.86869,Bacon,146,80,DH,Nisene
40,37.07261,-121.8688,Bacon,146,80,DH,Nisene
41,37.07248,-121.86882,Bacon,146,80,DH,Nisene
42,37.07214,-121.86898,Bacon,146,80,DH,Nisene
43,37.07211,-121.86902,Bacon,146,80,DH,Nisene
44,37.07208,-121.86918,Bacon,146,80,DH,Nisene
45,37.0721,-121.86925,Bacon,146,80,DH,Nisene
46,37.07218,-121.86939,Bacon,146,80,DH,Nisene
47,37.07221,-121.86948,Bacon,146,80,DH,Nisene
48,37.0722,-121.86974,Bacon,146,80,DH,Nisene
49,37.07204,-121.86999,Bacon,146,80,DH,Nisene
50,37.07194,-121.87041,Bacon,146,80,DH,Nisene
51,37.07182,-121.87066,Bacon,146,80,DH,Nisene
52,37.07172,-121.87079,Bacon,146,80,DH,Nisene
53,37.07161,-121.87086,Bacon,146,80,DH,Nisene
54,37.07146,-121.87094,Bacon,146,80,DH,Nisene
55,37.0713,-121.87088,Bacon,146,80,DH,Nisene
56,37.07128,-121.87085,Bacon,146,80,DH,Nisene
57,37.07126,-121.87075,Bacon,146,80,DH,Nisene
58,37.0712,-121.87069,Bacon,146,80,DH,Nisene
59,37.07096,-121.87071,Bacon,146,80,DH,Nisene
60,37.07088,-121.8707,Bacon,146,80,DH,Nisene
61,37.07076,-121.87059,Bacon,146,80,DH,Nisene
62,37.07073,-121.87058,Bacon,146,80,DH,Nisene
63,37.07057,-121.87063,Bacon,146,80,DH,Nisene
64,37.0704,-121.8708,Bacon,146,80,DH,Nisene
65,37.07034,-121.87091,Bacon,146,80,DH,Nisene
66,37.07022,-121.87097,Bacon,146,80,DH,Nisene
67,37.07011,-121.87104,Bacon,146,80,DH,Nisene
68,37.06969,-121.87144,Bacon,146,80,DH,Nisene
69,37.06947,-121.87153,Bacon,146,80,DH,Nisene
70,37.06936,-121.87162,Bacon,146,80,DH,Nisene
71,37.06931,-121.87176,Bacon,146,80,DH,Nisene
72,37.06919,-121.8719,Bacon,146,80,DH,Nisene
73,37.06876,-121.87213,Bacon,146,80,DH,Nisene
74,37.0687,-121.87218,Bacon,146,80,DH,Nisene
75,37.06858,-121.8724,Bacon,146,80,DH,Nisene
