,lat,long,name,pedal_ct,ebike_ct,type,region
0,36.97009,-122.11731,Baldwin Loop,48,0,Climb,Empire/Wilder
1,36.97037,-122.11717,Baldwin Loop,48,0,Climb,Empire/Wilder
2,36.97047,-122.11717,Baldwin Loop,48,0,Climb,Empire/Wilder
3,36.97054,-122.1172,Baldwin Loop,48,0,Climb,Empire/Wilder
4,36.97063,-122.11729,Baldwin Loop,48,0,Climb,Empire/Wilder
5,36.97079,-122.11758,Baldwin Loop,48,0,Climb,Empire/Wilder
6,36.97089,-122.1177,Baldwin Loop,48,0,Climb,Empire/Wilder
7,36.97108,-122.11783,Baldwin Loop,48,0,Climb,Empire/Wilder
8,36.97135,-122.11811,Baldwin Loop,48,0,Climb,Empire/Wilder
9,36.97149,-122.1182,Baldwin Loop,48,0,Climb,Empire/Wilder
10,36.97171,-122.11822,Baldwin Loop,48,0,Climb,Empire/Wilder
11,36.97206,-122.11814,Baldwin Loop,48,0,Climb,Empire/Wilder
12,36.97247,-122.1181,Baldwin Loop,48,0,Climb,Empire/Wilder
13,36.97265,-122.11801,Baldwin Loop,48,0,Climb,Empire/Wilder
14,36.97282,-122.11786,Baldwin Loop,48,0,Climb,Empire/Wilder
15,36.9731,-122.11749,Baldwin Loop,48,0,Climb,Empire/Wilder
16,36.97323,-122.11737,Baldwin Loop,48,0,Climb,Empire/Wilder
17,36.97377,-122.11717,Baldwin Loop,48,0,Climb,Empire/Wilder
18,36.97422,-122.11703,Baldwin Loop,48,0,Climb,Empire/Wilder
19,36.97468,-122.11677,Baldwin Loop,48,0,Climb,Empire/Wilder
20,36.97533,-122.1165,Baldwin Loop,48,0,Climb,Empire/Wilder
21,36.97545,-122.11647,Baldwin Loop,48,0,Climb,Empire/Wilder
22,36.9757,-122.11636,Baldwin Loop,48,0,Climb,Empire/Wilder
23,36.97599,-122.11627,Baldwin Loop,48,0,Climb,Empire/Wilder
24,36.97615,-122.11617,Baldwin Loop,48,0,Climb,Empire/Wilder
25,36.9762,-122.1161,Baldwin Loop,48,0,Climb,Empire/Wilder
26,36.97623,-122.11595,Baldwin Loop,48,0,Climb,Empire/Wilder
27,36.97623,-122.11579,Baldwin Loop,48,0,Climb,Empire/Wilder
28,36.97618,-122.11554,Baldwin Loop,48,0,Climb,Empire/Wilder
29,36.97615,-122.11484,Baldwin Loop,48,0,Climb,Empire/Wilder
30,36.97619,-122.11469,Baldwin Loop,48,0,Climb,Empire/Wilder
31,36.97624,-122.11456,Baldwin Loop,48,0,Climb,Empire/Wilder
32,36.97632,-122.11445,Baldwin Loop,48,0,Climb,Empire/Wilder
33,36.97639,-122.11439,Baldwin Loop,48,0,Climb,Empire/Wilder
34,36.97649,-122.11434,Baldwin Loop,48,0,Climb,Empire/Wilder
35,36.97691,-122.11435,Baldwin Loop,48,0,Climb,Empire/Wilder
36,36.97713,-122.11433,Baldwin Loop,48,0,Climb,Empire/Wilder
37,36.97729,-122.11436,Baldwin Loop,48,0,Climb,Empire/Wilder
38,36.97742,-122.11442,Baldwin Loop,48,0,Climb,Empire/Wilder
39,36.97752,-122.11442,Baldwin Loop,48,0,Climb,Empire/Wilder
40,36.97788,-122.11435,Baldwin Loop,48,0,Climb,Empire/Wilder
