,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.03082,-122.12138,Barking Dogs,246,78,DH,Empire/Wilder
1,37.03069,-122.12136,Barking Dogs,246,78,DH,Empire/Wilder
2,37.03061,-122.12139,Barking Dogs,246,78,DH,Empire/Wilder
3,37.03058,-122.12143,Barking Dogs,246,78,DH,Empire/Wilder
4,37.03052,-122.12142,Barking Dogs,246,78,DH,Empire/Wilder
5,37.03045,-122.12144,Barking Dogs,246,78,DH,Empire/Wilder
6,37.03034,-122.12153,Barking Dogs,246,78,DH,Empire/Wilder
7,37.03022,-122.12157,Barking Dogs,246,78,DH,Empire/Wilder
8,37.03016,-122.12163,Barking Dogs,246,78,DH,Empire/Wilder
9,37.03006,-122.122,Barking Dogs,246,78,DH,Empire/Wilder
10,37.03002,-122.12202,Barking Dogs,246,78,DH,Empire/Wilder
11,37.03001,-122.12197,Barking Dogs,246,78,DH,Empire/Wilder
12,37.02994,-122.12192,Barking Dogs,246,78,DH,Empire/Wilder
13,37.0299,-122.12191,Barking Dogs,246,78,DH,Empire/Wilder
14,37.02969,-122.12195,Barking Dogs,246,78,DH,Empire/Wilder
15,37.02952,-122.12203,Barking Dogs,246,78,DH,Empire/Wilder
16,37.02946,-122.122,Barking Dogs,246,78,DH,Empire/Wilder
17,37.02911,-122.12168,Barking Dogs,246,78,DH,Empire/Wilder
18,37.02895,-122.12162,Barking Dogs,246,78,DH,Empire/Wilder
19,37.02888,-122.12156,Barking Dogs,246,78,DH,Empire/Wilder
20,37.02877,-122.12137,Barking Dogs,246,78,DH,Empire/Wilder
21,37.0286,-122.1212,Barking Dogs,246,78,DH,Empire/Wilder
22,37.02853,-122.12108,Barking Dogs,246,78,DH,Empire/Wilder
23,37.02839,-122.12073,Barking Dogs,246,78,DH,Empire/Wilder
24,37.02847,-122.12072,Barking Dogs,246,78,DH,Empire/Wilder
25,37.02849,-122.12067,Barking Dogs,246,78,DH,Empire/Wilder
26,37.02846,-122.1206,Barking Dogs,246,78,DH,Empire/Wilder
27,37.02845,-122.12048,Barking Dogs,246,78,DH,Empire/Wilder
28,37.02841,-122.12041,Barking Dogs,246,78,DH,Empire/Wilder
29,37.02836,-122.12034,Barking Dogs,246,78,DH,Empire/Wilder
30,37.02828,-122.12031,Barking Dogs,246,78,DH,Empire/Wilder
31,37.0282,-122.12024,Barking Dogs,246,78,DH,Empire/Wilder
32,37.02806,-122.11997,Barking Dogs,246,78,DH,Empire/Wilder
33,37.02789,-122.11971,Barking Dogs,246,78,DH,Empire/Wilder
34,37.02784,-122.11962,Barking Dogs,246,78,DH,Empire/Wilder
35,37.02793,-122.11933,Barking Dogs,246,78,DH,Empire/Wilder
36,37.02792,-122.11921,Barking Dogs,246,78,DH,Empire/Wilder
37,37.02783,-122.11914,Barking Dogs,246,78,DH,Empire/Wilder
38,37.02773,-122.11908,Barking Dogs,246,78,DH,Empire/Wilder
39,37.02765,-122.11901,Barking Dogs,246,78,DH,Empire/Wilder
40,37.02757,-122.11898,Barking Dogs,246,78,DH,Empire/Wilder
41,37.0275,-122.11898,Barking Dogs,246,78,DH,Empire/Wilder
42,37.02735,-122.11906,Barking Dogs,246,78,DH,Empire/Wilder
43,37.02723,-122.11908,Barking Dogs,246,78,DH,Empire/Wilder
44,37.0271,-122.11906,Barking Dogs,246,78,DH,Empire/Wilder
45,37.02695,-122.11898,Barking Dogs,246,78,DH,Empire/Wilder
46,37.02685,-122.11879,Barking Dogs,246,78,DH,Empire/Wilder
47,37.02681,-122.1186,Barking Dogs,246,78,DH,Empire/Wilder
48,37.02669,-122.11847,Barking Dogs,246,78,DH,Empire/Wilder
49,37.02658,-122.11844,Barking Dogs,246,78,DH,Empire/Wilder
50,37.02638,-122.11823,Barking Dogs,246,78,DH,Empire/Wilder
51,37.02625,-122.11814,Barking Dogs,246,78,DH,Empire/Wilder
52,37.02624,-122.11806,Barking Dogs,246,78,DH,Empire/Wilder
53,37.02617,-122.11793,Barking Dogs,246,78,DH,Empire/Wilder
54,37.02607,-122.11788,Barking Dogs,246,78,DH,Empire/Wilder
55,37.02585,-122.11782,Barking Dogs,246,78,DH,Empire/Wilder
56,37.02572,-122.11774,Barking Dogs,246,78,DH,Empire/Wilder
57,37.02561,-122.11762,Barking Dogs,246,78,DH,Empire/Wilder
58,37.02553,-122.11761,Barking Dogs,246,78,DH,Empire/Wilder
59,37.02541,-122.11756,Barking Dogs,246,78,DH,Empire/Wilder
60,37.02525,-122.11745,Barking Dogs,246,78,DH,Empire/Wilder
61,37.02487,-122.1169,Barking Dogs,246,78,DH,Empire/Wilder
