,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.03258,-121.92143,Berm Reynolds,23,22,DH,Buddah
1,37.03253,-121.92146,Berm Reynolds,23,22,DH,Buddah
2,37.03241,-121.92174,Berm Reynolds,23,22,DH,Buddah
3,37.03224,-121.92232,Berm Reynolds,23,22,DH,Buddah
4,37.03214,-121.92254,Berm Reynolds,23,22,DH,Buddah
5,37.03196,-121.92268,Berm Reynolds,23,22,DH,Buddah
6,37.03171,-121.92314,Berm Reynolds,23,22,DH,Buddah
7,37.03171,-121.92342,Berm Reynolds,23,22,DH,Buddah
8,37.03168,-121.92372,Berm Reynolds,23,22,DH,Buddah
9,37.03161,-121.92408,Berm Reynolds,23,22,DH,Buddah
10,37.03159,-121.92444,Berm Reynolds,23,22,DH,Buddah
11,37.03165,-121.92469,Berm Reynolds,23,22,DH,Buddah
12,37.03163,-121.92484,Berm Reynolds,23,22,DH,Buddah
13,37.0315,-121.92469,Berm Reynolds,23,22,DH,Buddah
14,37.0314,-121.92461,Berm Reynolds,23,22,DH,Buddah
15,37.03133,-121.92472,Berm Reynolds,23,22,DH,Buddah
16,37.03117,-121.92487,Berm Reynolds,23,22,DH,Buddah
17,37.03088,-121.92503,Berm Reynolds,23,22,DH,Buddah
18,37.03074,-121.92525,Berm Reynolds,23,22,DH,Buddah
19,37.03067,-121.92541,Berm Reynolds,23,22,DH,Buddah
20,37.03067,-121.92548,Berm Reynolds,23,22,DH,Buddah
21,37.03077,-121.92553,Berm Reynolds,23,22,DH,Buddah
22,37.0307,-121.9257,Berm Reynolds,23,22,DH,Buddah
23,37.03061,-121.92606,Berm Reynolds,23,22,DH,Buddah
24,37.03048,-121.92641,Berm Reynolds,23,22,DH,Buddah
25,37.0304,-121.92667,Berm Reynolds,23,22,DH,Buddah
26,37.03033,-121.92683,Berm Reynolds,23,22,DH,Buddah
27,37.03017,-121.92692,Berm Reynolds,23,22,DH,Buddah
28,37.03003,-121.92691,Berm Reynolds,23,22,DH,Buddah
29,37.02999,-121.927,Berm Reynolds,23,22,DH,Buddah
30,37.03005,-121.9271,Berm Reynolds,23,22,DH,Buddah
31,37.03013,-121.92719,Berm Reynolds,23,22,DH,Buddah
32,37.0301,-121.92733,Berm Reynolds,23,22,DH,Buddah
33,37.03001,-121.92746,Berm Reynolds,23,22,DH,Buddah
34,37.02994,-121.92753,Berm Reynolds,23,22,DH,Buddah
35,37.02981,-121.92755,Berm Reynolds,23,22,DH,Buddah
36,37.02966,-121.9276,Berm Reynolds,23,22,DH,Buddah
37,37.02964,-121.9277,Berm Reynolds,23,22,DH,Buddah
38,37.02965,-121.92783,Berm Reynolds,23,22,DH,Buddah
39,37.02958,-121.92792,Berm Reynolds,23,22,DH,Buddah
40,37.02917,-121.92787,Berm Reynolds,23,22,DH,Buddah
41,37.02895,-121.92774,Berm Reynolds,23,22,DH,Buddah
42,37.02846,-121.92775,Berm Reynolds,23,22,DH,Buddah
43,37.02822,-121.92765,Berm Reynolds,23,22,DH,Buddah
44,37.02811,-121.92756,Berm Reynolds,23,22,DH,Buddah
45,37.02792,-121.92748,Berm Reynolds,23,22,DH,Buddah
46,37.02787,-121.92743,Berm Reynolds,23,22,DH,Buddah
47,37.0279,-121.92747,Berm Reynolds,23,22,DH,Buddah
48,37.02793,-121.92761,Berm Reynolds,23,22,DH,Buddah
49,37.02788,-121.9276,Berm Reynolds,23,22,DH,Buddah
50,37.02759,-121.92766,Berm Reynolds,23,22,DH,Buddah
51,37.02743,-121.92766,Berm Reynolds,23,22,DH,Buddah
52,37.02731,-121.92762,Berm Reynolds,23,22,DH,Buddah
53,37.02724,-121.92755,Berm Reynolds,23,22,DH,Buddah
54,37.02721,-121.92746,Berm Reynolds,23,22,DH,Buddah
55,37.02721,-121.9274,Berm Reynolds,23,22,DH,Buddah
