,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.0066,-121.91586,Blacktail,78,11,DH,Nisene
1,37.00668,-121.91581,Blacktail,78,11,DH,Nisene
2,37.00688,-121.91563,Blacktail,78,11,DH,Nisene
3,37.00701,-121.91554,Blacktail,78,11,DH,Nisene
4,37.00739,-121.91536,Blacktail,78,11,DH,Nisene
5,37.00742,-121.91537,Blacktail,78,11,DH,Nisene
6,37.00746,-121.91542,Blacktail,78,11,DH,Nisene
7,37.00749,-121.9155,Blacktail,78,11,DH,Nisene
8,37.00747,-121.91562,Blacktail,78,11,DH,Nisene
9,37.00743,-121.91573,Blacktail,78,11,DH,Nisene
10,37.00743,-121.91575,Blacktail,78,11,DH,Nisene
11,37.00746,-121.91576,Blacktail,78,11,DH,Nisene
12,37.00756,-121.91576,Blacktail,78,11,DH,Nisene
13,37.00768,-121.9157,Blacktail,78,11,DH,Nisene
14,37.00782,-121.91558,Blacktail,78,11,DH,Nisene
15,37.00798,-121.91548,Blacktail,78,11,DH,Nisene
16,37.00823,-121.91542,Blacktail,78,11,DH,Nisene
17,37.00828,-121.91538,Blacktail,78,11,DH,Nisene
18,37.00838,-121.91536,Blacktail,78,11,DH,Nisene
19,37.00832,-121.91535,Blacktail,78,11,DH,Nisene
20,37.00832,-121.91542,Blacktail,78,11,DH,Nisene
21,37.00835,-121.91547,Blacktail,78,11,DH,Nisene
22,37.00838,-121.91547,Blacktail,78,11,DH,Nisene
23,37.00839,-121.91551,Blacktail,78,11,DH,Nisene
24,37.00843,-121.91549,Blacktail,78,11,DH,Nisene
25,37.00848,-121.91518,Blacktail,78,11,DH,Nisene
26,37.00856,-121.91497,Blacktail,78,11,DH,Nisene
27,37.00871,-121.91469,Blacktail,78,11,DH,Nisene
28,37.00876,-121.91464,Blacktail,78,11,DH,Nisene
29,37.00874,-121.91448,Blacktail,78,11,DH,Nisene
30,37.00875,-121.91451,Blacktail,78,11,DH,Nisene
31,37.00878,-121.9145,Blacktail,78,11,DH,Nisene
32,37.00888,-121.9144,Blacktail,78,11,DH,Nisene
33,37.00904,-121.9141,Blacktail,78,11,DH,Nisene
34,37.0091,-121.91408,Blacktail,78,11,DH,Nisene
35,37.0091,-121.91402,Blacktail,78,11,DH,Nisene
36,37.00914,-121.91391,Blacktail,78,11,DH,Nisene
37,37.00912,-121.9134,Blacktail,78,11,DH,Nisene
38,37.0091,-121.91328,Blacktail,78,11,DH,Nisene
39,37.00911,-121.91314,Blacktail,78,11,DH,Nisene
40,37.00924,-121.91289,Blacktail,78,11,DH,Nisene
41,37.00921,-121.91282,Blacktail,78,11,DH,Nisene
42,37.00912,-121.91268,Blacktail,78,11,DH,Nisene
43,37.00901,-121.91257,Blacktail,78,11,DH,Nisene
44,37.00896,-121.91247,Blacktail,78,11,DH,Nisene
45,37.00893,-121.91227,Blacktail,78,11,DH,Nisene
46,37.00893,-121.91236,Blacktail,78,11,DH,Nisene
47,37.00891,-121.9124,Blacktail,78,11,DH,Nisene
48,37.00899,-121.91231,Blacktail,78,11,DH,Nisene
49,37.00898,-121.91222,Blacktail,78,11,DH,Nisene
50,37.00913,-121.91208,Blacktail,78,11,DH,Nisene
51,37.00925,-121.91203,Blacktail,78,11,DH,Nisene
52,37.00926,-121.91198,Blacktail,78,11,DH,Nisene
53,37.00933,-121.91189,Blacktail,78,11,DH,Nisene
54,37.00936,-121.91182,Blacktail,78,11,DH,Nisene
55,37.00948,-121.91181,Blacktail,78,11,DH,Nisene
56,37.00956,-121.91177,Blacktail,78,11,DH,Nisene
57,37.0096,-121.91171,Blacktail,78,11,DH,Nisene
58,37.00972,-121.91166,Blacktail,78,11,DH,Nisene
59,37.00971,-121.91165,Blacktail,78,11,DH,Nisene
60,37.00979,-121.91161,Blacktail,78,11,DH,Nisene
61,37.00991,-121.91146,Blacktail,78,11,DH,Nisene
