,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.08024,-121.88882,Braille,292,122,DH,Demo
1,37.0803,-121.88895,Braille,292,122,DH,Demo
2,37.08026,-121.88904,Braille,292,122,DH,Demo
3,37.08028,-121.88925,Braille,292,122,DH,Demo
4,37.08032,-121.88928,Braille,292,122,DH,Demo
5,37.08032,-121.88934,Braille,292,122,DH,Demo
6,37.08025,-121.8898,Braille,292,122,DH,Demo
7,37.08029,-121.89005,Braille,292,122,DH,Demo
8,37.08029,-121.89015,Braille,292,122,DH,Demo
9,37.08018,-121.89066,Braille,292,122,DH,Demo
10,37.08018,-121.89101,Braille,292,122,DH,Demo
11,37.08027,-121.89105,Braille,292,122,DH,Demo
12,37.08031,-121.8911,Braille,292,122,DH,Demo
13,37.0804,-121.89129,Braille,292,122,DH,Demo
14,37.08045,-121.89134,Braille,292,122,DH,Demo
15,37.08059,-121.89169,Braille,292,122,DH,Demo
16,37.08067,-121.89184,Braille,292,122,DH,Demo
17,37.08071,-121.89208,Braille,292,122,DH,Demo
18,37.08073,-121.89215,Braille,292,122,DH,Demo
19,37.08089,-121.89235,Braille,292,122,DH,Demo
20,37.08105,-121.89262,Braille,292,122,DH,Demo
21,37.08108,-121.89271,Braille,292,122,DH,Demo
22,37.08109,-121.89287,Braille,292,122,DH,Demo
23,37.08112,-121.89298,Braille,292,122,DH,Demo
24,37.08119,-121.89306,Braille,292,122,DH,Demo
25,37.08124,-121.89305,Braille,292,122,DH,Demo
26,37.08132,-121.89294,Braille,292,122,DH,Demo
27,37.08144,-121.89294,Braille,292,122,DH,Demo
28,37.08162,-121.893,Braille,292,122,DH,Demo
29,37.08172,-121.89309,Braille,292,122,DH,Demo
30,37.08178,-121.89325,Braille,292,122,DH,Demo
31,37.08172,-121.89335,Braille,292,122,DH,Demo
32,37.08174,-121.89349,Braille,292,122,DH,Demo
33,37.08174,-121.89364,Braille,292,122,DH,Demo
34,37.0817,-121.8938,Braille,292,122,DH,Demo
35,37.08173,-121.89388,Braille,292,122,DH,Demo
36,37.08179,-121.89395,Braille,292,122,DH,Demo
37,37.08207,-121.89404,Braille,292,122,DH,Demo
38,37.08214,-121.89412,Braille,292,122,DH,Demo
39,37.08216,-121.89424,Braille,292,122,DH,Demo
40,37.08205,-121.89436,Braille,292,122,DH,Demo
41,37.08211,-121.8944,Braille,292,122,DH,Demo
42,37.08208,-121.89443,Braille,292,122,DH,Demo
43,37.08213,-121.89451,Braille,292,122,DH,Demo
44,37.08214,-121.89459,Braille,292,122,DH,Demo
45,37.08211,-121.89463,Braille,292,122,DH,Demo
46,37.08213,-121.89471,Braille,292,122,DH,Demo
47,37.0822,-121.8948,Braille,292,122,DH,Demo
48,37.08225,-121.89497,Braille,292,122,DH,Demo
49,37.08221,-121.89514,Braille,292,122,DH,Demo
50,37.08223,-121.89529,Braille,292,122,DH,Demo
51,37.08229,-121.89534,Braille,292,122,DH,Demo
52,37.08239,-121.89535,Braille,292,122,DH,Demo
53,37.08256,-121.8955,Braille,292,122,DH,Demo
54,37.08262,-121.89551,Braille,292,122,DH,Demo
55,37.08269,-121.89556,Braille,292,122,DH,Demo
56,37.08269,-121.89565,Braille,292,122,DH,Demo
57,37.08283,-121.89595,Braille,292,122,DH,Demo
58,37.08283,-121.89585,Braille,292,122,DH,Demo
59,37.08287,-121.89583,Braille,292,122,DH,Demo
60,37.08294,-121.89584,Braille,292,122,DH,Demo
61,37.08297,-121.89588,Braille,292,122,DH,Demo
62,37.08305,-121.89613,Braille,292,122,DH,Demo
63,37.08301,-121.89628,Braille,292,122,DH,Demo
64,37.08307,-121.89638,Braille,292,122,DH,Demo
65,37.08313,-121.89644,Braille,292,122,DH,Demo
66,37.08325,-121.89661,Braille,292,122,DH,Demo
67,37.0833,-121.89678,Braille,292,122,DH,Demo
68,37.08331,-121.89694,Braille,292,122,DH,Demo
69,37.08349,-121.89703,Braille,292,122,DH,Demo
70,37.08361,-121.89712,Braille,292,122,DH,Demo
71,37.08388,-121.89719,Braille,292,122,DH,Demo
72,37.08391,-121.89717,Braille,292,122,DH,Demo
73,37.08397,-121.89706,Braille,292,122,DH,Demo
74,37.08401,-121.89703,Braille,292,122,DH,Demo
75,37.08424,-121.89687,Braille,292,122,DH,Demo
76,37.08439,-121.89673,Braille,292,122,DH,Demo
77,37.08444,-121.89671,Braille,292,122,DH,Demo
78,37.0845,-121.89674,Braille,292,122,DH,Demo
79,37.08459,-121.89707,Braille,292,122,DH,Demo
80,37.08468,-121.89704,Braille,292,122,DH,Demo
81,37.08479,-121.89694,Braille,292,122,DH,Demo
82,37.08489,-121.89697,Braille,292,122,DH,Demo
83,37.08496,-121.89702,Braille,292,122,DH,Demo
84,37.08514,-121.89702,Braille,292,122,DH,Demo
85,37.08525,-121.89695,Braille,292,122,DH,Demo
86,37.08533,-121.89696,Braille,292,122,DH,Demo
87,37.08543,-121.897,Braille,292,122,DH,Demo
88,37.0855,-121.89713,Braille,292,122,DH,Demo
89,37.08556,-121.89796,Braille,292,122,DH,Demo
90,37.08559,-121.89802,Braille,292,122,DH,Demo
91,37.08575,-121.89809,Braille,292,122,DH,Demo
92,37.08593,-121.89832,Braille,292,122,DH,Demo
93,37.08605,-121.89835,Braille,292,122,DH,Demo
94,37.08611,-121.8984,Braille,292,122,DH,Demo
95,37.08628,-121.89845,Braille,292,122,DH,Demo
96,37.08646,-121.89837,Braille,292,122,DH,Demo
