,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.01426,-122.0843,Chinquapin,1550,46,Climb,Empire/Wilder
1,37.01437,-122.08421,Chinquapin,1550,46,Climb,Empire/Wilder
2,37.01445,-122.08411,Chinquapin,1550,46,Climb,Empire/Wilder
3,37.01452,-122.08408,Chinquapin,1550,46,Climb,Empire/Wilder
4,37.01454,-122.08405,Chinquapin,1550,46,Climb,Empire/Wilder
5,37.01466,-122.08397,Chinquapin,1550,46,Climb,Empire/Wilder
6,37.01472,-122.08395,Chinquapin,1550,46,Climb,Empire/Wilder
7,37.01475,-122.08393,Chinquapin,1550,46,Climb,Empire/Wilder
8,37.01502,-122.08383,Chinquapin,1550,46,Climb,Empire/Wilder
9,37.01527,-122.08369,Chinquapin,1550,46,Climb,Empire/Wilder
10,37.01548,-122.08366,Chinquapin,1550,46,Climb,Empire/Wilder
11,37.0156,-122.08363,Chinquapin,1550,46,Climb,Empire/Wilder
12,37.0157,-122.08358,Chinquapin,1550,46,Climb,Empire/Wilder
13,37.01577,-122.08351,Chinquapin,1550,46,Climb,Empire/Wilder
14,37.01583,-122.08339,Chinquapin,1550,46,Climb,Empire/Wilder
15,37.01595,-122.08304,Chinquapin,1550,46,Climb,Empire/Wilder
16,37.01619,-122.08242,Chinquapin,1550,46,Climb,Empire/Wilder
17,37.0163,-122.08202,Chinquapin,1550,46,Climb,Empire/Wilder
18,37.01636,-122.08188,Chinquapin,1550,46,Climb,Empire/Wilder
19,37.01658,-122.08151,Chinquapin,1550,46,Climb,Empire/Wilder
20,37.01664,-122.08126,Chinquapin,1550,46,Climb,Empire/Wilder
