,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.00288,-122.05991,College 9 Hill,12,0,Climb,UCSC
1,37.00304,-122.05964,College 9 Hill,12,0,Climb,UCSC
2,37.00308,-122.05935,College 9 Hill,12,0,Climb,UCSC
3,37.00324,-122.05902,College 9 Hill,12,0,Climb,UCSC
4,37.0032,-122.0588,College 9 Hill,12,0,Climb,UCSC
5,37.00321,-122.05876,College 9 Hill,12,0,Climb,UCSC
6,37.00335,-122.0587,College 9 Hill,12,0,Climb,UCSC
7,37.0034,-122.05871,College 9 Hill,12,0,Climb,UCSC
8,37.0035,-122.05877,College 9 Hill,12,0,Climb,UCSC
9,37.00356,-122.05879,College 9 Hill,12,0,Climb,UCSC
10,37.00363,-122.05864,College 9 Hill,12,0,Climb,UCSC
11,37.00368,-122.0586,College 9 Hill,12,0,Climb,UCSC
12,37.00377,-122.05855,College 9 Hill,12,0,Climb,UCSC
13,37.00397,-122.05807,College 9 Hill,12,0,Climb,UCSC
14,37.00424,-122.05752,College 9 Hill,12,0,Climb,UCSC
15,37.0043,-122.05732,College 9 Hill,12,0,Climb,UCSC
16,37.00428,-122.05708,College 9 Hill,12,0,Climb,UCSC
17,37.00433,-122.05704,College 9 Hill,12,0,Climb,UCSC
18,37.00452,-122.05709,College 9 Hill,12,0,Climb,UCSC
19,37.0046,-122.05713,College 9 Hill,12,0,Climb,UCSC
20,37.00469,-122.05721,College 9 Hill,12,0,Climb,UCSC
21,37.00483,-122.05738,College 9 Hill,12,0,Climb,UCSC
22,37.00489,-122.05754,College 9 Hill,12,0,Climb,UCSC
23,37.00496,-122.05785,College 9 Hill,12,0,Climb,UCSC
24,37.00496,-122.05797,College 9 Hill,12,0,Climb,UCSC
25,37.00504,-122.05822,College 9 Hill,12,0,Climb,UCSC
26,37.00506,-122.05837,College 9 Hill,12,0,Climb,UCSC
27,37.00513,-122.05848,College 9 Hill,12,0,Climb,UCSC
28,37.00528,-122.05878,College 9 Hill,12,0,Climb,UCSC
29,37.0053,-122.05888,College 9 Hill,12,0,Climb,UCSC
30,37.00541,-122.05908,College 9 Hill,12,0,Climb,UCSC
31,37.00546,-122.05939,College 9 Hill,12,0,Climb,UCSC
32,37.00566,-122.05976,College 9 Hill,12,0,Climb,UCSC
