,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.07997,-121.87301,Coral (from Nisene),-2,0,DH,Demo
1,37.08012,-121.87309,Coral (from Nisene),-2,0,DH,Demo
2,37.08028,-121.87332,Coral (from Nisene),-2,0,DH,Demo
3,37.08038,-121.87327,Coral (from Nisene),-2,0,DH,Demo
4,37.08042,-121.87328,Coral (from Nisene),-2,0,DH,Demo
5,37.08062,-121.87359,Coral (from Nisene),-2,0,DH,Demo
6,37.08083,-121.87371,Coral (from Nisene),-2,0,DH,Demo
7,37.0812,-121.87369,Coral (from Nisene),-2,0,DH,Demo
8,37.08131,-121.87365,Coral (from Nisene),-2,0,DH,Demo
9,37.08156,-121.87363,Coral (from Nisene),-2,0,DH,Demo
10,37.08181,-121.87355,Coral (from Nisene),-2,0,DH,Demo
11,37.08196,-121.87359,Coral (from Nisene),-2,0,DH,Demo
12,37.08202,-121.8737,Coral (from Nisene),-2,0,DH,Demo
13,37.08211,-121.87392,Coral (from Nisene),-2,0,DH,Demo
14,37.08213,-121.87415,Coral (from Nisene),-2,0,DH,Demo
15,37.08201,-121.87441,Coral (from Nisene),-2,0,DH,Demo
16,37.08206,-121.87445,Coral (from Nisene),-2,0,DH,Demo
17,37.08242,-121.87432,Coral (from Nisene),-2,0,DH,Demo
18,37.08268,-121.87421,Coral (from Nisene),-2,0,DH,Demo
19,37.08291,-121.87404,Coral (from Nisene),-2,0,DH,Demo
20,37.08307,-121.87389,Coral (from Nisene),-2,0,DH,Demo
21,37.08315,-121.87379,Coral (from Nisene),-2,0,DH,Demo
22,37.08326,-121.87358,Coral (from Nisene),-2,0,DH,Demo
23,37.08325,-121.87339,Coral (from Nisene),-2,0,DH,Demo
24,37.08329,-121.87339,Coral (from Nisene),-2,0,DH,Demo
25,37.08339,-121.87362,Coral (from Nisene),-2,0,DH,Demo
26,37.08349,-121.8739,Coral (from Nisene),-2,0,DH,Demo
27,37.0839,-121.87421,Coral (from Nisene),-2,0,DH,Demo
28,37.08402,-121.87439,Coral (from Nisene),-2,0,DH,Demo
29,37.08428,-121.87464,Coral (from Nisene),-2,0,DH,Demo
30,37.08434,-121.87479,Coral (from Nisene),-2,0,DH,Demo
31,37.08435,-121.87511,Coral (from Nisene),-2,0,DH,Demo
32,37.08452,-121.87524,Coral (from Nisene),-2,0,DH,Demo
33,37.08471,-121.87519,Coral (from Nisene),-2,0,DH,Demo
34,37.08481,-121.87514,Coral (from Nisene),-2,0,DH,Demo
35,37.08488,-121.87508,Coral (from Nisene),-2,0,DH,Demo
