,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.03022,-122.11106,Crankcase,25,7,DH,Empire/Wilder
1,37.03008,-122.11118,Crankcase,25,7,DH,Empire/Wilder
2,37.02995,-122.11119,Crankcase,25,7,DH,Empire/Wilder
3,37.02994,-122.11117,Crankcase,25,7,DH,Empire/Wilder
4,37.02995,-122.11118,Crankcase,25,7,DH,Empire/Wilder
5,37.02998,-122.11116,Crankcase,25,7,DH,Empire/Wilder
6,37.02999,-122.11113,Crankcase,25,7,DH,Empire/Wilder
7,37.02996,-122.11115,Crankcase,25,7,DH,Empire/Wilder
8,37.02996,-122.11118,Crankcase,25,7,DH,Empire/Wilder
9,37.02997,-122.11118,Crankcase,25,7,DH,Empire/Wilder
10,37.02997,-122.11115,Crankcase,25,7,DH,Empire/Wilder
11,37.02998,-122.11118,Crankcase,25,7,DH,Empire/Wilder
12,37.03002,-122.11117,Crankcase,25,7,DH,Empire/Wilder
13,37.02998,-122.11118,Crankcase,25,7,DH,Empire/Wilder
14,37.02998,-122.11112,Crankcase,25,7,DH,Empire/Wilder
15,37.03001,-122.1111,Crankcase,25,7,DH,Empire/Wilder
16,37.02994,-122.11109,Crankcase,25,7,DH,Empire/Wilder
17,37.02986,-122.11106,Crankcase,25,7,DH,Empire/Wilder
18,37.0298,-122.11106,Crankcase,25,7,DH,Empire/Wilder
19,37.02978,-122.11084,Crankcase,25,7,DH,Empire/Wilder
20,37.02979,-122.11085,Crankcase,25,7,DH,Empire/Wilder
21,37.02979,-122.11083,Crankcase,25,7,DH,Empire/Wilder
22,37.02978,-122.11081,Crankcase,25,7,DH,Empire/Wilder
23,37.02977,-122.11083,Crankcase,25,7,DH,Empire/Wilder
24,37.02975,-122.11081,Crankcase,25,7,DH,Empire/Wilder
25,37.02973,-122.11083,Crankcase,25,7,DH,Empire/Wilder
26,37.02973,-122.11082,Crankcase,25,7,DH,Empire/Wilder
27,37.02979,-122.11083,Crankcase,25,7,DH,Empire/Wilder
28,37.02979,-122.11091,Crankcase,25,7,DH,Empire/Wilder
29,37.0298,-122.11094,Crankcase,25,7,DH,Empire/Wilder
30,37.02981,-122.11086,Crankcase,25,7,DH,Empire/Wilder
31,37.0298,-122.11082,Crankcase,25,7,DH,Empire/Wilder
32,37.02978,-122.11081,Crankcase,25,7,DH,Empire/Wilder
33,37.02978,-122.11084,Crankcase,25,7,DH,Empire/Wilder
34,37.0298,-122.11093,Crankcase,25,7,DH,Empire/Wilder
35,37.0298,-122.11082,Crankcase,25,7,DH,Empire/Wilder
36,37.02976,-122.1108,Crankcase,25,7,DH,Empire/Wilder
37,37.02967,-122.11087,Crankcase,25,7,DH,Empire/Wilder
38,37.02952,-122.11092,Crankcase,25,7,DH,Empire/Wilder
39,37.02955,-122.1109,Crankcase,25,7,DH,Empire/Wilder
40,37.02954,-122.11088,Crankcase,25,7,DH,Empire/Wilder
41,37.0295,-122.11087,Crankcase,25,7,DH,Empire/Wilder
42,37.02949,-122.11088,Crankcase,25,7,DH,Empire/Wilder
43,37.02946,-122.11086,Crankcase,25,7,DH,Empire/Wilder
44,37.02937,-122.11077,Crankcase,25,7,DH,Empire/Wilder
45,37.02934,-122.11068,Crankcase,25,7,DH,Empire/Wilder
46,37.02935,-122.11066,Crankcase,25,7,DH,Empire/Wilder
47,37.0294,-122.11077,Crankcase,25,7,DH,Empire/Wilder
48,37.02942,-122.11079,Crankcase,25,7,DH,Empire/Wilder
49,37.0294,-122.11077,Crankcase,25,7,DH,Empire/Wilder
50,37.02938,-122.11078,Crankcase,25,7,DH,Empire/Wilder
51,37.02941,-122.11078,Crankcase,25,7,DH,Empire/Wilder
52,37.02944,-122.1108,Crankcase,25,7,DH,Empire/Wilder
53,37.0294,-122.11078,Crankcase,25,7,DH,Empire/Wilder
54,37.0294,-122.11076,Crankcase,25,7,DH,Empire/Wilder
55,37.02941,-122.11073,Crankcase,25,7,DH,Empire/Wilder
56,37.02945,-122.11071,Crankcase,25,7,DH,Empire/Wilder
57,37.02962,-122.11072,Crankcase,25,7,DH,Empire/Wilder
58,37.02966,-122.11068,Crankcase,25,7,DH,Empire/Wilder
59,37.02964,-122.11065,Crankcase,25,7,DH,Empire/Wilder
60,37.02959,-122.11059,Crankcase,25,7,DH,Empire/Wilder
61,37.0296,-122.11063,Crankcase,25,7,DH,Empire/Wilder
62,37.02959,-122.11067,Crankcase,25,7,DH,Empire/Wilder
63,37.02953,-122.11059,Crankcase,25,7,DH,Empire/Wilder
64,37.02954,-122.11058,Crankcase,25,7,DH,Empire/Wilder
65,37.02953,-122.11056,Crankcase,25,7,DH,Empire/Wilder
66,37.0295,-122.11057,Crankcase,25,7,DH,Empire/Wilder
67,37.02949,-122.1105,Crankcase,25,7,DH,Empire/Wilder
68,37.02945,-122.11051,Crankcase,25,7,DH,Empire/Wilder
69,37.02948,-122.11058,Crankcase,25,7,DH,Empire/Wilder
70,37.02946,-122.11055,Crankcase,25,7,DH,Empire/Wilder
71,37.02946,-122.11055,Crankcase,25,7,DH,Empire/Wilder
72,37.02946,-122.11049,Crankcase,25,7,DH,Empire/Wilder
73,37.02943,-122.11049,Crankcase,25,7,DH,Empire/Wilder
74,37.02944,-122.11047,Crankcase,25,7,DH,Empire/Wilder
75,37.02945,-122.11052,Crankcase,25,7,DH,Empire/Wilder
76,37.02947,-122.11053,Crankcase,25,7,DH,Empire/Wilder
77,37.02949,-122.1105,Crankcase,25,7,DH,Empire/Wilder
78,37.02945,-122.11048,Crankcase,25,7,DH,Empire/Wilder
79,37.02953,-122.11045,Crankcase,25,7,DH,Empire/Wilder
80,37.02955,-122.1104,Crankcase,25,7,DH,Empire/Wilder
81,37.02946,-122.11027,Crankcase,25,7,DH,Empire/Wilder
82,37.02939,-122.11011,Crankcase,25,7,DH,Empire/Wilder
83,37.02936,-122.11014,Crankcase,25,7,DH,Empire/Wilder
84,37.0294,-122.11011,Crankcase,25,7,DH,Empire/Wilder
85,37.02946,-122.11012,Crankcase,25,7,DH,Empire/Wilder
86,37.02951,-122.11016,Crankcase,25,7,DH,Empire/Wilder
87,37.02951,-122.11021,Crankcase,25,7,DH,Empire/Wilder
88,37.02944,-122.11019,Crankcase,25,7,DH,Empire/Wilder
89,37.02944,-122.11021,Crankcase,25,7,DH,Empire/Wilder
90,37.02931,-122.11007,Crankcase,25,7,DH,Empire/Wilder
91,37.02907,-122.10989,Crankcase,25,7,DH,Empire/Wilder
