,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.0327,-121.92145,Daisy Dukes,43,32,DH,Buddah
1,37.0327,-121.92155,Daisy Dukes,43,32,DH,Buddah
2,37.03261,-121.92206,Daisy Dukes,43,32,DH,Buddah
3,37.03261,-121.92225,Daisy Dukes,43,32,DH,Buddah
4,37.03263,-121.92236,Daisy Dukes,43,32,DH,Buddah
5,37.03266,-121.92243,Daisy Dukes,43,32,DH,Buddah
6,37.03267,-121.92253,Daisy Dukes,43,32,DH,Buddah
7,37.03257,-121.92276,Daisy Dukes,43,32,DH,Buddah
8,37.03254,-121.92308,Daisy Dukes,43,32,DH,Buddah
9,37.03254,-121.92355,Daisy Dukes,43,32,DH,Buddah
10,37.03259,-121.92373,Daisy Dukes,43,32,DH,Buddah
11,37.03261,-121.92402,Daisy Dukes,43,32,DH,Buddah
12,37.03255,-121.92483,Daisy Dukes,43,32,DH,Buddah
13,37.03256,-121.92493,Daisy Dukes,43,32,DH,Buddah
14,37.03261,-121.92514,Daisy Dukes,43,32,DH,Buddah
15,37.03264,-121.9252,Daisy Dukes,43,32,DH,Buddah
16,37.03269,-121.92527,Daisy Dukes,43,32,DH,Buddah
17,37.0327,-121.92532,Daisy Dukes,43,32,DH,Buddah
18,37.03266,-121.92585,Daisy Dukes,43,32,DH,Buddah
19,37.03269,-121.92616,Daisy Dukes,43,32,DH,Buddah
20,37.03274,-121.9264,Daisy Dukes,43,32,DH,Buddah
21,37.03286,-121.92671,Daisy Dukes,43,32,DH,Buddah
22,37.03298,-121.92687,Daisy Dukes,43,32,DH,Buddah
23,37.03301,-121.92695,Daisy Dukes,43,32,DH,Buddah
24,37.03302,-121.92734,Daisy Dukes,43,32,DH,Buddah
25,37.03329,-121.92772,Daisy Dukes,43,32,DH,Buddah
26,37.0333,-121.92782,Daisy Dukes,43,32,DH,Buddah
27,37.03311,-121.92797,Daisy Dukes,43,32,DH,Buddah
28,37.03301,-121.92799,Daisy Dukes,43,32,DH,Buddah
29,37.03295,-121.92797,Daisy Dukes,43,32,DH,Buddah
30,37.03278,-121.92789,Daisy Dukes,43,32,DH,Buddah
31,37.03256,-121.92786,Daisy Dukes,43,32,DH,Buddah
32,37.03239,-121.92778,Daisy Dukes,43,32,DH,Buddah
33,37.03233,-121.92778,Daisy Dukes,43,32,DH,Buddah
34,37.03194,-121.92765,Daisy Dukes,43,32,DH,Buddah
35,37.03188,-121.92764,Daisy Dukes,43,32,DH,Buddah
36,37.03178,-121.92767,Daisy Dukes,43,32,DH,Buddah
37,37.03168,-121.92774,Daisy Dukes,43,32,DH,Buddah
38,37.03162,-121.92775,Daisy Dukes,43,32,DH,Buddah
39,37.03155,-121.92773,Daisy Dukes,43,32,DH,Buddah
40,37.03137,-121.92773,Daisy Dukes,43,32,DH,Buddah
41,37.03132,-121.92776,Daisy Dukes,43,32,DH,Buddah
42,37.03131,-121.92782,Daisy Dukes,43,32,DH,Buddah
43,37.03134,-121.92789,Daisy Dukes,43,32,DH,Buddah
44,37.03139,-121.92793,Daisy Dukes,43,32,DH,Buddah
45,37.03148,-121.92807,Daisy Dukes,43,32,DH,Buddah
46,37.03156,-121.9283,Daisy Dukes,43,32,DH,Buddah
47,37.03176,-121.92846,Daisy Dukes,43,32,DH,Buddah
48,37.03186,-121.92862,Daisy Dukes,43,32,DH,Buddah
49,37.03185,-121.92874,Daisy Dukes,43,32,DH,Buddah
50,37.03176,-121.9288,Daisy Dukes,43,32,DH,Buddah
51,37.03131,-121.9288,Daisy Dukes,43,32,DH,Buddah
52,37.03117,-121.92877,Daisy Dukes,43,32,DH,Buddah
53,37.03113,-121.92874,Daisy Dukes,43,32,DH,Buddah
54,37.03104,-121.92871,Daisy Dukes,43,32,DH,Buddah
55,37.03098,-121.92867,Daisy Dukes,43,32,DH,Buddah
56,37.03082,-121.92847,Daisy Dukes,43,32,DH,Buddah
57,37.03048,-121.92829,Daisy Dukes,43,32,DH,Buddah
58,37.03043,-121.92823,Daisy Dukes,43,32,DH,Buddah
59,37.03037,-121.92808,Daisy Dukes,43,32,DH,Buddah
60,37.03034,-121.92805,Daisy Dukes,43,32,DH,Buddah
61,37.03026,-121.928,Daisy Dukes,43,32,DH,Buddah
62,37.03017,-121.928,Daisy Dukes,43,32,DH,Buddah
63,37.03004,-121.92803,Daisy Dukes,43,32,DH,Buddah
64,37.02996,-121.92808,Daisy Dukes,43,32,DH,Buddah
65,37.02972,-121.92818,Daisy Dukes,43,32,DH,Buddah
66,37.0296,-121.92815,Daisy Dukes,43,32,DH,Buddah
