,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.04484,-121.88551,Donut,509,216,DH,Nisene
1,37.04484,-121.88525,Donut,509,216,DH,Nisene
2,37.04478,-121.88504,Donut,509,216,DH,Nisene
3,37.04472,-121.88504,Donut,509,216,DH,Nisene
4,37.04465,-121.88509,Donut,509,216,DH,Nisene
5,37.04449,-121.88531,Donut,509,216,DH,Nisene
6,37.0443,-121.88536,Donut,509,216,DH,Nisene
7,37.04399,-121.88534,Donut,509,216,DH,Nisene
8,37.04373,-121.8854,Donut,509,216,DH,Nisene
9,37.04355,-121.88537,Donut,509,216,DH,Nisene
10,37.04347,-121.88531,Donut,509,216,DH,Nisene
11,37.04342,-121.88529,Donut,509,216,DH,Nisene
12,37.04338,-121.88529,Donut,509,216,DH,Nisene
13,37.04334,-121.88534,Donut,509,216,DH,Nisene
14,37.0432,-121.88539,Donut,509,216,DH,Nisene
15,37.04305,-121.88553,Donut,509,216,DH,Nisene
16,37.04285,-121.88561,Donut,509,216,DH,Nisene
17,37.04275,-121.88566,Donut,509,216,DH,Nisene
18,37.04269,-121.88571,Donut,509,216,DH,Nisene
19,37.04262,-121.88596,Donut,509,216,DH,Nisene
20,37.04257,-121.88608,Donut,509,216,DH,Nisene
21,37.0424,-121.8862,Donut,509,216,DH,Nisene
22,37.04231,-121.88628,Donut,509,216,DH,Nisene
23,37.04197,-121.88665,Donut,509,216,DH,Nisene
24,37.04206,-121.88701,Donut,509,216,DH,Nisene
25,37.04203,-121.88705,Donut,509,216,DH,Nisene
26,37.04193,-121.88702,Donut,509,216,DH,Nisene
27,37.04181,-121.88703,Donut,509,216,DH,Nisene
28,37.04179,-121.88705,Donut,509,216,DH,Nisene
29,37.04179,-121.88722,Donut,509,216,DH,Nisene
30,37.04185,-121.88739,Donut,509,216,DH,Nisene
31,37.04193,-121.88751,Donut,509,216,DH,Nisene
32,37.04199,-121.88765,Donut,509,216,DH,Nisene
33,37.04201,-121.8878,Donut,509,216,DH,Nisene
34,37.042,-121.88791,Donut,509,216,DH,Nisene
35,37.04196,-121.88813,Donut,509,216,DH,Nisene
36,37.04198,-121.88825,Donut,509,216,DH,Nisene
37,37.04203,-121.88834,Donut,509,216,DH,Nisene
38,37.04206,-121.88888,Donut,509,216,DH,Nisene
39,37.04204,-121.88902,Donut,509,216,DH,Nisene
40,37.04204,-121.88912,Donut,509,216,DH,Nisene
41,37.04199,-121.88929,Donut,509,216,DH,Nisene
42,37.04196,-121.88937,Donut,509,216,DH,Nisene
43,37.04197,-121.88943,Donut,509,216,DH,Nisene
44,37.04191,-121.88959,Donut,509,216,DH,Nisene
45,37.04186,-121.88984,Donut,509,216,DH,Nisene
46,37.04187,-121.89003,Donut,509,216,DH,Nisene
47,37.04189,-121.89011,Donut,509,216,DH,Nisene
48,37.04199,-121.89026,Donut,509,216,DH,Nisene
49,37.04209,-121.89057,Donut,509,216,DH,Nisene
50,37.0421,-121.89093,Donut,509,216,DH,Nisene
51,37.0422,-121.89133,Donut,509,216,DH,Nisene
52,37.04224,-121.89163,Donut,509,216,DH,Nisene
53,37.04224,-121.89168,Donut,509,216,DH,Nisene
54,37.04215,-121.89175,Donut,509,216,DH,Nisene
55,37.04206,-121.89194,Donut,509,216,DH,Nisene
56,37.042,-121.89191,Donut,509,216,DH,Nisene
57,37.04191,-121.89192,Donut,509,216,DH,Nisene
58,37.0419,-121.89196,Donut,509,216,DH,Nisene
59,37.04203,-121.89231,Donut,509,216,DH,Nisene
60,37.04203,-121.89237,Donut,509,216,DH,Nisene
61,37.04195,-121.89255,Donut,509,216,DH,Nisene
62,37.04194,-121.89266,Donut,509,216,DH,Nisene
63,37.0419,-121.89273,Donut,509,216,DH,Nisene
64,37.04177,-121.89312,Donut,509,216,DH,Nisene
65,37.04184,-121.89344,Donut,509,216,DH,Nisene
66,37.04181,-121.8936,Donut,509,216,DH,Nisene
67,37.04179,-121.89366,Donut,509,216,DH,Nisene
68,37.04165,-121.8938,Donut,509,216,DH,Nisene
69,37.04151,-121.89382,Donut,509,216,DH,Nisene
70,37.04142,-121.8939,Donut,509,216,DH,Nisene
71,37.04137,-121.89391,Donut,509,216,DH,Nisene
72,37.0413,-121.89401,Donut,509,216,DH,Nisene
73,37.04128,-121.89399,Donut,509,216,DH,Nisene
74,37.04118,-121.89399,Donut,509,216,DH,Nisene
75,37.04093,-121.89418,Donut,509,216,DH,Nisene
76,37.04075,-121.89446,Donut,509,216,DH,Nisene
77,37.04063,-121.89471,Donut,509,216,DH,Nisene
78,37.04059,-121.89475,Donut,509,216,DH,Nisene
79,37.0405,-121.89477,Donut,509,216,DH,Nisene
80,37.04045,-121.89466,Donut,509,216,DH,Nisene
81,37.04041,-121.89443,Donut,509,216,DH,Nisene
82,37.04041,-121.8943,Donut,509,216,DH,Nisene
83,37.04045,-121.89416,Donut,509,216,DH,Nisene
84,37.04042,-121.89414,Donut,509,216,DH,Nisene
85,37.04029,-121.8942,Donut,509,216,DH,Nisene
86,37.04009,-121.89426,Donut,509,216,DH,Nisene
87,37.03997,-121.89431,Donut,509,216,DH,Nisene
88,37.03981,-121.89443,Donut,509,216,DH,Nisene
89,37.03965,-121.89451,Donut,509,216,DH,Nisene
90,37.03951,-121.89457,Donut,509,216,DH,Nisene
91,37.03924,-121.89466,Donut,509,216,DH,Nisene
92,37.03871,-121.89493,Donut,509,216,DH,Nisene
93,37.03847,-121.89502,Donut,509,216,DH,Nisene
94,37.03829,-121.89515,Donut,509,216,DH,Nisene
95,37.03808,-121.8954,Donut,509,216,DH,Nisene
96,37.03798,-121.89553,Donut,509,216,DH,Nisene
97,37.03795,-121.89561,Donut,509,216,DH,Nisene
98,37.03796,-121.89565,Donut,509,216,DH,Nisene
