,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.01112,-122.06057,Downhill,-4,0,DH,UCSC
1,37.01115,-122.06056,Downhill,-4,0,DH,UCSC
2,37.01121,-122.06057,Downhill,-4,0,DH,UCSC
3,37.01139,-122.06052,Downhill,-4,0,DH,UCSC
4,37.01145,-122.06045,Downhill,-4,0,DH,UCSC
5,37.01155,-122.06051,Downhill,-4,0,DH,UCSC
6,37.0116,-122.0605,Downhill,-4,0,DH,UCSC
7,37.01172,-122.06045,Downhill,-4,0,DH,UCSC
8,37.01189,-122.06045,Downhill,-4,0,DH,UCSC
9,37.01192,-122.06042,Downhill,-4,0,DH,UCSC
10,37.01194,-122.06034,Downhill,-4,0,DH,UCSC
11,37.01191,-122.06015,Downhill,-4,0,DH,UCSC
12,37.01192,-122.06011,Downhill,-4,0,DH,UCSC
13,37.01209,-122.05959,Downhill,-4,0,DH,UCSC
14,37.01211,-122.05956,Downhill,-4,0,DH,UCSC
15,37.01214,-122.05956,Downhill,-4,0,DH,UCSC
16,37.01228,-122.05948,Downhill,-4,0,DH,UCSC
17,37.01232,-122.0594,Downhill,-4,0,DH,UCSC
18,37.01231,-122.05919,Downhill,-4,0,DH,UCSC
19,37.01225,-122.05908,Downhill,-4,0,DH,UCSC
20,37.01229,-122.05903,Downhill,-4,0,DH,UCSC
21,37.0124,-122.05912,Downhill,-4,0,DH,UCSC
22,37.01245,-122.05913,Downhill,-4,0,DH,UCSC
23,37.01265,-122.059,Downhill,-4,0,DH,UCSC
24,37.01272,-122.05904,Downhill,-4,0,DH,UCSC
25,37.01282,-122.05902,Downhill,-4,0,DH,UCSC
26,37.01306,-122.05887,Downhill,-4,0,DH,UCSC
