,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.00861,-122.05815,Dusty's,410,110,DH,UCSC
1,37.00846,-122.05807,Dusty's,410,110,DH,UCSC
2,37.00835,-122.05795,Dusty's,410,110,DH,UCSC
3,37.00827,-122.05774,Dusty's,410,110,DH,UCSC
4,37.00824,-122.05768,Dusty's,410,110,DH,UCSC
5,37.00815,-122.0576,Dusty's,410,110,DH,UCSC
6,37.00799,-122.0573,Dusty's,410,110,DH,UCSC
7,37.00797,-122.05716,Dusty's,410,110,DH,UCSC
8,37.008,-122.05688,Dusty's,410,110,DH,UCSC
9,37.00793,-122.05661,Dusty's,410,110,DH,UCSC
10,37.00788,-122.05629,Dusty's,410,110,DH,UCSC
11,37.00782,-122.05613,Dusty's,410,110,DH,UCSC
12,37.00779,-122.056,Dusty's,410,110,DH,UCSC
13,37.00779,-122.05593,Dusty's,410,110,DH,UCSC
14,37.00786,-122.05569,Dusty's,410,110,DH,UCSC
15,37.00786,-122.05561,Dusty's,410,110,DH,UCSC
16,37.00785,-122.05527,Dusty's,410,110,DH,UCSC
17,37.00792,-122.05508,Dusty's,410,110,DH,UCSC
18,37.00792,-122.05503,Dusty's,410,110,DH,UCSC
19,37.00785,-122.05468,Dusty's,410,110,DH,UCSC
20,37.00786,-122.05435,Dusty's,410,110,DH,UCSC
21,37.00783,-122.05422,Dusty's,410,110,DH,UCSC
22,37.00782,-122.054,Dusty's,410,110,DH,UCSC
23,37.00786,-122.0538,Dusty's,410,110,DH,UCSC
24,37.00784,-122.05368,Dusty's,410,110,DH,UCSC
25,37.0079,-122.05338,Dusty's,410,110,DH,UCSC
26,37.00792,-122.05337,Dusty's,410,110,DH,UCSC
27,37.00795,-122.05338,Dusty's,410,110,DH,UCSC
28,37.00799,-122.05346,Dusty's,410,110,DH,UCSC
29,37.00801,-122.05347,Dusty's,410,110,DH,UCSC
30,37.00802,-122.05345,Dusty's,410,110,DH,UCSC
31,37.00802,-122.05323,Dusty's,410,110,DH,UCSC
32,37.00805,-122.05311,Dusty's,410,110,DH,UCSC
33,37.00803,-122.05289,Dusty's,410,110,DH,UCSC
