,lat,long,name,pedal_ct,ebike_ct,type,region
0,36.9978,-122.04045,EMT Climb,1558,190,Climb,UCSC
1,36.99784,-122.04036,EMT Climb,1558,190,Climb,UCSC
2,36.99787,-122.04033,EMT Climb,1558,190,Climb,UCSC
3,36.9979,-122.04033,EMT Climb,1558,190,Climb,UCSC
4,36.99794,-122.04045,EMT Climb,1558,190,Climb,UCSC
5,36.99792,-122.04063,EMT Climb,1558,190,Climb,UCSC
6,36.99794,-122.04069,EMT Climb,1558,190,Climb,UCSC
7,36.99807,-122.04092,EMT Climb,1558,190,Climb,UCSC
8,36.99813,-122.04095,EMT Climb,1558,190,Climb,UCSC
9,36.99817,-122.04095,EMT Climb,1558,190,Climb,UCSC
10,36.99819,-122.04091,EMT Climb,1558,190,Climb,UCSC
11,36.9982,-122.04084,EMT Climb,1558,190,Climb,UCSC
12,36.99818,-122.04075,EMT Climb,1558,190,Climb,UCSC
13,36.99821,-122.04059,EMT Climb,1558,190,Climb,UCSC
14,36.99822,-122.04033,EMT Climb,1558,190,Climb,UCSC
15,36.99819,-122.04002,EMT Climb,1558,190,Climb,UCSC
16,36.99805,-122.03983,EMT Climb,1558,190,Climb,UCSC
17,36.99802,-122.03974,EMT Climb,1558,190,Climb,UCSC
18,36.998,-122.03949,EMT Climb,1558,190,Climb,UCSC
19,36.99804,-122.03932,EMT Climb,1558,190,Climb,UCSC
20,36.99815,-122.03933,EMT Climb,1558,190,Climb,UCSC
21,36.99817,-122.03936,EMT Climb,1558,190,Climb,UCSC
22,36.99821,-122.03949,EMT Climb,1558,190,Climb,UCSC
23,36.99832,-122.03969,EMT Climb,1558,190,Climb,UCSC
24,36.99849,-122.03974,EMT Climb,1558,190,Climb,UCSC
25,36.99856,-122.03981,EMT Climb,1558,190,Climb,UCSC
26,36.99861,-122.03989,EMT Climb,1558,190,Climb,UCSC
27,36.99864,-122.03992,EMT Climb,1558,190,Climb,UCSC
28,36.99866,-122.03991,EMT Climb,1558,190,Climb,UCSC
29,36.99865,-122.03965,EMT Climb,1558,190,Climb,UCSC
30,36.99858,-122.03937,EMT Climb,1558,190,Climb,UCSC
31,36.99859,-122.03913,EMT Climb,1558,190,Climb,UCSC
32,36.99851,-122.03878,EMT Climb,1558,190,Climb,UCSC
33,36.99852,-122.03871,EMT Climb,1558,190,Climb,UCSC
34,36.99854,-122.03871,EMT Climb,1558,190,Climb,UCSC
35,36.99875,-122.03896,EMT Climb,1558,190,Climb,UCSC
36,36.99884,-122.03916,EMT Climb,1558,190,Climb,UCSC
37,36.99891,-122.03925,EMT Climb,1558,190,Climb,UCSC
38,36.99894,-122.03932,EMT Climb,1558,190,Climb,UCSC
39,36.99901,-122.03941,EMT Climb,1558,190,Climb,UCSC
40,36.9991,-122.03949,EMT Climb,1558,190,Climb,UCSC
41,36.99927,-122.03975,EMT Climb,1558,190,Climb,UCSC
42,36.99938,-122.03977,EMT Climb,1558,190,Climb,UCSC
43,36.99967,-122.0397,EMT Climb,1558,190,Climb,UCSC
44,36.99982,-122.03972,EMT Climb,1558,190,Climb,UCSC
45,37.00029,-122.04017,EMT Climb,1558,190,Climb,UCSC
46,37.00034,-122.04025,EMT Climb,1558,190,Climb,UCSC
47,37.0004,-122.0404,EMT Climb,1558,190,Climb,UCSC
48,37.00054,-122.04034,EMT Climb,1558,190,Climb,UCSC
49,37.00057,-122.04036,EMT Climb,1558,190,Climb,UCSC
50,37.00052,-122.04066,EMT Climb,1558,190,Climb,UCSC
51,37.00053,-122.04067,EMT Climb,1558,190,Climb,UCSC
52,37.00064,-122.04051,EMT Climb,1558,190,Climb,UCSC
53,37.00072,-122.04044,EMT Climb,1558,190,Climb,UCSC
54,37.00075,-122.04045,EMT Climb,1558,190,Climb,UCSC
55,37.00079,-122.04048,EMT Climb,1558,190,Climb,UCSC
56,37.00081,-122.0405,EMT Climb,1558,190,Climb,UCSC
57,37.00078,-122.04068,EMT Climb,1558,190,Climb,UCSC
58,37.00078,-122.04095,EMT Climb,1558,190,Climb,UCSC
59,37.00081,-122.0411,EMT Climb,1558,190,Climb,UCSC
60,37.0009,-122.04137,EMT Climb,1558,190,Climb,UCSC
61,37.00092,-122.04161,EMT Climb,1558,190,Climb,UCSC
62,37.00091,-122.04162,EMT Climb,1558,190,Climb,UCSC
63,37.0009,-122.04159,EMT Climb,1558,190,Climb,UCSC
64,37.00096,-122.04146,EMT Climb,1558,190,Climb,UCSC
65,37.00098,-122.04131,EMT Climb,1558,190,Climb,UCSC
66,37.00097,-122.04121,EMT Climb,1558,190,Climb,UCSC
67,37.00099,-122.04105,EMT Climb,1558,190,Climb,UCSC
68,37.00109,-122.04088,EMT Climb,1558,190,Climb,UCSC
69,37.00112,-122.04087,EMT Climb,1558,190,Climb,UCSC
70,37.00115,-122.04088,EMT Climb,1558,190,Climb,UCSC
71,37.00117,-122.0409,EMT Climb,1558,190,Climb,UCSC
72,37.00119,-122.04113,EMT Climb,1558,190,Climb,UCSC
73,37.00128,-122.04128,EMT Climb,1558,190,Climb,UCSC
74,37.00135,-122.04154,EMT Climb,1558,190,Climb,UCSC
75,37.00134,-122.04166,EMT Climb,1558,190,Climb,UCSC
76,37.00146,-122.04146,EMT Climb,1558,190,Climb,UCSC
77,37.00152,-122.04132,EMT Climb,1558,190,Climb,UCSC
78,37.00163,-122.04115,EMT Climb,1558,190,Climb,UCSC
79,37.00168,-122.0411,EMT Climb,1558,190,Climb,UCSC
80,37.00175,-122.04107,EMT Climb,1558,190,Climb,UCSC
81,37.00186,-122.04112,EMT Climb,1558,190,Climb,UCSC
82,37.00198,-122.04122,EMT Climb,1558,190,Climb,UCSC
83,37.00213,-122.04141,EMT Climb,1558,190,Climb,UCSC
84,37.00219,-122.04146,EMT Climb,1558,190,Climb,UCSC
85,37.00226,-122.04157,EMT Climb,1558,190,Climb,UCSC
86,37.00231,-122.04158,EMT Climb,1558,190,Climb,UCSC
