,lat,long,name,pedal_ct,ebike_ct,type,region
0,36.99775,-122.04102,EMT DH,1021,0,DH,UCSC
1,36.99771,-122.04073,EMT DH,1021,0,DH,UCSC
2,36.99774,-122.04037,EMT DH,1021,0,DH,UCSC
3,36.99771,-122.04021,EMT DH,1021,0,DH,UCSC
4,36.99767,-122.04004,EMT DH,1021,0,DH,UCSC
5,36.99763,-122.04004,EMT DH,1021,0,DH,UCSC
6,36.99759,-122.03994,EMT DH,1021,0,DH,UCSC
7,36.99747,-122.03978,EMT DH,1021,0,DH,UCSC
8,36.99745,-122.03973,EMT DH,1021,0,DH,UCSC
9,36.99746,-122.03965,EMT DH,1021,0,DH,UCSC
10,36.99745,-122.03961,EMT DH,1021,0,DH,UCSC
11,36.99736,-122.03963,EMT DH,1021,0,DH,UCSC
12,36.99729,-122.03961,EMT DH,1021,0,DH,UCSC
13,36.99728,-122.03955,EMT DH,1021,0,DH,UCSC
14,36.99701,-122.03924,EMT DH,1021,0,DH,UCSC
15,36.99694,-122.0391,EMT DH,1021,0,DH,UCSC
16,36.99668,-122.03906,EMT DH,1021,0,DH,UCSC
17,36.99663,-122.03901,EMT DH,1021,0,DH,UCSC
18,36.99652,-122.03898,EMT DH,1021,0,DH,UCSC
19,36.99645,-122.03887,EMT DH,1021,0,DH,UCSC
20,36.99639,-122.03882,EMT DH,1021,0,DH,UCSC
21,36.99631,-122.03865,EMT DH,1021,0,DH,UCSC
22,36.99625,-122.03846,EMT DH,1021,0,DH,UCSC
23,36.99619,-122.03834,EMT DH,1021,0,DH,UCSC
24,36.99617,-122.03824,EMT DH,1021,0,DH,UCSC
25,36.99608,-122.03809,EMT DH,1021,0,DH,UCSC
26,36.99602,-122.03796,EMT DH,1021,0,DH,UCSC
27,36.99593,-122.03779,EMT DH,1021,0,DH,UCSC
28,36.99582,-122.03774,EMT DH,1021,0,DH,UCSC
29,36.99578,-122.0376,EMT DH,1021,0,DH,UCSC
30,36.99567,-122.0375,EMT DH,1021,0,DH,UCSC
31,36.9956,-122.0374,EMT DH,1021,0,DH,UCSC
32,36.99553,-122.03736,EMT DH,1021,0,DH,UCSC
33,36.99539,-122.03729,EMT DH,1021,0,DH,UCSC
34,36.99527,-122.03729,EMT DH,1021,0,DH,UCSC
35,36.99518,-122.03721,EMT DH,1021,0,DH,UCSC
36,36.99511,-122.03723,EMT DH,1021,0,DH,UCSC
37,36.99499,-122.03714,EMT DH,1021,0,DH,UCSC
38,36.99475,-122.03712,EMT DH,1021,0,DH,UCSC
39,36.99462,-122.03715,EMT DH,1021,0,DH,UCSC
40,36.99449,-122.0372,EMT DH,1021,0,DH,UCSC
41,36.99443,-122.03722,EMT DH,1021,0,DH,UCSC
42,36.99439,-122.03713,EMT DH,1021,0,DH,UCSC
43,36.99432,-122.03711,EMT DH,1021,0,DH,UCSC
44,36.9942,-122.03703,EMT DH,1021,0,DH,UCSC
45,36.99404,-122.03687,EMT DH,1021,0,DH,UCSC
46,36.99393,-122.03682,EMT DH,1021,0,DH,UCSC
47,36.99392,-122.03672,EMT DH,1021,0,DH,UCSC
48,36.99382,-122.03662,EMT DH,1021,0,DH,UCSC
49,36.99373,-122.03648,EMT DH,1021,0,DH,UCSC
50,36.9937,-122.03631,EMT DH,1021,0,DH,UCSC
51,36.99362,-122.0362,EMT DH,1021,0,DH,UCSC
52,36.99351,-122.03611,EMT DH,1021,0,DH,UCSC
53,36.99344,-122.03609,EMT DH,1021,0,DH,UCSC
54,36.99337,-122.03597,EMT DH,1021,0,DH,UCSC
55,36.99326,-122.03582,EMT DH,1021,0,DH,UCSC
56,36.99321,-122.03574,EMT DH,1021,0,DH,UCSC
57,36.99308,-122.03562,EMT DH,1021,0,DH,UCSC
58,36.99291,-122.03532,EMT DH,1021,0,DH,UCSC
59,36.99284,-122.03515,EMT DH,1021,0,DH,UCSC
60,36.99271,-122.03506,EMT DH,1021,0,DH,UCSC
61,36.99256,-122.03499,EMT DH,1021,0,DH,UCSC
