,lat,long,name,pedal_ct,ebike_ct,type,region
0,36.98608,-122.11023,Enchanted Forest,691,144,DH,Empire/Wilder
1,36.98604,-122.11066,Enchanted Forest,691,144,DH,Empire/Wilder
2,36.98611,-122.11076,Enchanted Forest,691,144,DH,Empire/Wilder
3,36.98648,-122.11078,Enchanted Forest,691,144,DH,Empire/Wilder
4,36.98673,-122.11075,Enchanted Forest,691,144,DH,Empire/Wilder
5,36.98675,-122.11076,Enchanted Forest,691,144,DH,Empire/Wilder
6,36.98692,-122.11069,Enchanted Forest,691,144,DH,Empire/Wilder
7,36.98714,-122.11039,Enchanted Forest,691,144,DH,Empire/Wilder
8,36.98759,-122.10949,Enchanted Forest,691,144,DH,Empire/Wilder
9,36.98765,-122.10939,Enchanted Forest,691,144,DH,Empire/Wilder
10,36.98775,-122.10927,Enchanted Forest,691,144,DH,Empire/Wilder
11,36.98777,-122.10927,Enchanted Forest,691,144,DH,Empire/Wilder
12,36.98785,-122.10912,Enchanted Forest,691,144,DH,Empire/Wilder
13,36.98807,-122.10903,Enchanted Forest,691,144,DH,Empire/Wilder
14,36.98804,-122.1094,Enchanted Forest,691,144,DH,Empire/Wilder
15,36.98806,-122.1099,Enchanted Forest,691,144,DH,Empire/Wilder
16,36.988,-122.11036,Enchanted Forest,691,144,DH,Empire/Wilder
17,36.98789,-122.11054,Enchanted Forest,691,144,DH,Empire/Wilder
18,36.98783,-122.11059,Enchanted Forest,691,144,DH,Empire/Wilder
19,36.98772,-122.11081,Enchanted Forest,691,144,DH,Empire/Wilder
20,36.98732,-122.11134,Enchanted Forest,691,144,DH,Empire/Wilder
21,36.98731,-122.1114,Enchanted Forest,691,144,DH,Empire/Wilder
22,36.9874,-122.11138,Enchanted Forest,691,144,DH,Empire/Wilder
23,36.9875,-122.11131,Enchanted Forest,691,144,DH,Empire/Wilder
24,36.98769,-122.11108,Enchanted Forest,691,144,DH,Empire/Wilder
25,36.98804,-122.11072,Enchanted Forest,691,144,DH,Empire/Wilder
26,36.98813,-122.11066,Enchanted Forest,691,144,DH,Empire/Wilder
27,36.9883,-122.11048,Enchanted Forest,691,144,DH,Empire/Wilder
28,36.98849,-122.11021,Enchanted Forest,691,144,DH,Empire/Wilder
29,36.98894,-122.10987,Enchanted Forest,691,144,DH,Empire/Wilder
30,36.98908,-122.10948,Enchanted Forest,691,144,DH,Empire/Wilder
31,36.9891,-122.10935,Enchanted Forest,691,144,DH,Empire/Wilder
32,36.98938,-122.10902,Enchanted Forest,691,144,DH,Empire/Wilder
33,36.98955,-122.10857,Enchanted Forest,691,144,DH,Empire/Wilder
34,36.98968,-122.1083,Enchanted Forest,691,144,DH,Empire/Wilder
35,36.98999,-122.10796,Enchanted Forest,691,144,DH,Empire/Wilder
36,36.99026,-122.10762,Enchanted Forest,691,144,DH,Empire/Wilder
37,36.99043,-122.10752,Enchanted Forest,691,144,DH,Empire/Wilder
38,36.99048,-122.10739,Enchanted Forest,691,144,DH,Empire/Wilder
39,36.99056,-122.10691,Enchanted Forest,691,144,DH,Empire/Wilder
40,36.99064,-122.10676,Enchanted Forest,691,144,DH,Empire/Wilder
41,36.9908,-122.10662,Enchanted Forest,691,144,DH,Empire/Wilder
42,36.9909,-122.10646,Enchanted Forest,691,144,DH,Empire/Wilder
