,lat,long,name,pedal_ct,ebike_ct,type,region
0,36.96628,-122.08346,Engelmans Loop,1316,162,Climb,Empire/Wilder
1,36.96665,-122.08347,Engelmans Loop,1316,162,Climb,Empire/Wilder
2,36.96682,-122.08353,Engelmans Loop,1316,162,Climb,Empire/Wilder
3,36.96692,-122.08355,Engelmans Loop,1316,162,Climb,Empire/Wilder
4,36.96712,-122.08349,Engelmans Loop,1316,162,Climb,Empire/Wilder
5,36.96758,-122.08346,Engelmans Loop,1316,162,Climb,Empire/Wilder
6,36.96766,-122.08343,Engelmans Loop,1316,162,Climb,Empire/Wilder
7,36.96769,-122.08337,Engelmans Loop,1316,162,Climb,Empire/Wilder
8,36.96765,-122.08332,Engelmans Loop,1316,162,Climb,Empire/Wilder
9,36.96765,-122.0833,Engelmans Loop,1316,162,Climb,Empire/Wilder
10,36.96766,-122.08327,Engelmans Loop,1316,162,Climb,Empire/Wilder
11,36.96772,-122.08325,Engelmans Loop,1316,162,Climb,Empire/Wilder
12,36.9679,-122.08326,Engelmans Loop,1316,162,Climb,Empire/Wilder
13,36.96828,-122.08316,Engelmans Loop,1316,162,Climb,Empire/Wilder
14,36.96852,-122.08317,Engelmans Loop,1316,162,Climb,Empire/Wilder
15,36.96879,-122.08324,Engelmans Loop,1316,162,Climb,Empire/Wilder
16,36.96892,-122.0832,Engelmans Loop,1316,162,Climb,Empire/Wilder
17,36.96904,-122.08313,Engelmans Loop,1316,162,Climb,Empire/Wilder
18,36.96929,-122.08304,Engelmans Loop,1316,162,Climb,Empire/Wilder
19,36.96953,-122.08302,Engelmans Loop,1316,162,Climb,Empire/Wilder
20,36.96984,-122.08311,Engelmans Loop,1316,162,Climb,Empire/Wilder
21,36.96995,-122.08312,Engelmans Loop,1316,162,Climb,Empire/Wilder
22,36.97003,-122.08316,Engelmans Loop,1316,162,Climb,Empire/Wilder
23,36.97012,-122.08317,Engelmans Loop,1316,162,Climb,Empire/Wilder
24,36.97039,-122.08331,Engelmans Loop,1316,162,Climb,Empire/Wilder
25,36.97054,-122.08343,Engelmans Loop,1316,162,Climb,Empire/Wilder
26,36.97063,-122.08347,Engelmans Loop,1316,162,Climb,Empire/Wilder
27,36.97092,-122.08354,Engelmans Loop,1316,162,Climb,Empire/Wilder
28,36.97111,-122.08352,Engelmans Loop,1316,162,Climb,Empire/Wilder
29,36.97117,-122.08353,Engelmans Loop,1316,162,Climb,Empire/Wilder
30,36.97141,-122.08361,Engelmans Loop,1316,162,Climb,Empire/Wilder
31,36.97154,-122.08374,Engelmans Loop,1316,162,Climb,Empire/Wilder
32,36.97163,-122.08379,Engelmans Loop,1316,162,Climb,Empire/Wilder
33,36.97185,-122.08379,Engelmans Loop,1316,162,Climb,Empire/Wilder
34,36.97199,-122.0837,Engelmans Loop,1316,162,Climb,Empire/Wilder
