,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.00742,-122.06529,Engineering to Barrels,690,12,Climb,UCSC
1,37.00768,-122.06537,Engineering to Barrels,690,12,Climb,UCSC
2,37.0079,-122.06539,Engineering to Barrels,690,12,Climb,UCSC
3,37.00809,-122.06551,Engineering to Barrels,690,12,Climb,UCSC
4,37.00821,-122.06554,Engineering to Barrels,690,12,Climb,UCSC
5,37.00855,-122.06569,Engineering to Barrels,690,12,Climb,UCSC
6,37.00878,-122.06569,Engineering to Barrels,690,12,Climb,UCSC
7,37.00895,-122.06574,Engineering to Barrels,690,12,Climb,UCSC
8,37.0092,-122.06578,Engineering to Barrels,690,12,Climb,UCSC
9,37.0094,-122.06585,Engineering to Barrels,690,12,Climb,UCSC
10,37.0098,-122.06607,Engineering to Barrels,690,12,Climb,UCSC
