,lat,long,name,pedal_ct,ebike_ct,type,region
0,36.99848,-122.00284,Fire Road,158,0,Climb,Delavega
1,36.99848,-122.00273,Fire Road,158,0,Climb,Delavega
2,36.99845,-122.00247,Fire Road,158,0,Climb,Delavega
3,36.99847,-122.00234,Fire Road,158,0,Climb,Delavega
4,36.99847,-122.00207,Fire Road,158,0,Climb,Delavega
5,36.9985,-122.00202,Fire Road,158,0,Climb,Delavega
6,36.99872,-122.00174,Fire Road,158,0,Climb,Delavega
7,36.99879,-122.00167,Fire Road,158,0,Climb,Delavega
8,36.99888,-122.00152,Fire Road,158,0,Climb,Delavega
9,36.99903,-122.00136,Fire Road,158,0,Climb,Delavega
10,36.99911,-122.00121,Fire Road,158,0,Climb,Delavega
11,36.99917,-122.00114,Fire Road,158,0,Climb,Delavega
12,36.99923,-122.00108,Fire Road,158,0,Climb,Delavega
13,36.99932,-122.00094,Fire Road,158,0,Climb,Delavega
14,36.99934,-122.00079,Fire Road,158,0,Climb,Delavega
15,36.99932,-122.00057,Fire Road,158,0,Climb,Delavega
16,36.99936,-122.00048,Fire Road,158,0,Climb,Delavega
17,36.9994,-122.00043,Fire Road,158,0,Climb,Delavega
18,36.99948,-122.0004,Fire Road,158,0,Climb,Delavega
19,36.99961,-122.0004,Fire Road,158,0,Climb,Delavega
20,36.99972,-122.00042,Fire Road,158,0,Climb,Delavega
21,36.9998,-122.00042,Fire Road,158,0,Climb,Delavega
22,36.99982,-122.00041,Fire Road,158,0,Climb,Delavega
23,36.99986,-122.00037,Fire Road,158,0,Climb,Delavega
24,36.99986,-122.00022,Fire Road,158,0,Climb,Delavega
25,36.99983,-122.00009,Fire Road,158,0,Climb,Delavega
26,36.99978,-121.99996,Fire Road,158,0,Climb,Delavega
27,36.99962,-121.99975,Fire Road,158,0,Climb,Delavega
28,36.99953,-121.99932,Fire Road,158,0,Climb,Delavega
