,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.0427,-121.89449,Fire Road DH,640,0,DH,Nisene
1,37.04275,-121.89444,Fire Road DH,640,0,DH,Nisene
2,37.0429,-121.89434,Fire Road DH,640,0,DH,Nisene
3,37.04294,-121.89434,Fire Road DH,640,0,DH,Nisene
4,37.04296,-121.89438,Fire Road DH,640,0,DH,Nisene
5,37.04301,-121.89434,Fire Road DH,640,0,DH,Nisene
6,37.04299,-121.89448,Fire Road DH,640,0,DH,Nisene
7,37.04294,-121.89458,Fire Road DH,640,0,DH,Nisene
8,37.04285,-121.89467,Fire Road DH,640,0,DH,Nisene
9,37.04259,-121.89486,Fire Road DH,640,0,DH,Nisene
10,37.04255,-121.89479,Fire Road DH,640,0,DH,Nisene
11,37.04254,-121.89474,Fire Road DH,640,0,DH,Nisene
12,37.04256,-121.8947,Fire Road DH,640,0,DH,Nisene
13,37.04261,-121.89472,Fire Road DH,640,0,DH,Nisene
14,37.04264,-121.89475,Fire Road DH,640,0,DH,Nisene
15,37.04265,-121.89479,Fire Road DH,640,0,DH,Nisene
16,37.04264,-121.89485,Fire Road DH,640,0,DH,Nisene
17,37.04242,-121.89517,Fire Road DH,640,0,DH,Nisene
18,37.04229,-121.89542,Fire Road DH,640,0,DH,Nisene
19,37.04223,-121.89548,Fire Road DH,640,0,DH,Nisene
20,37.04215,-121.89552,Fire Road DH,640,0,DH,Nisene
21,37.04205,-121.89552,Fire Road DH,640,0,DH,Nisene
22,37.04195,-121.89549,Fire Road DH,640,0,DH,Nisene
23,37.04171,-121.89539,Fire Road DH,640,0,DH,Nisene
24,37.04159,-121.89542,Fire Road DH,640,0,DH,Nisene
25,37.04148,-121.89548,Fire Road DH,640,0,DH,Nisene
26,37.04131,-121.89562,Fire Road DH,640,0,DH,Nisene
27,37.04119,-121.89575,Fire Road DH,640,0,DH,Nisene
28,37.04114,-121.89582,Fire Road DH,640,0,DH,Nisene
29,37.04111,-121.8959,Fire Road DH,640,0,DH,Nisene
30,37.04107,-121.89619,Fire Road DH,640,0,DH,Nisene
31,37.04104,-121.89627,Fire Road DH,640,0,DH,Nisene
32,37.04097,-121.89635,Fire Road DH,640,0,DH,Nisene
33,37.04087,-121.89655,Fire Road DH,640,0,DH,Nisene
34,37.0408,-121.89663,Fire Road DH,640,0,DH,Nisene
35,37.04072,-121.89659,Fire Road DH,640,0,DH,Nisene
36,37.04057,-121.89646,Fire Road DH,640,0,DH,Nisene
37,37.03996,-121.89607,Fire Road DH,640,0,DH,Nisene
38,37.03991,-121.89591,Fire Road DH,640,0,DH,Nisene
39,37.03985,-121.8958,Fire Road DH,640,0,DH,Nisene
40,37.03981,-121.89569,Fire Road DH,640,0,DH,Nisene
41,37.03967,-121.89549,Fire Road DH,640,0,DH,Nisene
