,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.05851,-121.88258,Fire Road to Santa Rosilia,449,84,Climb,Nisene
1,37.05858,-121.88248,Fire Road to Santa Rosilia,449,84,Climb,Nisene
2,37.05865,-121.88241,Fire Road to Santa Rosilia,449,84,Climb,Nisene
3,37.05863,-121.88235,Fire Road to Santa Rosilia,449,84,Climb,Nisene
4,37.05863,-121.8823,Fire Road to Santa Rosilia,449,84,Climb,Nisene
5,37.05871,-121.88209,Fire Road to Santa Rosilia,449,84,Climb,Nisene
6,37.05864,-121.88196,Fire Road to Santa Rosilia,449,84,Climb,Nisene
7,37.05857,-121.88187,Fire Road to Santa Rosilia,449,84,Climb,Nisene
8,37.0585,-121.88183,Fire Road to Santa Rosilia,449,84,Climb,Nisene
9,37.05844,-121.88183,Fire Road to Santa Rosilia,449,84,Climb,Nisene
10,37.05839,-121.88179,Fire Road to Santa Rosilia,449,84,Climb,Nisene
11,37.05812,-121.88178,Fire Road to Santa Rosilia,449,84,Climb,Nisene
12,37.05806,-121.88175,Fire Road to Santa Rosilia,449,84,Climb,Nisene
13,37.05798,-121.8817,Fire Road to Santa Rosilia,449,84,Climb,Nisene
14,37.05785,-121.88156,Fire Road to Santa Rosilia,449,84,Climb,Nisene
15,37.05783,-121.88151,Fire Road to Santa Rosilia,449,84,Climb,Nisene
16,37.05794,-121.8813,Fire Road to Santa Rosilia,449,84,Climb,Nisene
17,37.05796,-121.88116,Fire Road to Santa Rosilia,449,84,Climb,Nisene
18,37.058,-121.88106,Fire Road to Santa Rosilia,449,84,Climb,Nisene
19,37.05803,-121.88093,Fire Road to Santa Rosilia,449,84,Climb,Nisene
20,37.05804,-121.88084,Fire Road to Santa Rosilia,449,84,Climb,Nisene
21,37.05796,-121.8807,Fire Road to Santa Rosilia,449,84,Climb,Nisene
22,37.05798,-121.88058,Fire Road to Santa Rosilia,449,84,Climb,Nisene
23,37.05797,-121.8805,Fire Road to Santa Rosilia,449,84,Climb,Nisene
24,37.05815,-121.88029,Fire Road to Santa Rosilia,449,84,Climb,Nisene
25,37.05833,-121.88003,Fire Road to Santa Rosilia,449,84,Climb,Nisene
26,37.05838,-121.87989,Fire Road to Santa Rosilia,449,84,Climb,Nisene
27,37.05835,-121.87978,Fire Road to Santa Rosilia,449,84,Climb,Nisene
28,37.05828,-121.87968,Fire Road to Santa Rosilia,449,84,Climb,Nisene
29,37.05827,-121.87963,Fire Road to Santa Rosilia,449,84,Climb,Nisene
30,37.05807,-121.87948,Fire Road to Santa Rosilia,449,84,Climb,Nisene
31,37.05794,-121.87929,Fire Road to Santa Rosilia,449,84,Climb,Nisene
32,37.05785,-121.87924,Fire Road to Santa Rosilia,449,84,Climb,Nisene
33,37.05774,-121.87912,Fire Road to Santa Rosilia,449,84,Climb,Nisene
34,37.05766,-121.87908,Fire Road to Santa Rosilia,449,84,Climb,Nisene
35,37.05759,-121.87909,Fire Road to Santa Rosilia,449,84,Climb,Nisene
36,37.0574,-121.87905,Fire Road to Santa Rosilia,449,84,Climb,Nisene
37,37.05725,-121.87892,Fire Road to Santa Rosilia,449,84,Climb,Nisene
38,37.05731,-121.8788,Fire Road to Santa Rosilia,449,84,Climb,Nisene
39,37.05729,-121.87869,Fire Road to Santa Rosilia,449,84,Climb,Nisene
40,37.0573,-121.8785,Fire Road to Santa Rosilia,449,84,Climb,Nisene
41,37.05735,-121.87841,Fire Road to Santa Rosilia,449,84,Climb,Nisene
42,37.05734,-121.87829,Fire Road to Santa Rosilia,449,84,Climb,Nisene
43,37.05729,-121.87822,Fire Road to Santa Rosilia,449,84,Climb,Nisene
44,37.05716,-121.87812,Fire Road to Santa Rosilia,449,84,Climb,Nisene
45,37.05716,-121.87778,Fire Road to Santa Rosilia,449,84,Climb,Nisene
46,37.05719,-121.87763,Fire Road to Santa Rosilia,449,84,Climb,Nisene
47,37.05735,-121.87741,Fire Road to Santa Rosilia,449,84,Climb,Nisene
48,37.05745,-121.87734,Fire Road to Santa Rosilia,449,84,Climb,Nisene
49,37.05769,-121.87722,Fire Road to Santa Rosilia,449,84,Climb,Nisene
50,37.05791,-121.87728,Fire Road to Santa Rosilia,449,84,Climb,Nisene
51,37.05803,-121.87727,Fire Road to Santa Rosilia,449,84,Climb,Nisene
52,37.0582,-121.87719,Fire Road to Santa Rosilia,449,84,Climb,Nisene
53,37.05827,-121.87717,Fire Road to Santa Rosilia,449,84,Climb,Nisene
54,37.05831,-121.87718,Fire Road to Santa Rosilia,449,84,Climb,Nisene
55,37.05837,-121.87715,Fire Road to Santa Rosilia,449,84,Climb,Nisene
56,37.05848,-121.87704,Fire Road to Santa Rosilia,449,84,Climb,Nisene
57,37.05855,-121.87684,Fire Road to Santa Rosilia,449,84,Climb,Nisene
58,37.05867,-121.87669,Fire Road to Santa Rosilia,449,84,Climb,Nisene
59,37.05869,-121.87664,Fire Road to Santa Rosilia,449,84,Climb,Nisene
60,37.05873,-121.87658,Fire Road to Santa Rosilia,449,84,Climb,Nisene
61,37.0588,-121.87654,Fire Road to Santa Rosilia,449,84,Climb,Nisene
62,37.05881,-121.87648,Fire Road to Santa Rosilia,449,84,Climb,Nisene
63,37.05891,-121.87641,Fire Road to Santa Rosilia,449,84,Climb,Nisene
64,37.05894,-121.8764,Fire Road to Santa Rosilia,449,84,Climb,Nisene
65,37.05897,-121.87643,Fire Road to Santa Rosilia,449,84,Climb,Nisene
66,37.059,-121.87643,Fire Road to Santa Rosilia,449,84,Climb,Nisene
67,37.05905,-121.87639,Fire Road to Santa Rosilia,449,84,Climb,Nisene
68,37.05909,-121.87639,Fire Road to Santa Rosilia,449,84,Climb,Nisene
69,37.05914,-121.87641,Fire Road to Santa Rosilia,449,84,Climb,Nisene
70,37.05935,-121.87638,Fire Road to Santa Rosilia,449,84,Climb,Nisene
71,37.05962,-121.87624,Fire Road to Santa Rosilia,449,84,Climb,Nisene
72,37.05977,-121.87623,Fire Road to Santa Rosilia,449,84,Climb,Nisene
73,37.05983,-121.8762,Fire Road to Santa Rosilia,449,84,Climb,Nisene
