,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.03057,-121.89467,Fire Road to Top of Incline,1743,405,Climb,Nisene
1,37.03064,-121.89444,Fire Road to Top of Incline,1743,405,Climb,Nisene
2,37.03062,-121.89427,Fire Road to Top of Incline,1743,405,Climb,Nisene
3,37.03066,-121.89421,Fire Road to Top of Incline,1743,405,Climb,Nisene
4,37.03075,-121.89427,Fire Road to Top of Incline,1743,405,Climb,Nisene
5,37.03079,-121.8945,Fire Road to Top of Incline,1743,405,Climb,Nisene
6,37.03076,-121.8948,Fire Road to Top of Incline,1743,405,Climb,Nisene
7,37.03071,-121.89499,Fire Road to Top of Incline,1743,405,Climb,Nisene
8,37.03057,-121.89519,Fire Road to Top of Incline,1743,405,Climb,Nisene
9,37.03049,-121.89535,Fire Road to Top of Incline,1743,405,Climb,Nisene
10,37.03047,-121.89551,Fire Road to Top of Incline,1743,405,Climb,Nisene
11,37.0305,-121.89562,Fire Road to Top of Incline,1743,405,Climb,Nisene
12,37.03058,-121.89572,Fire Road to Top of Incline,1743,405,Climb,Nisene
13,37.03082,-121.89597,Fire Road to Top of Incline,1743,405,Climb,Nisene
14,37.03087,-121.89601,Fire Road to Top of Incline,1743,405,Climb,Nisene
15,37.03108,-121.89607,Fire Road to Top of Incline,1743,405,Climb,Nisene
16,37.03117,-121.89602,Fire Road to Top of Incline,1743,405,Climb,Nisene
17,37.0312,-121.89598,Fire Road to Top of Incline,1743,405,Climb,Nisene
18,37.03144,-121.89558,Fire Road to Top of Incline,1743,405,Climb,Nisene
19,37.03148,-121.89533,Fire Road to Top of Incline,1743,405,Climb,Nisene
20,37.0315,-121.89501,Fire Road to Top of Incline,1743,405,Climb,Nisene
21,37.03153,-121.89488,Fire Road to Top of Incline,1743,405,Climb,Nisene
22,37.03176,-121.8943,Fire Road to Top of Incline,1743,405,Climb,Nisene
23,37.03186,-121.89415,Fire Road to Top of Incline,1743,405,Climb,Nisene
24,37.03201,-121.89385,Fire Road to Top of Incline,1743,405,Climb,Nisene
25,37.03209,-121.89379,Fire Road to Top of Incline,1743,405,Climb,Nisene
26,37.03215,-121.89378,Fire Road to Top of Incline,1743,405,Climb,Nisene
27,37.03223,-121.89368,Fire Road to Top of Incline,1743,405,Climb,Nisene
28,37.03238,-121.89359,Fire Road to Top of Incline,1743,405,Climb,Nisene
29,37.03253,-121.89359,Fire Road to Top of Incline,1743,405,Climb,Nisene
30,37.03259,-121.89361,Fire Road to Top of Incline,1743,405,Climb,Nisene
31,37.03262,-121.89364,Fire Road to Top of Incline,1743,405,Climb,Nisene
32,37.03263,-121.89374,Fire Road to Top of Incline,1743,405,Climb,Nisene
33,37.03258,-121.89379,Fire Road to Top of Incline,1743,405,Climb,Nisene
34,37.0325,-121.89382,Fire Road to Top of Incline,1743,405,Climb,Nisene
35,37.03232,-121.89394,Fire Road to Top of Incline,1743,405,Climb,Nisene
36,37.03219,-121.89406,Fire Road to Top of Incline,1743,405,Climb,Nisene
37,37.03214,-121.89415,Fire Road to Top of Incline,1743,405,Climb,Nisene
38,37.03208,-121.89425,Fire Road to Top of Incline,1743,405,Climb,Nisene
39,37.032,-121.89445,Fire Road to Top of Incline,1743,405,Climb,Nisene
40,37.032,-121.89458,Fire Road to Top of Incline,1743,405,Climb,Nisene
41,37.03202,-121.89472,Fire Road to Top of Incline,1743,405,Climb,Nisene
42,37.03206,-121.8948,Fire Road to Top of Incline,1743,405,Climb,Nisene
43,37.03222,-121.89495,Fire Road to Top of Incline,1743,405,Climb,Nisene
44,37.03238,-121.89514,Fire Road to Top of Incline,1743,405,Climb,Nisene
45,37.03272,-121.8956,Fire Road to Top of Incline,1743,405,Climb,Nisene
46,37.03277,-121.8957,Fire Road to Top of Incline,1743,405,Climb,Nisene
47,37.03284,-121.89576,Fire Road to Top of Incline,1743,405,Climb,Nisene
48,37.03289,-121.89578,Fire Road to Top of Incline,1743,405,Climb,Nisene
49,37.03295,-121.89575,Fire Road to Top of Incline,1743,405,Climb,Nisene
50,37.03296,-121.89568,Fire Road to Top of Incline,1743,405,Climb,Nisene
51,37.03293,-121.89557,Fire Road to Top of Incline,1743,405,Climb,Nisene
52,37.03288,-121.89545,Fire Road to Top of Incline,1743,405,Climb,Nisene
53,37.03288,-121.89532,Fire Road to Top of Incline,1743,405,Climb,Nisene
54,37.03295,-121.89513,Fire Road to Top of Incline,1743,405,Climb,Nisene
55,37.03296,-121.89507,Fire Road to Top of Incline,1743,405,Climb,Nisene
56,37.03289,-121.89494,Fire Road to Top of Incline,1743,405,Climb,Nisene
57,37.03285,-121.8949,Fire Road to Top of Incline,1743,405,Climb,Nisene
58,37.03279,-121.89477,Fire Road to Top of Incline,1743,405,Climb,Nisene
59,37.03276,-121.89462,Fire Road to Top of Incline,1743,405,Climb,Nisene
60,37.03277,-121.89458,Fire Road to Top of Incline,1743,405,Climb,Nisene
61,37.03286,-121.8945,Fire Road to Top of Incline,1743,405,Climb,Nisene
62,37.03291,-121.8945,Fire Road to Top of Incline,1743,405,Climb,Nisene
63,37.03308,-121.89443,Fire Road to Top of Incline,1743,405,Climb,Nisene
64,37.03319,-121.89433,Fire Road to Top of Incline,1743,405,Climb,Nisene
65,37.03323,-121.89428,Fire Road to Top of Incline,1743,405,Climb,Nisene
66,37.03331,-121.89406,Fire Road to Top of Incline,1743,405,Climb,Nisene
67,37.03337,-121.89396,Fire Road to Top of Incline,1743,405,Climb,Nisene
68,37.03343,-121.89393,Fire Road to Top of Incline,1743,405,Climb,Nisene
69,37.03353,-121.89391,Fire Road to Top of Incline,1743,405,Climb,Nisene
70,37.03363,-121.89397,Fire Road to Top of Incline,1743,405,Climb,Nisene
71,37.03384,-121.89415,Fire Road to Top of Incline,1743,405,Climb,Nisene
72,37.03407,-121.8943,Fire Road to Top of Incline,1743,405,Climb,Nisene
73,37.03414,-121.89431,Fire Road to Top of Incline,1743,405,Climb,Nisene
74,37.0343,-121.89432,Fire Road to Top of Incline,1743,405,Climb,Nisene
75,37.03458,-121.8942,Fire Road to Top of Incline,1743,405,Climb,Nisene
76,37.03494,-121.89417,Fire Road to Top of Incline,1743,405,Climb,Nisene
77,37.03511,-121.89423,Fire Road to Top of Incline,1743,405,Climb,Nisene
78,37.03521,-121.89431,Fire Road to Top of Incline,1743,405,Climb,Nisene
79,37.03532,-121.89433,Fire Road to Top of Incline,1743,405,Climb,Nisene
80,37.03537,-121.89432,Fire Road to Top of Incline,1743,405,Climb,Nisene
81,37.03542,-121.89423,Fire Road to Top of Incline,1743,405,Climb,Nisene
82,37.03545,-121.89421,Fire Road to Top of Incline,1743,405,Climb,Nisene
83,37.03556,-121.89408,Fire Road to Top of Incline,1743,405,Climb,Nisene
84,37.03564,-121.89406,Fire Road to Top of Incline,1743,405,Climb,Nisene
85,37.03574,-121.89401,Fire Road to Top of Incline,1743,405,Climb,Nisene
86,37.03588,-121.89397,Fire Road to Top of Incline,1743,405,Climb,Nisene
87,37.03617,-121.8938,Fire Road to Top of Incline,1743,405,Climb,Nisene
