,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.07368,-121.88986,Flow,1118,265,DH,Demo
1,37.0738,-121.88979,Flow,1118,265,DH,Demo
2,37.07384,-121.88971,Flow,1118,265,DH,Demo
3,37.07383,-121.88959,Flow,1118,265,DH,Demo
4,37.07386,-121.88953,Flow,1118,265,DH,Demo
5,37.0739,-121.88954,Flow,1118,265,DH,Demo
6,37.07401,-121.88966,Flow,1118,265,DH,Demo
7,37.07404,-121.88972,Flow,1118,265,DH,Demo
8,37.07407,-121.88987,Flow,1118,265,DH,Demo
9,37.07405,-121.89011,Flow,1118,265,DH,Demo
10,37.07401,-121.89027,Flow,1118,265,DH,Demo
11,37.07394,-121.89044,Flow,1118,265,DH,Demo
12,37.0739,-121.89064,Flow,1118,265,DH,Demo
13,37.07391,-121.89071,Flow,1118,265,DH,Demo
14,37.07397,-121.89083,Flow,1118,265,DH,Demo
15,37.07402,-121.89088,Flow,1118,265,DH,Demo
16,37.07411,-121.8909,Flow,1118,265,DH,Demo
17,37.0742,-121.89087,Flow,1118,265,DH,Demo
18,37.07433,-121.89086,Flow,1118,265,DH,Demo
19,37.07448,-121.89089,Flow,1118,265,DH,Demo
20,37.07467,-121.89084,Flow,1118,265,DH,Demo
21,37.07475,-121.89065,Flow,1118,265,DH,Demo
22,37.07479,-121.8905,Flow,1118,265,DH,Demo
23,37.07487,-121.8903,Flow,1118,265,DH,Demo
24,37.07503,-121.89006,Flow,1118,265,DH,Demo
25,37.07514,-121.89006,Flow,1118,265,DH,Demo
26,37.07519,-121.89007,Flow,1118,265,DH,Demo
27,37.07527,-121.89019,Flow,1118,265,DH,Demo
28,37.07526,-121.89037,Flow,1118,265,DH,Demo
29,37.07534,-121.89057,Flow,1118,265,DH,Demo
30,37.07535,-121.89074,Flow,1118,265,DH,Demo
31,37.07533,-121.891,Flow,1118,265,DH,Demo
32,37.07535,-121.89113,Flow,1118,265,DH,Demo
33,37.0754,-121.89113,Flow,1118,265,DH,Demo
34,37.07546,-121.89115,Flow,1118,265,DH,Demo
35,37.0755,-121.89124,Flow,1118,265,DH,Demo
36,37.07555,-121.89137,Flow,1118,265,DH,Demo
37,37.07564,-121.89173,Flow,1118,265,DH,Demo
38,37.07576,-121.89199,Flow,1118,265,DH,Demo
39,37.0758,-121.89213,Flow,1118,265,DH,Demo
40,37.07581,-121.8926,Flow,1118,265,DH,Demo
41,37.07585,-121.89277,Flow,1118,265,DH,Demo
42,37.07585,-121.89296,Flow,1118,265,DH,Demo
43,37.07579,-121.89303,Flow,1118,265,DH,Demo
44,37.07559,-121.89318,Flow,1118,265,DH,Demo
45,37.07556,-121.89336,Flow,1118,265,DH,Demo
46,37.07555,-121.89358,Flow,1118,265,DH,Demo
47,37.07552,-121.89364,Flow,1118,265,DH,Demo
48,37.0755,-121.89378,Flow,1118,265,DH,Demo
49,37.07556,-121.8938,Flow,1118,265,DH,Demo
50,37.07568,-121.89365,Flow,1118,265,DH,Demo
51,37.07578,-121.89358,Flow,1118,265,DH,Demo
52,37.07593,-121.89353,Flow,1118,265,DH,Demo
53,37.07607,-121.89351,Flow,1118,265,DH,Demo
54,37.07612,-121.89348,Flow,1118,265,DH,Demo
55,37.07616,-121.89293,Flow,1118,265,DH,Demo
56,37.0762,-121.89286,Flow,1118,265,DH,Demo
57,37.07652,-121.89256,Flow,1118,265,DH,Demo
58,37.07663,-121.89242,Flow,1118,265,DH,Demo
59,37.07686,-121.8916,Flow,1118,265,DH,Demo
60,37.07693,-121.89157,Flow,1118,265,DH,Demo
61,37.07703,-121.89164,Flow,1118,265,DH,Demo
62,37.07705,-121.89179,Flow,1118,265,DH,Demo
63,37.077,-121.8923,Flow,1118,265,DH,Demo
64,37.07693,-121.89256,Flow,1118,265,DH,Demo
65,37.07689,-121.89281,Flow,1118,265,DH,Demo
66,37.07695,-121.89311,Flow,1118,265,DH,Demo
67,37.07695,-121.89349,Flow,1118,265,DH,Demo
68,37.07701,-121.8937,Flow,1118,265,DH,Demo
69,37.07707,-121.89414,Flow,1118,265,DH,Demo
70,37.07707,-121.89421,Flow,1118,265,DH,Demo
71,37.07703,-121.89446,Flow,1118,265,DH,Demo
72,37.07705,-121.89461,Flow,1118,265,DH,Demo
73,37.07715,-121.89405,Flow,1118,265,DH,Demo
74,37.07713,-121.89392,Flow,1118,265,DH,Demo
75,37.07705,-121.89375,Flow,1118,265,DH,Demo
76,37.07718,-121.89352,Flow,1118,265,DH,Demo
77,37.07724,-121.8933,Flow,1118,265,DH,Demo
78,37.07726,-121.89312,Flow,1118,265,DH,Demo
79,37.07743,-121.89275,Flow,1118,265,DH,Demo
