,lat,long,name,pedal_ct,ebike_ct,type,region
0,36.9858,-122.11087,4 Mile,52,19,DH,Empire/Wilder
1,36.98567,-122.11108,4 Mile,52,19,DH,Empire/Wilder
2,36.98552,-122.11125,4 Mile,52,19,DH,Empire/Wilder
3,36.98532,-122.11138,4 Mile,52,19,DH,Empire/Wilder
4,36.98511,-122.11146,4 Mile,52,19,DH,Empire/Wilder
5,36.98503,-122.11146,4 Mile,52,19,DH,Empire/Wilder
6,36.98485,-122.11143,4 Mile,52,19,DH,Empire/Wilder
7,36.98436,-122.11122,4 Mile,52,19,DH,Empire/Wilder
8,36.98373,-122.1109,4 Mile,52,19,DH,Empire/Wilder
9,36.9834,-122.11079,4 Mile,52,19,DH,Empire/Wilder
10,36.98263,-122.1107,4 Mile,52,19,DH,Empire/Wilder
11,36.98196,-122.11072,4 Mile,52,19,DH,Empire/Wilder
12,36.98181,-122.11075,4 Mile,52,19,DH,Empire/Wilder
13,36.98161,-122.11084,4 Mile,52,19,DH,Empire/Wilder
14,36.98116,-122.11118,4 Mile,52,19,DH,Empire/Wilder
15,36.98075,-122.1115,4 Mile,52,19,DH,Empire/Wilder
16,36.98052,-122.11162,4 Mile,52,19,DH,Empire/Wilder
17,36.98035,-122.11166,4 Mile,52,19,DH,Empire/Wilder
18,36.98027,-122.11167,4 Mile,52,19,DH,Empire/Wilder
19,36.97974,-122.11156,4 Mile,52,19,DH,Empire/Wilder
20,36.97965,-122.11156,4 Mile,52,19,DH,Empire/Wilder
21,36.97949,-122.1116,4 Mile,52,19,DH,Empire/Wilder
22,36.97941,-122.11165,4 Mile,52,19,DH,Empire/Wilder
23,36.97928,-122.11177,4 Mile,52,19,DH,Empire/Wilder
24,36.97922,-122.11186,4 Mile,52,19,DH,Empire/Wilder
25,36.97914,-122.11206,4 Mile,52,19,DH,Empire/Wilder
26,36.97912,-122.11216,4 Mile,52,19,DH,Empire/Wilder
27,36.97914,-122.11254,4 Mile,52,19,DH,Empire/Wilder
28,36.97909,-122.11275,4 Mile,52,19,DH,Empire/Wilder
29,36.97901,-122.11294,4 Mile,52,19,DH,Empire/Wilder
30,36.97896,-122.11314,4 Mile,52,19,DH,Empire/Wilder
31,36.97893,-122.11323,4 Mile,52,19,DH,Empire/Wilder
32,36.97868,-122.11351,4 Mile,52,19,DH,Empire/Wilder
33,36.97838,-122.11395,4 Mile,52,19,DH,Empire/Wilder
34,36.97816,-122.11419,4 Mile,52,19,DH,Empire/Wilder
35,36.97808,-122.11426,4 Mile,52,19,DH,Empire/Wilder
36,36.97799,-122.11431,4 Mile,52,19,DH,Empire/Wilder
37,36.97781,-122.11437,4 Mile,52,19,DH,Empire/Wilder
38,36.97772,-122.11438,4 Mile,52,19,DH,Empire/Wilder
39,36.97744,-122.11438,4 Mile,52,19,DH,Empire/Wilder
40,36.97707,-122.11432,4 Mile,52,19,DH,Empire/Wilder
41,36.97657,-122.11433,4 Mile,52,19,DH,Empire/Wilder
42,36.97648,-122.11433,4 Mile,52,19,DH,Empire/Wilder
43,36.9764,-122.11437,4 Mile,52,19,DH,Empire/Wilder
44,36.97633,-122.11443,4 Mile,52,19,DH,Empire/Wilder
45,36.97622,-122.11464,4 Mile,52,19,DH,Empire/Wilder
46,36.97616,-122.11487,4 Mile,52,19,DH,Empire/Wilder
47,36.97616,-122.11509,4 Mile,52,19,DH,Empire/Wilder
48,36.97623,-122.11567,4 Mile,52,19,DH,Empire/Wilder
49,36.97623,-122.11593,4 Mile,52,19,DH,Empire/Wilder
50,36.97622,-122.11605,4 Mile,52,19,DH,Empire/Wilder
51,36.97616,-122.11614,4 Mile,52,19,DH,Empire/Wilder
52,36.97609,-122.11621,4 Mile,52,19,DH,Empire/Wilder
53,36.97601,-122.11626,4 Mile,52,19,DH,Empire/Wilder
54,36.97554,-122.11641,4 Mile,52,19,DH,Empire/Wilder
55,36.97475,-122.11675,4 Mile,52,19,DH,Empire/Wilder
56,36.97422,-122.11703,4 Mile,52,19,DH,Empire/Wilder
57,36.97385,-122.11713,4 Mile,52,19,DH,Empire/Wilder
58,36.97323,-122.11739,4 Mile,52,19,DH,Empire/Wilder
59,36.97309,-122.11752,4 Mile,52,19,DH,Empire/Wilder
60,36.97271,-122.11796,4 Mile,52,19,DH,Empire/Wilder
61,36.97255,-122.11806,4 Mile,52,19,DH,Empire/Wilder
62,36.97237,-122.1181,4 Mile,52,19,DH,Empire/Wilder
63,36.97205,-122.11812,4 Mile,52,19,DH,Empire/Wilder
64,36.97165,-122.11819,4 Mile,52,19,DH,Empire/Wilder
65,36.97147,-122.11816,4 Mile,52,19,DH,Empire/Wilder
66,36.97133,-122.11806,4 Mile,52,19,DH,Empire/Wilder
67,36.9711,-122.11783,4 Mile,52,19,DH,Empire/Wilder
68,36.97085,-122.11763,4 Mile,52,19,DH,Empire/Wilder
69,36.97071,-122.11745,4 Mile,52,19,DH,Empire/Wilder
70,36.97061,-122.11725,4 Mile,52,19,DH,Empire/Wilder
71,36.97055,-122.11718,4 Mile,52,19,DH,Empire/Wilder
