,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.0062,-122.05255,Ground Hornet,60,0,DH,UCSC
1,37.00624,-122.05227,Ground Hornet,60,0,DH,UCSC
2,37.00637,-122.05212,Ground Hornet,60,0,DH,UCSC
3,37.00646,-122.05193,Ground Hornet,60,0,DH,UCSC
4,37.00663,-122.05179,Ground Hornet,60,0,DH,UCSC
5,37.0068,-122.05144,Ground Hornet,60,0,DH,UCSC
6,37.0068,-122.05138,Ground Hornet,60,0,DH,UCSC
7,37.00682,-122.05134,Ground Hornet,60,0,DH,UCSC
8,37.00689,-122.0513,Ground Hornet,60,0,DH,UCSC
9,37.00695,-122.05117,Ground Hornet,60,0,DH,UCSC
10,37.00698,-122.051,Ground Hornet,60,0,DH,UCSC
11,37.00699,-122.05072,Ground Hornet,60,0,DH,UCSC
12,37.00713,-122.05039,Ground Hornet,60,0,DH,UCSC
13,37.00721,-122.05029,Ground Hornet,60,0,DH,UCSC
14,37.00722,-122.05021,Ground Hornet,60,0,DH,UCSC
15,37.00727,-122.05013,Ground Hornet,60,0,DH,UCSC
16,37.00725,-122.0501,Ground Hornet,60,0,DH,UCSC
17,37.00728,-122.05007,Ground Hornet,60,0,DH,UCSC
18,37.00728,-122.0498,Ground Hornet,60,0,DH,UCSC
19,37.00726,-122.04968,Ground Hornet,60,0,DH,UCSC
20,37.0073,-122.04948,Ground Hornet,60,0,DH,UCSC
21,37.00729,-122.04943,Ground Hornet,60,0,DH,UCSC
22,37.00734,-122.04937,Ground Hornet,60,0,DH,UCSC
23,37.00741,-122.04936,Ground Hornet,60,0,DH,UCSC
24,37.00743,-122.04931,Ground Hornet,60,0,DH,UCSC
25,37.00758,-122.04917,Ground Hornet,60,0,DH,UCSC
26,37.00786,-122.04898,Ground Hornet,60,0,DH,UCSC
