,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.0307,-122.10403,Janky,60,53,DH,Empire/Wilder
1,37.03056,-122.10389,Janky,60,53,DH,Empire/Wilder
2,37.03052,-122.10388,Janky,60,53,DH,Empire/Wilder
3,37.03038,-122.10395,Janky,60,53,DH,Empire/Wilder
4,37.03034,-122.104,Janky,60,53,DH,Empire/Wilder
5,37.03025,-122.10397,Janky,60,53,DH,Empire/Wilder
6,37.03018,-122.10401,Janky,60,53,DH,Empire/Wilder
7,37.03015,-122.104,Janky,60,53,DH,Empire/Wilder
8,37.03011,-122.10392,Janky,60,53,DH,Empire/Wilder
9,37.03004,-122.10386,Janky,60,53,DH,Empire/Wilder
10,37.02998,-122.10392,Janky,60,53,DH,Empire/Wilder
11,37.02997,-122.10399,Janky,60,53,DH,Empire/Wilder
12,37.02991,-122.10407,Janky,60,53,DH,Empire/Wilder
13,37.0298,-122.1039,Janky,60,53,DH,Empire/Wilder
14,37.0297,-122.10394,Janky,60,53,DH,Empire/Wilder
15,37.02965,-122.10393,Janky,60,53,DH,Empire/Wilder
16,37.02961,-122.10397,Janky,60,53,DH,Empire/Wilder
17,37.02953,-122.1039,Janky,60,53,DH,Empire/Wilder
18,37.02946,-122.10366,Janky,60,53,DH,Empire/Wilder
19,37.02946,-122.10358,Janky,60,53,DH,Empire/Wilder
20,37.02939,-122.10352,Janky,60,53,DH,Empire/Wilder
21,37.02931,-122.1035,Janky,60,53,DH,Empire/Wilder
22,37.02919,-122.10355,Janky,60,53,DH,Empire/Wilder
23,37.02902,-122.1037,Janky,60,53,DH,Empire/Wilder
24,37.02886,-122.10382,Janky,60,53,DH,Empire/Wilder
25,37.02883,-122.10399,Janky,60,53,DH,Empire/Wilder
26,37.02877,-122.10405,Janky,60,53,DH,Empire/Wilder
27,37.02861,-122.10408,Janky,60,53,DH,Empire/Wilder
28,37.02842,-122.10417,Janky,60,53,DH,Empire/Wilder
29,37.02828,-122.10413,Janky,60,53,DH,Empire/Wilder
30,37.02823,-122.10407,Janky,60,53,DH,Empire/Wilder
31,37.02816,-122.10404,Janky,60,53,DH,Empire/Wilder
32,37.0281,-122.10414,Janky,60,53,DH,Empire/Wilder
33,37.02797,-122.10426,Janky,60,53,DH,Empire/Wilder
34,37.02789,-122.10425,Janky,60,53,DH,Empire/Wilder
35,37.0278,-122.10422,Janky,60,53,DH,Empire/Wilder
36,37.02762,-122.10426,Janky,60,53,DH,Empire/Wilder
37,37.02749,-122.10438,Janky,60,53,DH,Empire/Wilder
38,37.02741,-122.10439,Janky,60,53,DH,Empire/Wilder
39,37.02735,-122.10453,Janky,60,53,DH,Empire/Wilder
40,37.0272,-122.1047,Janky,60,53,DH,Empire/Wilder
41,37.02711,-122.10475,Janky,60,53,DH,Empire/Wilder
42,37.02704,-122.10478,Janky,60,53,DH,Empire/Wilder
43,37.02701,-122.10481,Janky,60,53,DH,Empire/Wilder
44,37.02686,-122.10483,Janky,60,53,DH,Empire/Wilder
45,37.02677,-122.10481,Janky,60,53,DH,Empire/Wilder
46,37.02673,-122.10482,Janky,60,53,DH,Empire/Wilder
47,37.02664,-122.10472,Janky,60,53,DH,Empire/Wilder
