,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.02926,-122.10849,Jugs,205,80,DH,Empire/Wilder
1,37.02909,-122.10848,Jugs,205,80,DH,Empire/Wilder
2,37.02903,-122.10839,Jugs,205,80,DH,Empire/Wilder
3,37.02901,-122.10823,Jugs,205,80,DH,Empire/Wilder
4,37.02894,-122.10821,Jugs,205,80,DH,Empire/Wilder
5,37.02887,-122.10814,Jugs,205,80,DH,Empire/Wilder
6,37.0288,-122.10809,Jugs,205,80,DH,Empire/Wilder
7,37.02874,-122.108,Jugs,205,80,DH,Empire/Wilder
8,37.02868,-122.10794,Jugs,205,80,DH,Empire/Wilder
9,37.02862,-122.10782,Jugs,205,80,DH,Empire/Wilder
10,37.02826,-122.10754,Jugs,205,80,DH,Empire/Wilder
11,37.02817,-122.10753,Jugs,205,80,DH,Empire/Wilder
12,37.02793,-122.10758,Jugs,205,80,DH,Empire/Wilder
13,37.02783,-122.10753,Jugs,205,80,DH,Empire/Wilder
14,37.02772,-122.10752,Jugs,205,80,DH,Empire/Wilder
15,37.02767,-122.10748,Jugs,205,80,DH,Empire/Wilder
16,37.02764,-122.10753,Jugs,205,80,DH,Empire/Wilder
17,37.02758,-122.10754,Jugs,205,80,DH,Empire/Wilder
18,37.0275,-122.10751,Jugs,205,80,DH,Empire/Wilder
19,37.0274,-122.10728,Jugs,205,80,DH,Empire/Wilder
20,37.0273,-122.10732,Jugs,205,80,DH,Empire/Wilder
21,37.02707,-122.10727,Jugs,205,80,DH,Empire/Wilder
22,37.027,-122.10723,Jugs,205,80,DH,Empire/Wilder
23,37.02694,-122.10734,Jugs,205,80,DH,Empire/Wilder
24,37.0269,-122.10731,Jugs,205,80,DH,Empire/Wilder
25,37.02688,-122.10738,Jugs,205,80,DH,Empire/Wilder
26,37.02691,-122.10751,Jugs,205,80,DH,Empire/Wilder
27,37.02686,-122.10756,Jugs,205,80,DH,Empire/Wilder
28,37.02648,-122.10755,Jugs,205,80,DH,Empire/Wilder
29,37.02634,-122.10752,Jugs,205,80,DH,Empire/Wilder
30,37.02622,-122.10746,Jugs,205,80,DH,Empire/Wilder
