,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.01559,-122.06932,Kevin's,27,0,DH,UCSC
1,37.0157,-122.06871,Kevin's,27,0,DH,UCSC
2,37.01572,-122.0684,Kevin's,27,0,DH,UCSC
3,37.01617,-122.06765,Kevin's,27,0,DH,UCSC
4,37.01632,-122.06761,Kevin's,27,0,DH,UCSC
5,37.01651,-122.06766,Kevin's,27,0,DH,UCSC
6,37.0166,-122.06764,Kevin's,27,0,DH,UCSC
7,37.01663,-122.06751,Kevin's,27,0,DH,UCSC
8,37.01671,-122.06743,Kevin's,27,0,DH,UCSC
9,37.01675,-122.06698,Kevin's,27,0,DH,UCSC
10,37.01682,-122.06671,Kevin's,27,0,DH,UCSC
11,37.01689,-122.06659,Kevin's,27,0,DH,UCSC
12,37.01694,-122.0664,Kevin's,27,0,DH,UCSC
13,37.01698,-122.0663,Kevin's,27,0,DH,UCSC
14,37.01711,-122.06621,Kevin's,27,0,DH,UCSC
15,37.01727,-122.066,Kevin's,27,0,DH,UCSC
16,37.01739,-122.06562,Kevin's,27,0,DH,UCSC
