,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.01757,-122.06956,Kimbo Slice,58,16,DH,UCSC
1,37.01759,-122.06929,Kimbo Slice,58,16,DH,UCSC
2,37.01768,-122.06907,Kimbo Slice,58,16,DH,UCSC
3,37.01774,-122.06898,Kimbo Slice,58,16,DH,UCSC
4,37.01795,-122.06875,Kimbo Slice,58,16,DH,UCSC
5,37.0181,-122.06846,Kimbo Slice,58,16,DH,UCSC
6,37.0183,-122.06824,Kimbo Slice,58,16,DH,UCSC
7,37.01834,-122.06815,Kimbo Slice,58,16,DH,UCSC
8,37.01815,-122.06784,Kimbo Slice,58,16,DH,UCSC
9,37.01816,-122.06758,Kimbo Slice,58,16,DH,UCSC
10,37.01809,-122.06733,Kimbo Slice,58,16,DH,UCSC
11,37.01809,-122.06722,Kimbo Slice,58,16,DH,UCSC
12,37.01818,-122.06694,Kimbo Slice,58,16,DH,UCSC
13,37.01813,-122.0668,Kimbo Slice,58,16,DH,UCSC
14,37.01814,-122.06653,Kimbo Slice,58,16,DH,UCSC
15,37.01817,-122.06639,Kimbo Slice,58,16,DH,UCSC
16,37.01815,-122.0662,Kimbo Slice,58,16,DH,UCSC
