,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.00932,-122.05642,Lock 'em ups,100,58,DH,UCSC
1,37.00936,-122.05619,Lock 'em ups,100,58,DH,UCSC
2,37.00941,-122.05609,Lock 'em ups,100,58,DH,UCSC
3,37.00941,-122.05603,Lock 'em ups,100,58,DH,UCSC
4,37.00944,-122.05601,Lock 'em ups,100,58,DH,UCSC
5,37.0094,-122.05598,Lock 'em ups,100,58,DH,UCSC
6,37.00935,-122.05588,Lock 'em ups,100,58,DH,UCSC
7,37.00943,-122.05572,Lock 'em ups,100,58,DH,UCSC
8,37.00954,-122.05559,Lock 'em ups,100,58,DH,UCSC
9,37.00956,-122.05552,Lock 'em ups,100,58,DH,UCSC
10,37.00962,-122.05542,Lock 'em ups,100,58,DH,UCSC
11,37.00967,-122.05535,Lock 'em ups,100,58,DH,UCSC
12,37.00984,-122.0552,Lock 'em ups,100,58,DH,UCSC
13,37.00988,-122.05511,Lock 'em ups,100,58,DH,UCSC
14,37.00994,-122.05501,Lock 'em ups,100,58,DH,UCSC
15,37.01,-122.05495,Lock 'em ups,100,58,DH,UCSC
16,37.01017,-122.05465,Lock 'em ups,100,58,DH,UCSC
17,37.01021,-122.05453,Lock 'em ups,100,58,DH,UCSC
18,37.01072,-122.05396,Lock 'em ups,100,58,DH,UCSC
19,37.01077,-122.05385,Lock 'em ups,100,58,DH,UCSC
20,37.01081,-122.05368,Lock 'em ups,100,58,DH,UCSC
21,37.01076,-122.05357,Lock 'em ups,100,58,DH,UCSC
22,37.01078,-122.05344,Lock 'em ups,100,58,DH,UCSC
23,37.01074,-122.05323,Lock 'em ups,100,58,DH,UCSC
