,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.00652,-121.99949,Lower DH Course,14,0,DH,Delavega
1,37.0065,-121.99973,Lower DH Course,14,0,DH,Delavega
2,37.00653,-121.99991,Lower DH Course,14,0,DH,Delavega
3,37.00651,-121.99995,Lower DH Course,14,0,DH,Delavega
4,37.00652,-121.99999,Lower DH Course,14,0,DH,Delavega
5,37.00652,-122.00003,Lower DH Course,14,0,DH,Delavega
6,37.00654,-122.00011,Lower DH Course,14,0,DH,Delavega
7,37.00657,-122.00008,Lower DH Course,14,0,DH,Delavega
8,37.00672,-122.00005,Lower DH Course,14,0,DH,Delavega
9,37.00686,-121.99995,Lower DH Course,14,0,DH,Delavega
10,37.00693,-121.99996,Lower DH Course,14,0,DH,Delavega
11,37.00694,-122.0,Lower DH Course,14,0,DH,Delavega
12,37.00685,-122.00013,Lower DH Course,14,0,DH,Delavega
13,37.00683,-122.00038,Lower DH Course,14,0,DH,Delavega
14,37.00677,-122.00047,Lower DH Course,14,0,DH,Delavega
15,37.00669,-122.00053,Lower DH Course,14,0,DH,Delavega
16,37.00648,-122.00058,Lower DH Course,14,0,DH,Delavega
17,37.00643,-122.00063,Lower DH Course,14,0,DH,Delavega
18,37.00651,-122.00073,Lower DH Course,14,0,DH,Delavega
19,37.00651,-122.00078,Lower DH Course,14,0,DH,Delavega
20,37.00641,-122.0009,Lower DH Course,14,0,DH,Delavega
21,37.00642,-122.00094,Lower DH Course,14,0,DH,Delavega
22,37.00654,-122.00093,Lower DH Course,14,0,DH,Delavega
23,37.00646,-122.00101,Lower DH Course,14,0,DH,Delavega
24,37.00649,-122.00104,Lower DH Course,14,0,DH,Delavega
25,37.00629,-122.00109,Lower DH Course,14,0,DH,Delavega
26,37.00621,-122.00112,Lower DH Course,14,0,DH,Delavega
