,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.00611,-121.91178,Lower Watertower,214,61,DH,Nisene
1,37.00619,-121.91179,Lower Watertower,214,61,DH,Nisene
2,37.00647,-121.91179,Lower Watertower,214,61,DH,Nisene
3,37.00657,-121.91174,Lower Watertower,214,61,DH,Nisene
4,37.0066,-121.91162,Lower Watertower,214,61,DH,Nisene
5,37.00639,-121.91151,Lower Watertower,214,61,DH,Nisene
6,37.00609,-121.91141,Lower Watertower,214,61,DH,Nisene
7,37.00592,-121.9114,Lower Watertower,214,61,DH,Nisene
8,37.00584,-121.91138,Lower Watertower,214,61,DH,Nisene
9,37.0056,-121.91114,Lower Watertower,214,61,DH,Nisene
10,37.00549,-121.91095,Lower Watertower,214,61,DH,Nisene
11,37.00545,-121.91084,Lower Watertower,214,61,DH,Nisene
12,37.00515,-121.91043,Lower Watertower,214,61,DH,Nisene
13,37.00504,-121.91015,Lower Watertower,214,61,DH,Nisene
14,37.00502,-121.91001,Lower Watertower,214,61,DH,Nisene
15,37.00488,-121.90962,Lower Watertower,214,61,DH,Nisene
16,37.00486,-121.9095,Lower Watertower,214,61,DH,Nisene
17,37.00483,-121.90936,Lower Watertower,214,61,DH,Nisene
18,37.00487,-121.90897,Lower Watertower,214,61,DH,Nisene
19,37.00482,-121.90873,Lower Watertower,214,61,DH,Nisene
20,37.00465,-121.90838,Lower Watertower,214,61,DH,Nisene
21,37.00458,-121.9081,Lower Watertower,214,61,DH,Nisene
