,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.00428,-121.90646,Lower Watertower Climb,74,37,Climb,Nisene
1,37.00435,-121.90657,Lower Watertower Climb,74,37,Climb,Nisene
2,37.0045,-121.90677,Lower Watertower Climb,74,37,Climb,Nisene
3,37.00455,-121.90675,Lower Watertower Climb,74,37,Climb,Nisene
4,37.00472,-121.90652,Lower Watertower Climb,74,37,Climb,Nisene
5,37.00478,-121.90639,Lower Watertower Climb,74,37,Climb,Nisene
6,37.00479,-121.90632,Lower Watertower Climb,74,37,Climb,Nisene
7,37.0049,-121.90627,Lower Watertower Climb,74,37,Climb,Nisene
8,37.00495,-121.90627,Lower Watertower Climb,74,37,Climb,Nisene
9,37.00503,-121.90631,Lower Watertower Climb,74,37,Climb,Nisene
10,37.00514,-121.9064,Lower Watertower Climb,74,37,Climb,Nisene
11,37.00526,-121.90647,Lower Watertower Climb,74,37,Climb,Nisene
12,37.00531,-121.90657,Lower Watertower Climb,74,37,Climb,Nisene
13,37.00532,-121.9067,Lower Watertower Climb,74,37,Climb,Nisene
14,37.00539,-121.90687,Lower Watertower Climb,74,37,Climb,Nisene
15,37.0053,-121.90699,Lower Watertower Climb,74,37,Climb,Nisene
16,37.0053,-121.90704,Lower Watertower Climb,74,37,Climb,Nisene
17,37.00522,-121.90713,Lower Watertower Climb,74,37,Climb,Nisene
18,37.00501,-121.9073,Lower Watertower Climb,74,37,Climb,Nisene
19,37.00488,-121.90747,Lower Watertower Climb,74,37,Climb,Nisene
20,37.00482,-121.90757,Lower Watertower Climb,74,37,Climb,Nisene
21,37.00464,-121.90777,Lower Watertower Climb,74,37,Climb,Nisene
22,37.00454,-121.90784,Lower Watertower Climb,74,37,Climb,Nisene
23,37.00449,-121.9079,Lower Watertower Climb,74,37,Climb,Nisene
24,37.00444,-121.90805,Lower Watertower Climb,74,37,Climb,Nisene
25,37.00444,-121.90812,Lower Watertower Climb,74,37,Climb,Nisene
26,37.00448,-121.90824,Lower Watertower Climb,74,37,Climb,Nisene
27,37.00472,-121.90879,Lower Watertower Climb,74,37,Climb,Nisene
28,37.00473,-121.90886,Lower Watertower Climb,74,37,Climb,Nisene
29,37.00467,-121.90907,Lower Watertower Climb,74,37,Climb,Nisene
30,37.00467,-121.90914,Lower Watertower Climb,74,37,Climb,Nisene
31,37.00479,-121.90934,Lower Watertower Climb,74,37,Climb,Nisene
32,37.00485,-121.90968,Lower Watertower Climb,74,37,Climb,Nisene
33,37.00484,-121.90977,Lower Watertower Climb,74,37,Climb,Nisene
34,37.00493,-121.90996,Lower Watertower Climb,74,37,Climb,Nisene
35,37.00495,-121.9101,Lower Watertower Climb,74,37,Climb,Nisene
36,37.00494,-121.91018,Lower Watertower Climb,74,37,Climb,Nisene
37,37.00513,-121.91056,Lower Watertower Climb,74,37,Climb,Nisene
38,37.00554,-121.91116,Lower Watertower Climb,74,37,Climb,Nisene
39,37.0056,-121.91121,Lower Watertower Climb,74,37,Climb,Nisene
40,37.00575,-121.91123,Lower Watertower Climb,74,37,Climb,Nisene
41,37.00594,-121.91135,Lower Watertower Climb,74,37,Climb,Nisene
42,37.00616,-121.91132,Lower Watertower Climb,74,37,Climb,Nisene
43,37.0063,-121.91136,Lower Watertower Climb,74,37,Climb,Nisene
44,37.0064,-121.91144,Lower Watertower Climb,74,37,Climb,Nisene
45,37.00645,-121.91149,Lower Watertower Climb,74,37,Climb,Nisene
46,37.00652,-121.91158,Lower Watertower Climb,74,37,Climb,Nisene
47,37.00653,-121.91165,Lower Watertower Climb,74,37,Climb,Nisene
48,37.00647,-121.91176,Lower Watertower Climb,74,37,Climb,Nisene
49,37.00641,-121.91177,Lower Watertower Climb,74,37,Climb,Nisene
50,37.00617,-121.91174,Lower Watertower Climb,74,37,Climb,Nisene
51,37.00607,-121.91169,Lower Watertower Climb,74,37,Climb,Nisene
