,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.01985,-122.06984,Magic Carpet,513,245,DH,UCSC
1,37.01994,-122.06976,Magic Carpet,513,245,DH,UCSC
2,37.02007,-122.06956,Magic Carpet,513,245,DH,UCSC
3,37.0201,-122.06943,Magic Carpet,513,245,DH,UCSC
4,37.02008,-122.06927,Magic Carpet,513,245,DH,UCSC
5,37.02008,-122.06904,Magic Carpet,513,245,DH,UCSC
6,37.02031,-122.06834,Magic Carpet,513,245,DH,UCSC
7,37.02064,-122.06811,Magic Carpet,513,245,DH,UCSC
8,37.02071,-122.06789,Magic Carpet,513,245,DH,UCSC
9,37.02069,-122.06778,Magic Carpet,513,245,DH,UCSC
10,37.02093,-122.06735,Magic Carpet,513,245,DH,UCSC
11,37.02113,-122.06684,Magic Carpet,513,245,DH,UCSC
12,37.02133,-122.06653,Magic Carpet,513,245,DH,UCSC
13,37.02152,-122.0663,Magic Carpet,513,245,DH,UCSC
14,37.02171,-122.06595,Magic Carpet,513,245,DH,UCSC
15,37.02196,-122.06569,Magic Carpet,513,245,DH,UCSC
16,37.02212,-122.06559,Magic Carpet,513,245,DH,UCSC
17,37.02239,-122.06537,Magic Carpet,513,245,DH,UCSC
18,37.02264,-122.065,Magic Carpet,513,245,DH,UCSC
19,37.02279,-122.06488,Magic Carpet,513,245,DH,UCSC
20,37.02292,-122.06484,Magic Carpet,513,245,DH,UCSC
21,37.02325,-122.06468,Magic Carpet,513,245,DH,UCSC
22,37.0236,-122.0646,Magic Carpet,513,245,DH,UCSC
23,37.02414,-122.06463,Magic Carpet,513,245,DH,UCSC
24,37.02431,-122.06459,Magic Carpet,513,245,DH,UCSC
25,37.02459,-122.06441,Magic Carpet,513,245,DH,UCSC
26,37.02497,-122.0637,Magic Carpet,513,245,DH,UCSC
27,37.02522,-122.06336,Magic Carpet,513,245,DH,UCSC
28,37.0254,-122.06304,Magic Carpet,513,245,DH,UCSC
29,37.02575,-122.06267,Magic Carpet,513,245,DH,UCSC
30,37.02589,-122.06244,Magic Carpet,513,245,DH,UCSC
31,37.02624,-122.06207,Magic Carpet,513,245,DH,UCSC
32,37.0264,-122.06183,Magic Carpet,513,245,DH,UCSC
33,37.02654,-122.06172,Magic Carpet,513,245,DH,UCSC
34,37.02759,-122.0616,Magic Carpet,513,245,DH,UCSC
35,37.02793,-122.06154,Magic Carpet,513,245,DH,UCSC
36,37.0281,-122.06148,Magic Carpet,513,245,DH,UCSC
37,37.02844,-122.06129,Magic Carpet,513,245,DH,UCSC
38,37.02869,-122.0612,Magic Carpet,513,245,DH,UCSC
39,37.02894,-122.06117,Magic Carpet,513,245,DH,UCSC
40,37.02927,-122.06099,Magic Carpet,513,245,DH,UCSC
41,37.02947,-122.06079,Magic Carpet,513,245,DH,UCSC
42,37.02957,-122.06055,Magic Carpet,513,245,DH,UCSC
43,37.02968,-122.06037,Magic Carpet,513,245,DH,UCSC
44,37.02986,-122.06016,Magic Carpet,513,245,DH,UCSC
45,37.02993,-122.06012,Magic Carpet,513,245,DH,UCSC
46,37.03002,-122.05991,Magic Carpet,513,245,DH,UCSC
47,37.03006,-122.05987,Magic Carpet,513,245,DH,UCSC
48,37.03004,-122.05998,Magic Carpet,513,245,DH,UCSC
49,37.03008,-122.06004,Magic Carpet,513,245,DH,UCSC
50,37.03009,-122.0601,Magic Carpet,513,245,DH,UCSC
51,37.03007,-122.0602,Magic Carpet,513,245,DH,UCSC
52,37.03008,-122.06016,Magic Carpet,513,245,DH,UCSC
53,37.03018,-122.06,Magic Carpet,513,245,DH,UCSC
54,37.03024,-122.05986,Magic Carpet,513,245,DH,UCSC
55,37.03024,-122.05978,Magic Carpet,513,245,DH,UCSC
