,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.01669,-122.07798,Mailboxes,1402,386,DH,Empire/Wilder
1,37.01658,-122.07794,Mailboxes,1402,386,DH,Empire/Wilder
2,37.01648,-122.07794,Mailboxes,1402,386,DH,Empire/Wilder
3,37.01628,-122.07791,Mailboxes,1402,386,DH,Empire/Wilder
4,37.01613,-122.07794,Mailboxes,1402,386,DH,Empire/Wilder
5,37.01554,-122.07785,Mailboxes,1402,386,DH,Empire/Wilder
6,37.01533,-122.07773,Mailboxes,1402,386,DH,Empire/Wilder
7,37.01495,-122.07738,Mailboxes,1402,386,DH,Empire/Wilder
8,37.01464,-122.07731,Mailboxes,1402,386,DH,Empire/Wilder
9,37.01438,-122.07721,Mailboxes,1402,386,DH,Empire/Wilder
10,37.01386,-122.07718,Mailboxes,1402,386,DH,Empire/Wilder
11,37.0137,-122.0772,Mailboxes,1402,386,DH,Empire/Wilder
12,37.01347,-122.07713,Mailboxes,1402,386,DH,Empire/Wilder
13,37.01338,-122.07713,Mailboxes,1402,386,DH,Empire/Wilder
14,37.01318,-122.07718,Mailboxes,1402,386,DH,Empire/Wilder
15,37.01306,-122.07727,Mailboxes,1402,386,DH,Empire/Wilder
16,37.01269,-122.07789,Mailboxes,1402,386,DH,Empire/Wilder
17,37.01254,-122.07828,Mailboxes,1402,386,DH,Empire/Wilder
18,37.01242,-122.07848,Mailboxes,1402,386,DH,Empire/Wilder
19,37.01238,-122.07859,Mailboxes,1402,386,DH,Empire/Wilder
20,37.0121,-122.07891,Mailboxes,1402,386,DH,Empire/Wilder
21,37.01198,-122.07899,Mailboxes,1402,386,DH,Empire/Wilder
22,37.01176,-122.07923,Mailboxes,1402,386,DH,Empire/Wilder
23,37.01167,-122.07942,Mailboxes,1402,386,DH,Empire/Wilder
24,37.01153,-122.0799,Mailboxes,1402,386,DH,Empire/Wilder
25,37.01148,-122.08038,Mailboxes,1402,386,DH,Empire/Wilder
26,37.01125,-122.0806,Mailboxes,1402,386,DH,Empire/Wilder
27,37.0105,-122.08084,Mailboxes,1402,386,DH,Empire/Wilder
28,37.0104,-122.08086,Mailboxes,1402,386,DH,Empire/Wilder
29,37.01006,-122.08087,Mailboxes,1402,386,DH,Empire/Wilder
30,37.0097,-122.08082,Mailboxes,1402,386,DH,Empire/Wilder
31,37.00953,-122.08078,Mailboxes,1402,386,DH,Empire/Wilder
32,37.00937,-122.08076,Mailboxes,1402,386,DH,Empire/Wilder
33,37.00927,-122.0808,Mailboxes,1402,386,DH,Empire/Wilder
34,37.00909,-122.08092,Mailboxes,1402,386,DH,Empire/Wilder
35,37.0088,-122.081,Mailboxes,1402,386,DH,Empire/Wilder
36,37.00861,-122.08103,Mailboxes,1402,386,DH,Empire/Wilder
37,37.00829,-122.08094,Mailboxes,1402,386,DH,Empire/Wilder
38,37.00792,-122.08092,Mailboxes,1402,386,DH,Empire/Wilder
39,37.00758,-122.08086,Mailboxes,1402,386,DH,Empire/Wilder
40,37.00737,-122.08089,Mailboxes,1402,386,DH,Empire/Wilder
41,37.00708,-122.08102,Mailboxes,1402,386,DH,Empire/Wilder
42,37.00691,-122.08103,Mailboxes,1402,386,DH,Empire/Wilder
43,37.0067,-122.08096,Mailboxes,1402,386,DH,Empire/Wilder
44,37.00657,-122.08066,Mailboxes,1402,386,DH,Empire/Wilder
45,37.00648,-122.08034,Mailboxes,1402,386,DH,Empire/Wilder
46,37.0061,-122.07979,Mailboxes,1402,386,DH,Empire/Wilder
47,37.00585,-122.07923,Mailboxes,1402,386,DH,Empire/Wilder
48,37.00578,-122.07913,Mailboxes,1402,386,DH,Empire/Wilder
