,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.02712,-121.92688,Northside Climb,17,45,Climb,Buddah
1,37.02721,-121.92693,Northside Climb,17,45,Climb,Buddah
2,37.02727,-121.92691,Northside Climb,17,45,Climb,Buddah
3,37.02741,-121.92666,Northside Climb,17,45,Climb,Buddah
4,37.02751,-121.92658,Northside Climb,17,45,Climb,Buddah
5,37.02758,-121.92637,Northside Climb,17,45,Climb,Buddah
6,37.02766,-121.92643,Northside Climb,17,45,Climb,Buddah
7,37.02783,-121.92668,Northside Climb,17,45,Climb,Buddah
8,37.0277,-121.92696,Northside Climb,17,45,Climb,Buddah
9,37.02772,-121.92691,Northside Climb,17,45,Climb,Buddah
10,37.02775,-121.92691,Northside Climb,17,45,Climb,Buddah
11,37.02787,-121.92676,Northside Climb,17,45,Climb,Buddah
12,37.02803,-121.92663,Northside Climb,17,45,Climb,Buddah
13,37.02808,-121.92652,Northside Climb,17,45,Climb,Buddah
14,37.02815,-121.92642,Northside Climb,17,45,Climb,Buddah
15,37.02825,-121.92633,Northside Climb,17,45,Climb,Buddah
16,37.02837,-121.92611,Northside Climb,17,45,Climb,Buddah
17,37.02842,-121.92593,Northside Climb,17,45,Climb,Buddah
18,37.02845,-121.9259,Northside Climb,17,45,Climb,Buddah
19,37.02841,-121.92591,Northside Climb,17,45,Climb,Buddah
20,37.02839,-121.92589,Northside Climb,17,45,Climb,Buddah
21,37.02837,-121.92594,Northside Climb,17,45,Climb,Buddah
22,37.02836,-121.92605,Northside Climb,17,45,Climb,Buddah
23,37.02837,-121.9264,Northside Climb,17,45,Climb,Buddah
24,37.02834,-121.92675,Northside Climb,17,45,Climb,Buddah
25,37.02835,-121.92681,Northside Climb,17,45,Climb,Buddah
26,37.02841,-121.92689,Northside Climb,17,45,Climb,Buddah
27,37.02846,-121.92691,Northside Climb,17,45,Climb,Buddah
28,37.02863,-121.92677,Northside Climb,17,45,Climb,Buddah
29,37.02875,-121.92675,Northside Climb,17,45,Climb,Buddah
30,37.02882,-121.92666,Northside Climb,17,45,Climb,Buddah
31,37.0288,-121.92657,Northside Climb,17,45,Climb,Buddah
32,37.02881,-121.92645,Northside Climb,17,45,Climb,Buddah
33,37.02886,-121.92631,Northside Climb,17,45,Climb,Buddah
34,37.02888,-121.92609,Northside Climb,17,45,Climb,Buddah
35,37.02891,-121.926,Northside Climb,17,45,Climb,Buddah
36,37.02891,-121.92572,Northside Climb,17,45,Climb,Buddah
37,37.02893,-121.92575,Northside Climb,17,45,Climb,Buddah
38,37.02894,-121.92587,Northside Climb,17,45,Climb,Buddah
39,37.02897,-121.92596,Northside Climb,17,45,Climb,Buddah
40,37.02908,-121.9261,Northside Climb,17,45,Climb,Buddah
41,37.02928,-121.92618,Northside Climb,17,45,Climb,Buddah
42,37.02949,-121.9263,Northside Climb,17,45,Climb,Buddah
43,37.0296,-121.92632,Northside Climb,17,45,Climb,Buddah
44,37.02983,-121.92648,Northside Climb,17,45,Climb,Buddah
45,37.02999,-121.92651,Northside Climb,17,45,Climb,Buddah
46,37.02995,-121.92642,Northside Climb,17,45,Climb,Buddah
47,37.02996,-121.92616,Northside Climb,17,45,Climb,Buddah
48,37.02993,-121.92586,Northside Climb,17,45,Climb,Buddah
49,37.02986,-121.9257,Northside Climb,17,45,Climb,Buddah
50,37.0298,-121.92564,Northside Climb,17,45,Climb,Buddah
51,37.02977,-121.9256,Northside Climb,17,45,Climb,Buddah
52,37.02954,-121.92481,Northside Climb,17,45,Climb,Buddah
53,37.02956,-121.92466,Northside Climb,17,45,Climb,Buddah
54,37.02956,-121.92453,Northside Climb,17,45,Climb,Buddah
55,37.02963,-121.92416,Northside Climb,17,45,Climb,Buddah
56,37.02962,-121.92403,Northside Climb,17,45,Climb,Buddah
57,37.02957,-121.9239,Northside Climb,17,45,Climb,Buddah
58,37.02957,-121.92383,Northside Climb,17,45,Climb,Buddah
59,37.02961,-121.92374,Northside Climb,17,45,Climb,Buddah
60,37.02964,-121.92374,Northside Climb,17,45,Climb,Buddah
61,37.02978,-121.92383,Northside Climb,17,45,Climb,Buddah
62,37.02989,-121.92385,Northside Climb,17,45,Climb,Buddah
63,37.03004,-121.92384,Northside Climb,17,45,Climb,Buddah
64,37.03016,-121.92377,Northside Climb,17,45,Climb,Buddah
65,37.0302,-121.92367,Northside Climb,17,45,Climb,Buddah
66,37.03023,-121.92351,Northside Climb,17,45,Climb,Buddah
67,37.03028,-121.92336,Northside Climb,17,45,Climb,Buddah
68,37.03053,-121.92289,Northside Climb,17,45,Climb,Buddah
69,37.03063,-121.92267,Northside Climb,17,45,Climb,Buddah
70,37.03068,-121.92253,Northside Climb,17,45,Climb,Buddah
71,37.03063,-121.9222,Northside Climb,17,45,Climb,Buddah
72,37.0306,-121.92212,Northside Climb,17,45,Climb,Buddah
73,37.03052,-121.92196,Northside Climb,17,45,Climb,Buddah
74,37.03038,-121.9219,Northside Climb,17,45,Climb,Buddah
75,37.03032,-121.92178,Northside Climb,17,45,Climb,Buddah
76,37.03026,-121.9217,Northside Climb,17,45,Climb,Buddah
77,37.03023,-121.92151,Northside Climb,17,45,Climb,Buddah
78,37.03027,-121.92137,Northside Climb,17,45,Climb,Buddah
79,37.03034,-121.92134,Northside Climb,17,45,Climb,Buddah
80,37.03051,-121.92119,Northside Climb,17,45,Climb,Buddah
81,37.03065,-121.92116,Northside Climb,17,45,Climb,Buddah
82,37.03082,-121.92117,Northside Climb,17,45,Climb,Buddah
83,37.03096,-121.92116,Northside Climb,17,45,Climb,Buddah
84,37.03107,-121.92123,Northside Climb,17,45,Climb,Buddah
