,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.00615,-122.05442,Off Camber,0,0,DH,UCSC
1,37.0062,-122.0544,Off Camber,0,0,DH,UCSC
2,37.00629,-122.05432,Off Camber,0,0,DH,UCSC
3,37.00652,-122.05396,Off Camber,0,0,DH,UCSC
4,37.00656,-122.0538,Off Camber,0,0,DH,UCSC
5,37.00661,-122.05378,Off Camber,0,0,DH,UCSC
6,37.00678,-122.05356,Off Camber,0,0,DH,UCSC
7,37.00694,-122.05345,Off Camber,0,0,DH,UCSC
8,37.00708,-122.05338,Off Camber,0,0,DH,UCSC
9,37.00718,-122.0529,Off Camber,0,0,DH,UCSC
10,37.00725,-122.05283,Off Camber,0,0,DH,UCSC
11,37.00745,-122.05254,Off Camber,0,0,DH,UCSC
12,37.00753,-122.05238,Off Camber,0,0,DH,UCSC
13,37.00768,-122.05201,Off Camber,0,0,DH,UCSC
14,37.00766,-122.05161,Off Camber,0,0,DH,UCSC
15,37.00764,-122.05154,Off Camber,0,0,DH,UCSC
16,37.00768,-122.05154,Off Camber,0,0,DH,UCSC
17,37.00768,-122.0515,Off Camber,0,0,DH,UCSC
18,37.00788,-122.05144,Off Camber,0,0,DH,UCSC
19,37.008,-122.05132,Off Camber,0,0,DH,UCSC
20,37.00795,-122.05122,Off Camber,0,0,DH,UCSC
21,37.00796,-122.05118,Off Camber,0,0,DH,UCSC
22,37.00801,-122.05106,Off Camber,0,0,DH,UCSC
23,37.00814,-122.05095,Off Camber,0,0,DH,UCSC
24,37.00818,-122.05086,Off Camber,0,0,DH,UCSC
25,37.00817,-122.05076,Off Camber,0,0,DH,UCSC
26,37.00808,-122.05055,Off Camber,0,0,DH,UCSC
27,37.00804,-122.05023,Off Camber,0,0,DH,UCSC
28,37.00804,-122.04995,Off Camber,0,0,DH,UCSC
29,37.00797,-122.04983,Off Camber,0,0,DH,UCSC
30,37.00794,-122.04972,Off Camber,0,0,DH,UCSC
31,37.00792,-122.04969,Off Camber,0,0,DH,UCSC
32,37.00794,-122.04964,Off Camber,0,0,DH,UCSC
33,37.00792,-122.04956,Off Camber,0,0,DH,UCSC
34,37.00787,-122.04947,Off Camber,0,0,DH,UCSC
35,37.00782,-122.04944,Off Camber,0,0,DH,UCSC
36,37.00779,-122.04939,Off Camber,0,0,DH,UCSC
37,37.00763,-122.04932,Off Camber,0,0,DH,UCSC
38,37.00754,-122.04922,Off Camber,0,0,DH,UCSC
39,37.00756,-122.04914,Off Camber,0,0,DH,UCSC
40,37.00768,-122.04909,Off Camber,0,0,DH,UCSC
41,37.00778,-122.04901,Off Camber,0,0,DH,UCSC
42,37.00791,-122.04896,Off Camber,0,0,DH,UCSC
43,37.00791,-122.04902,Off Camber,0,0,DH,UCSC
