,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.05856,-121.91956,Olive Springs to Nisene,72,77,Climb,Nisene
1,37.05862,-121.91951,Olive Springs to Nisene,72,77,Climb,Nisene
2,37.05881,-121.91942,Olive Springs to Nisene,72,77,Climb,Nisene
3,37.05891,-121.91934,Olive Springs to Nisene,72,77,Climb,Nisene
4,37.0591,-121.91923,Olive Springs to Nisene,72,77,Climb,Nisene
5,37.05943,-121.91887,Olive Springs to Nisene,72,77,Climb,Nisene
6,37.0595,-121.91876,Olive Springs to Nisene,72,77,Climb,Nisene
7,37.05952,-121.91866,Olive Springs to Nisene,72,77,Climb,Nisene
8,37.05956,-121.91861,Olive Springs to Nisene,72,77,Climb,Nisene
9,37.0596,-121.91829,Olive Springs to Nisene,72,77,Climb,Nisene
10,37.05989,-121.91796,Olive Springs to Nisene,72,77,Climb,Nisene
11,37.06012,-121.91783,Olive Springs to Nisene,72,77,Climb,Nisene
12,37.06043,-121.91754,Olive Springs to Nisene,72,77,Climb,Nisene
13,37.06065,-121.91741,Olive Springs to Nisene,72,77,Climb,Nisene
14,37.06073,-121.91724,Olive Springs to Nisene,72,77,Climb,Nisene
15,37.06076,-121.91701,Olive Springs to Nisene,72,77,Climb,Nisene
16,37.06098,-121.91661,Olive Springs to Nisene,72,77,Climb,Nisene
17,37.06099,-121.91639,Olive Springs to Nisene,72,77,Climb,Nisene
18,37.06109,-121.91621,Olive Springs to Nisene,72,77,Climb,Nisene
19,37.06112,-121.91619,Olive Springs to Nisene,72,77,Climb,Nisene
20,37.06124,-121.9162,Olive Springs to Nisene,72,77,Climb,Nisene
21,37.06137,-121.9161,Olive Springs to Nisene,72,77,Climb,Nisene
22,37.06155,-121.91592,Olive Springs to Nisene,72,77,Climb,Nisene
23,37.06158,-121.91587,Olive Springs to Nisene,72,77,Climb,Nisene
24,37.06157,-121.91579,Olive Springs to Nisene,72,77,Climb,Nisene
25,37.06171,-121.91532,Olive Springs to Nisene,72,77,Climb,Nisene
26,37.06175,-121.91522,Olive Springs to Nisene,72,77,Climb,Nisene
27,37.06193,-121.91493,Olive Springs to Nisene,72,77,Climb,Nisene
28,37.06203,-121.9148,Olive Springs to Nisene,72,77,Climb,Nisene
