,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.0829,-121.85402,Parking Lot to Sulphur,99,52,Climb,Demo
1,37.08306,-121.85421,Parking Lot to Sulphur,99,52,Climb,Demo
2,37.08312,-121.85433,Parking Lot to Sulphur,99,52,Climb,Demo
3,37.0832,-121.85452,Parking Lot to Sulphur,99,52,Climb,Demo
4,37.08323,-121.85463,Parking Lot to Sulphur,99,52,Climb,Demo
5,37.08324,-121.85484,Parking Lot to Sulphur,99,52,Climb,Demo
6,37.0834,-121.85545,Parking Lot to Sulphur,99,52,Climb,Demo
7,37.0834,-121.85562,Parking Lot to Sulphur,99,52,Climb,Demo
8,37.08343,-121.85586,Parking Lot to Sulphur,99,52,Climb,Demo
9,37.0834,-121.85608,Parking Lot to Sulphur,99,52,Climb,Demo
10,37.08342,-121.85613,Parking Lot to Sulphur,99,52,Climb,Demo
11,37.08336,-121.85632,Parking Lot to Sulphur,99,52,Climb,Demo
12,37.08352,-121.85661,Parking Lot to Sulphur,99,52,Climb,Demo
13,37.08355,-121.85675,Parking Lot to Sulphur,99,52,Climb,Demo
14,37.08361,-121.85691,Parking Lot to Sulphur,99,52,Climb,Demo
15,37.08362,-121.85705,Parking Lot to Sulphur,99,52,Climb,Demo
16,37.08358,-121.8572,Parking Lot to Sulphur,99,52,Climb,Demo
17,37.08358,-121.85733,Parking Lot to Sulphur,99,52,Climb,Demo
18,37.0837,-121.85768,Parking Lot to Sulphur,99,52,Climb,Demo
19,37.08374,-121.85791,Parking Lot to Sulphur,99,52,Climb,Demo
20,37.08373,-121.85814,Parking Lot to Sulphur,99,52,Climb,Demo
21,37.08366,-121.85833,Parking Lot to Sulphur,99,52,Climb,Demo
22,37.08364,-121.85845,Parking Lot to Sulphur,99,52,Climb,Demo
23,37.08364,-121.85853,Parking Lot to Sulphur,99,52,Climb,Demo
24,37.08367,-121.85859,Parking Lot to Sulphur,99,52,Climb,Demo
25,37.0837,-121.85864,Parking Lot to Sulphur,99,52,Climb,Demo
