,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.05578,-121.87976,Pig,233,124,DH,Nisene
1,37.05569,-121.87978,Pig,233,124,DH,Nisene
2,37.05564,-121.87983,Pig,233,124,DH,Nisene
3,37.05551,-121.87984,Pig,233,124,DH,Nisene
4,37.05547,-121.87987,Pig,233,124,DH,Nisene
5,37.0553,-121.88015,Pig,233,124,DH,Nisene
6,37.05516,-121.8803,Pig,233,124,DH,Nisene
7,37.05506,-121.88035,Pig,233,124,DH,Nisene
8,37.05497,-121.88037,Pig,233,124,DH,Nisene
9,37.05475,-121.88033,Pig,233,124,DH,Nisene
10,37.05434,-121.88018,Pig,233,124,DH,Nisene
11,37.0544,-121.88023,Pig,233,124,DH,Nisene
12,37.05434,-121.88017,Pig,233,124,DH,Nisene
13,37.0543,-121.88018,Pig,233,124,DH,Nisene
14,37.05417,-121.88007,Pig,233,124,DH,Nisene
15,37.05414,-121.88007,Pig,233,124,DH,Nisene
16,37.05402,-121.87998,Pig,233,124,DH,Nisene
17,37.05399,-121.87998,Pig,233,124,DH,Nisene
18,37.0539,-121.88003,Pig,233,124,DH,Nisene
19,37.05387,-121.88004,Pig,233,124,DH,Nisene
20,37.0537,-121.88002,Pig,233,124,DH,Nisene
21,37.05357,-121.88003,Pig,233,124,DH,Nisene
22,37.05326,-121.88023,Pig,233,124,DH,Nisene
23,37.05321,-121.88023,Pig,233,124,DH,Nisene
24,37.05308,-121.88013,Pig,233,124,DH,Nisene
25,37.05305,-121.88014,Pig,233,124,DH,Nisene
26,37.05301,-121.88023,Pig,233,124,DH,Nisene
27,37.05294,-121.88058,Pig,233,124,DH,Nisene
28,37.05292,-121.88065,Pig,233,124,DH,Nisene
29,37.05288,-121.88072,Pig,233,124,DH,Nisene
30,37.05279,-121.88082,Pig,233,124,DH,Nisene
31,37.05269,-121.88088,Pig,233,124,DH,Nisene
32,37.05255,-121.88083,Pig,233,124,DH,Nisene
33,37.05238,-121.88085,Pig,233,124,DH,Nisene
34,37.0523,-121.88084,Pig,233,124,DH,Nisene
35,37.05218,-121.88089,Pig,233,124,DH,Nisene
36,37.05208,-121.88089,Pig,233,124,DH,Nisene
37,37.05196,-121.88082,Pig,233,124,DH,Nisene
38,37.05183,-121.88063,Pig,233,124,DH,Nisene
39,37.05178,-121.88059,Pig,233,124,DH,Nisene
40,37.05171,-121.88058,Pig,233,124,DH,Nisene
41,37.05159,-121.88059,Pig,233,124,DH,Nisene
42,37.05147,-121.88067,Pig,233,124,DH,Nisene
43,37.05149,-121.88064,Pig,233,124,DH,Nisene
44,37.05141,-121.88074,Pig,233,124,DH,Nisene
45,37.05125,-121.88078,Pig,233,124,DH,Nisene
46,37.0512,-121.88082,Pig,233,124,DH,Nisene
47,37.05111,-121.88085,Pig,233,124,DH,Nisene
48,37.05104,-121.88084,Pig,233,124,DH,Nisene
49,37.05092,-121.88088,Pig,233,124,DH,Nisene
50,37.0507,-121.88083,Pig,233,124,DH,Nisene
51,37.05073,-121.88082,Pig,233,124,DH,Nisene
52,37.05075,-121.88085,Pig,233,124,DH,Nisene
53,37.05071,-121.88085,Pig,233,124,DH,Nisene
54,37.05054,-121.88062,Pig,233,124,DH,Nisene
55,37.05017,-121.88029,Pig,233,124,DH,Nisene
56,37.05015,-121.88024,Pig,233,124,DH,Nisene
57,37.05012,-121.88013,Pig,233,124,DH,Nisene
58,37.05008,-121.88007,Pig,233,124,DH,Nisene
59,37.04998,-121.88005,Pig,233,124,DH,Nisene
60,37.04977,-121.88005,Pig,233,124,DH,Nisene
61,37.04957,-121.88003,Pig,233,124,DH,Nisene
62,37.04942,-121.88005,Pig,233,124,DH,Nisene
63,37.04931,-121.88001,Pig,233,124,DH,Nisene
64,37.04922,-121.87994,Pig,233,124,DH,Nisene
65,37.0492,-121.87989,Pig,233,124,DH,Nisene
66,37.04911,-121.8796,Pig,233,124,DH,Nisene
67,37.04908,-121.87957,Pig,233,124,DH,Nisene
68,37.04904,-121.87958,Pig,233,124,DH,Nisene
69,37.049,-121.87962,Pig,233,124,DH,Nisene
70,37.04881,-121.87985,Pig,233,124,DH,Nisene
71,37.04878,-121.87984,Pig,233,124,DH,Nisene
72,37.04869,-121.87973,Pig,233,124,DH,Nisene
73,37.04855,-121.87967,Pig,233,124,DH,Nisene
74,37.04831,-121.87905,Pig,233,124,DH,Nisene
75,37.0483,-121.87889,Pig,233,124,DH,Nisene
76,37.04833,-121.87875,Pig,233,124,DH,Nisene
77,37.04822,-121.87888,Pig,233,124,DH,Nisene
78,37.04818,-121.87892,Pig,233,124,DH,Nisene
79,37.04812,-121.87893,Pig,233,124,DH,Nisene
80,37.04805,-121.87892,Pig,233,124,DH,Nisene
81,37.04799,-121.87888,Pig,233,124,DH,Nisene
82,37.0479,-121.87875,Pig,233,124,DH,Nisene
83,37.04785,-121.87871,Pig,233,124,DH,Nisene
84,37.04774,-121.87868,Pig,233,124,DH,Nisene
85,37.0476,-121.87867,Pig,233,124,DH,Nisene
86,37.0475,-121.87873,Pig,233,124,DH,Nisene
87,37.0473,-121.87875,Pig,233,124,DH,Nisene
88,37.04719,-121.8787,Pig,233,124,DH,Nisene
89,37.04704,-121.87854,Pig,233,124,DH,Nisene
90,37.04692,-121.87846,Pig,233,124,DH,Nisene
91,37.04682,-121.87838,Pig,233,124,DH,Nisene
