,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.00661,-122.04646,Pogonip,5384,1108,Climb,UCSC
1,37.00656,-122.04646,Pogonip,5384,1108,Climb,UCSC
2,37.00647,-122.04653,Pogonip,5384,1108,Climb,UCSC
3,37.00648,-122.04655,Pogonip,5384,1108,Climb,UCSC
4,37.00648,-122.04652,Pogonip,5384,1108,Climb,UCSC
5,37.00642,-122.04656,Pogonip,5384,1108,Climb,UCSC
6,37.00636,-122.04669,Pogonip,5384,1108,Climb,UCSC
7,37.0063,-122.04675,Pogonip,5384,1108,Climb,UCSC
8,37.00621,-122.0468,Pogonip,5384,1108,Climb,UCSC
9,37.00611,-122.04691,Pogonip,5384,1108,Climb,UCSC
10,37.00611,-122.04694,Pogonip,5384,1108,Climb,UCSC
11,37.00614,-122.04696,Pogonip,5384,1108,Climb,UCSC
12,37.00614,-122.04707,Pogonip,5384,1108,Climb,UCSC
13,37.00617,-122.04712,Pogonip,5384,1108,Climb,UCSC
14,37.0062,-122.04713,Pogonip,5384,1108,Climb,UCSC
15,37.0062,-122.04725,Pogonip,5384,1108,Climb,UCSC
16,37.00621,-122.0473,Pogonip,5384,1108,Climb,UCSC
17,37.00632,-122.04739,Pogonip,5384,1108,Climb,UCSC
18,37.00639,-122.04754,Pogonip,5384,1108,Climb,UCSC
19,37.00659,-122.04773,Pogonip,5384,1108,Climb,UCSC
20,37.00667,-122.04784,Pogonip,5384,1108,Climb,UCSC
21,37.00656,-122.04793,Pogonip,5384,1108,Climb,UCSC
22,37.00649,-122.04803,Pogonip,5384,1108,Climb,UCSC
23,37.00643,-122.04803,Pogonip,5384,1108,Climb,UCSC
24,37.00626,-122.04811,Pogonip,5384,1108,Climb,UCSC
25,37.00603,-122.04835,Pogonip,5384,1108,Climb,UCSC
26,37.00598,-122.04833,Pogonip,5384,1108,Climb,UCSC
27,37.00602,-122.0483,Pogonip,5384,1108,Climb,UCSC
28,37.00597,-122.04831,Pogonip,5384,1108,Climb,UCSC
29,37.00598,-122.04836,Pogonip,5384,1108,Climb,UCSC
30,37.00607,-122.04848,Pogonip,5384,1108,Climb,UCSC
31,37.0061,-122.04861,Pogonip,5384,1108,Climb,UCSC
32,37.00618,-122.04865,Pogonip,5384,1108,Climb,UCSC
33,37.00605,-122.04882,Pogonip,5384,1108,Climb,UCSC
34,37.006,-122.04886,Pogonip,5384,1108,Climb,UCSC
35,37.00595,-122.04897,Pogonip,5384,1108,Climb,UCSC
36,37.00594,-122.04902,Pogonip,5384,1108,Climb,UCSC
37,37.00597,-122.04922,Pogonip,5384,1108,Climb,UCSC
38,37.00601,-122.04932,Pogonip,5384,1108,Climb,UCSC
39,37.00602,-122.04947,Pogonip,5384,1108,Climb,UCSC
40,37.00607,-122.04956,Pogonip,5384,1108,Climb,UCSC
41,37.00602,-122.04964,Pogonip,5384,1108,Climb,UCSC
