,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.00185,-122.05163,Pogonip DH,531,71,DH,UCSC
1,37.00189,-122.05146,Pogonip DH,531,71,DH,UCSC
2,37.00198,-122.05143,Pogonip DH,531,71,DH,UCSC
3,37.0019,-122.05134,Pogonip DH,531,71,DH,UCSC
4,37.0017,-122.05133,Pogonip DH,531,71,DH,UCSC
5,37.00157,-122.05138,Pogonip DH,531,71,DH,UCSC
6,37.00145,-122.05131,Pogonip DH,531,71,DH,UCSC
7,37.00164,-122.05101,Pogonip DH,531,71,DH,UCSC
8,37.0017,-122.0507,Pogonip DH,531,71,DH,UCSC
9,37.00179,-122.05059,Pogonip DH,531,71,DH,UCSC
10,37.00198,-122.05046,Pogonip DH,531,71,DH,UCSC
11,37.00235,-122.05065,Pogonip DH,531,71,DH,UCSC
12,37.00252,-122.05065,Pogonip DH,531,71,DH,UCSC
13,37.00278,-122.0506,Pogonip DH,531,71,DH,UCSC
14,37.00313,-122.05062,Pogonip DH,531,71,DH,UCSC
15,37.00337,-122.05069,Pogonip DH,531,71,DH,UCSC
16,37.0036,-122.05086,Pogonip DH,531,71,DH,UCSC
17,37.00399,-122.05042,Pogonip DH,531,71,DH,UCSC
18,37.00423,-122.05035,Pogonip DH,531,71,DH,UCSC
19,37.00455,-122.0506,Pogonip DH,531,71,DH,UCSC
20,37.00462,-122.05059,Pogonip DH,531,71,DH,UCSC
21,37.00471,-122.05051,Pogonip DH,531,71,DH,UCSC
22,37.00478,-122.0504,Pogonip DH,531,71,DH,UCSC
23,37.00489,-122.05028,Pogonip DH,531,71,DH,UCSC
24,37.00509,-122.05014,Pogonip DH,531,71,DH,UCSC
25,37.00527,-122.04972,Pogonip DH,531,71,DH,UCSC
26,37.00546,-122.04966,Pogonip DH,531,71,DH,UCSC
27,37.00579,-122.04976,Pogonip DH,531,71,DH,UCSC
28,37.00608,-122.0498,Pogonip DH,531,71,DH,UCSC
29,37.00617,-122.04976,Pogonip DH,531,71,DH,UCSC
30,37.00597,-122.04951,Pogonip DH,531,71,DH,UCSC
31,37.00584,-122.04925,Pogonip DH,531,71,DH,UCSC
32,37.00582,-122.04894,Pogonip DH,531,71,DH,UCSC
33,37.00627,-122.04876,Pogonip DH,531,71,DH,UCSC
34,37.00586,-122.0484,Pogonip DH,531,71,DH,UCSC
35,37.00582,-122.04839,Pogonip DH,531,71,DH,UCSC
36,37.00595,-122.04825,Pogonip DH,531,71,DH,UCSC
37,37.00613,-122.04811,Pogonip DH,531,71,DH,UCSC
38,37.00653,-122.04796,Pogonip DH,531,71,DH,UCSC
39,37.00678,-122.04796,Pogonip DH,531,71,DH,UCSC
40,37.00684,-122.04792,Pogonip DH,531,71,DH,UCSC
41,37.00626,-122.04749,Pogonip DH,531,71,DH,UCSC
42,37.00612,-122.04731,Pogonip DH,531,71,DH,UCSC
43,37.00603,-122.0471,Pogonip DH,531,71,DH,UCSC
44,37.00606,-122.04688,Pogonip DH,531,71,DH,UCSC
