,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.00654,-121.9155,Powerlines,215,150,DH,Nisene
1,37.00662,-121.91541,Powerlines,215,150,DH,Nisene
2,37.00683,-121.91531,Powerlines,215,150,DH,Nisene
3,37.007,-121.91525,Powerlines,215,150,DH,Nisene
4,37.00708,-121.91516,Powerlines,215,150,DH,Nisene
5,37.00718,-121.91509,Powerlines,215,150,DH,Nisene
6,37.00726,-121.91501,Powerlines,215,150,DH,Nisene
7,37.00738,-121.91494,Powerlines,215,150,DH,Nisene
8,37.00749,-121.91483,Powerlines,215,150,DH,Nisene
9,37.00766,-121.91452,Powerlines,215,150,DH,Nisene
10,37.00789,-121.91424,Powerlines,215,150,DH,Nisene
11,37.00807,-121.91392,Powerlines,215,150,DH,Nisene
12,37.00816,-121.91371,Powerlines,215,150,DH,Nisene
13,37.00818,-121.91344,Powerlines,215,150,DH,Nisene
14,37.00804,-121.91307,Powerlines,215,150,DH,Nisene
15,37.00797,-121.91275,Powerlines,215,150,DH,Nisene
16,37.00794,-121.91242,Powerlines,215,150,DH,Nisene
17,37.00779,-121.91183,Powerlines,215,150,DH,Nisene
18,37.00774,-121.91173,Powerlines,215,150,DH,Nisene
19,37.00759,-121.91154,Powerlines,215,150,DH,Nisene
20,37.00756,-121.91138,Powerlines,215,150,DH,Nisene
21,37.00739,-121.91102,Powerlines,215,150,DH,Nisene
22,37.00727,-121.91083,Powerlines,215,150,DH,Nisene
23,37.00715,-121.91068,Powerlines,215,150,DH,Nisene
24,37.00704,-121.91061,Powerlines,215,150,DH,Nisene
25,37.00689,-121.91048,Powerlines,215,150,DH,Nisene
26,37.0068,-121.91046,Powerlines,215,150,DH,Nisene
27,37.00669,-121.91046,Powerlines,215,150,DH,Nisene
28,37.00662,-121.91043,Powerlines,215,150,DH,Nisene
29,37.00659,-121.91038,Powerlines,215,150,DH,Nisene
30,37.00661,-121.91032,Powerlines,215,150,DH,Nisene
31,37.00659,-121.91028,Powerlines,215,150,DH,Nisene
32,37.00636,-121.91002,Powerlines,215,150,DH,Nisene
33,37.00623,-121.90991,Powerlines,215,150,DH,Nisene
34,37.00614,-121.90992,Powerlines,215,150,DH,Nisene
35,37.00608,-121.90995,Powerlines,215,150,DH,Nisene
36,37.00605,-121.90994,Powerlines,215,150,DH,Nisene
37,37.00607,-121.90992,Powerlines,215,150,DH,Nisene
38,37.00607,-121.90994,Powerlines,215,150,DH,Nisene
39,37.0061,-121.90987,Powerlines,215,150,DH,Nisene
40,37.00608,-121.9098,Powerlines,215,150,DH,Nisene
41,37.006,-121.9097,Powerlines,215,150,DH,Nisene
42,37.00579,-121.90952,Powerlines,215,150,DH,Nisene
