,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.00878,-122.05865,Rad Delo,9,0,DH,UCSC
1,37.00879,-122.05868,Rad Delo,9,0,DH,UCSC
2,37.00877,-122.05866,Rad Delo,9,0,DH,UCSC
3,37.00877,-122.05869,Rad Delo,9,0,DH,UCSC
4,37.00865,-122.05861,Rad Delo,9,0,DH,UCSC
5,37.0086,-122.05855,Rad Delo,9,0,DH,UCSC
6,37.00856,-122.05846,Rad Delo,9,0,DH,UCSC
7,37.00859,-122.05844,Rad Delo,9,0,DH,UCSC
8,37.00874,-122.05849,Rad Delo,9,0,DH,UCSC
9,37.00876,-122.05846,Rad Delo,9,0,DH,UCSC
10,37.00885,-122.05845,Rad Delo,9,0,DH,UCSC
11,37.00887,-122.05848,Rad Delo,9,0,DH,UCSC
12,37.00886,-122.05845,Rad Delo,9,0,DH,UCSC
13,37.00881,-122.05836,Rad Delo,9,0,DH,UCSC
14,37.00876,-122.05835,Rad Delo,9,0,DH,UCSC
15,37.00874,-122.05829,Rad Delo,9,0,DH,UCSC
16,37.00869,-122.0583,Rad Delo,9,0,DH,UCSC
17,37.00869,-122.05825,Rad Delo,9,0,DH,UCSC
18,37.00862,-122.05819,Rad Delo,9,0,DH,UCSC
19,37.00852,-122.05817,Rad Delo,9,0,DH,UCSC
20,37.00854,-122.05817,Rad Delo,9,0,DH,UCSC
21,37.00851,-122.05816,Rad Delo,9,0,DH,UCSC
22,37.00852,-122.05811,Rad Delo,9,0,DH,UCSC
23,37.00845,-122.05792,Rad Delo,9,0,DH,UCSC
24,37.00823,-122.05772,Rad Delo,9,0,DH,UCSC
25,37.00827,-122.05775,Rad Delo,9,0,DH,UCSC
26,37.00823,-122.05765,Rad Delo,9,0,DH,UCSC
27,37.00816,-122.05753,Rad Delo,9,0,DH,UCSC
28,37.00817,-122.05747,Rad Delo,9,0,DH,UCSC
29,37.00812,-122.05738,Rad Delo,9,0,DH,UCSC
30,37.00803,-122.05731,Rad Delo,9,0,DH,UCSC
31,37.00805,-122.05716,Rad Delo,9,0,DH,UCSC
32,37.00804,-122.05706,Rad Delo,9,0,DH,UCSC
33,37.00813,-122.05697,Rad Delo,9,0,DH,UCSC
34,37.00821,-122.05698,Rad Delo,9,0,DH,UCSC
35,37.00831,-122.05696,Rad Delo,9,0,DH,UCSC
36,37.00837,-122.05692,Rad Delo,9,0,DH,UCSC
37,37.00841,-122.05698,Rad Delo,9,0,DH,UCSC
38,37.00844,-122.05716,Rad Delo,9,0,DH,UCSC
39,37.00846,-122.05717,Rad Delo,9,0,DH,UCSC
40,37.00845,-122.05703,Rad Delo,9,0,DH,UCSC
41,37.00851,-122.05692,Rad Delo,9,0,DH,UCSC
42,37.00846,-122.05684,Rad Delo,9,0,DH,UCSC
43,37.00851,-122.05677,Rad Delo,9,0,DH,UCSC
44,37.00853,-122.05672,Rad Delo,9,0,DH,UCSC
45,37.0086,-122.05664,Rad Delo,9,0,DH,UCSC
46,37.00875,-122.05658,Rad Delo,9,0,DH,UCSC
47,37.00878,-122.0566,Rad Delo,9,0,DH,UCSC
48,37.00883,-122.05648,Rad Delo,9,0,DH,UCSC
49,37.00884,-122.05637,Rad Delo,9,0,DH,UCSC
50,37.0091,-122.05616,Rad Delo,9,0,DH,UCSC
51,37.00928,-122.05597,Rad Delo,9,0,DH,UCSC
52,37.00927,-122.05611,Rad Delo,9,0,DH,UCSC
53,37.0093,-122.05613,Rad Delo,9,0,DH,UCSC
