,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.0088,-122.05835,Rad Trap,156,0,DH,UCSC
1,37.00875,-122.05831,Rad Trap,156,0,DH,UCSC
2,37.00867,-122.05829,Rad Trap,156,0,DH,UCSC
3,37.00866,-122.05826,Rad Trap,156,0,DH,UCSC
4,37.00862,-122.05824,Rad Trap,156,0,DH,UCSC
5,37.00857,-122.05823,Rad Trap,156,0,DH,UCSC
6,37.00853,-122.05817,Rad Trap,156,0,DH,UCSC
7,37.00844,-122.05815,Rad Trap,156,0,DH,UCSC
8,37.00837,-122.05807,Rad Trap,156,0,DH,UCSC
9,37.00836,-122.058,Rad Trap,156,0,DH,UCSC
10,37.00838,-122.05793,Rad Trap,156,0,DH,UCSC
11,37.00831,-122.05777,Rad Trap,156,0,DH,UCSC
12,37.00827,-122.05775,Rad Trap,156,0,DH,UCSC
13,37.00825,-122.0577,Rad Trap,156,0,DH,UCSC
14,37.00817,-122.05764,Rad Trap,156,0,DH,UCSC
15,37.00819,-122.0576,Rad Trap,156,0,DH,UCSC
16,37.00813,-122.05751,Rad Trap,156,0,DH,UCSC
17,37.00807,-122.05729,Rad Trap,156,0,DH,UCSC
18,37.00801,-122.05724,Rad Trap,156,0,DH,UCSC
19,37.00802,-122.05717,Rad Trap,156,0,DH,UCSC
20,37.00798,-122.05716,Rad Trap,156,0,DH,UCSC
21,37.00795,-122.05709,Rad Trap,156,0,DH,UCSC
22,37.00797,-122.05701,Rad Trap,156,0,DH,UCSC
23,37.00793,-122.05685,Rad Trap,156,0,DH,UCSC
24,37.00809,-122.05671,Rad Trap,156,0,DH,UCSC
25,37.0081,-122.05661,Rad Trap,156,0,DH,UCSC
26,37.00828,-122.05657,Rad Trap,156,0,DH,UCSC
27,37.00833,-122.05656,Rad Trap,156,0,DH,UCSC
28,37.00836,-122.05659,Rad Trap,156,0,DH,UCSC
29,37.00837,-122.05665,Rad Trap,156,0,DH,UCSC
30,37.00841,-122.05668,Rad Trap,156,0,DH,UCSC
31,37.00855,-122.05657,Rad Trap,156,0,DH,UCSC
32,37.00858,-122.05635,Rad Trap,156,0,DH,UCSC
33,37.00864,-122.05622,Rad Trap,156,0,DH,UCSC
34,37.00871,-122.05604,Rad Trap,156,0,DH,UCSC
35,37.00871,-122.05598,Rad Trap,156,0,DH,UCSC
36,37.00864,-122.05575,Rad Trap,156,0,DH,UCSC
37,37.00867,-122.05551,Rad Trap,156,0,DH,UCSC
38,37.00864,-122.05533,Rad Trap,156,0,DH,UCSC
39,37.00861,-122.05525,Rad Trap,156,0,DH,UCSC
40,37.00864,-122.0552,Rad Trap,156,0,DH,UCSC
41,37.00859,-122.05496,Rad Trap,156,0,DH,UCSC
42,37.00869,-122.05479,Rad Trap,156,0,DH,UCSC
43,37.00868,-122.05468,Rad Trap,156,0,DH,UCSC
44,37.00879,-122.05413,Rad Trap,156,0,DH,UCSC
45,37.00901,-122.05364,Rad Trap,156,0,DH,UCSC
46,37.00903,-122.05354,Rad Trap,156,0,DH,UCSC
47,37.00908,-122.05345,Rad Trap,156,0,DH,UCSC
48,37.00915,-122.0534,Rad Trap,156,0,DH,UCSC
49,37.00918,-122.0534,Rad Trap,156,0,DH,UCSC
50,37.00923,-122.05338,Rad Trap,156,0,DH,UCSC
51,37.00936,-122.05324,Rad Trap,156,0,DH,UCSC
52,37.0094,-122.05323,Rad Trap,156,0,DH,UCSC
53,37.00939,-122.05329,Rad Trap,156,0,DH,UCSC
54,37.00945,-122.05334,Rad Trap,156,0,DH,UCSC
55,37.00951,-122.05328,Rad Trap,156,0,DH,UCSC
56,37.00966,-122.0532,Rad Trap,156,0,DH,UCSC
57,37.00972,-122.05312,Rad Trap,156,0,DH,UCSC
58,37.00979,-122.0531,Rad Trap,156,0,DH,UCSC
59,37.00991,-122.053,Rad Trap,156,0,DH,UCSC
60,37.00999,-122.05288,Rad Trap,156,0,DH,UCSC
61,37.01008,-122.05253,Rad Trap,156,0,DH,UCSC
62,37.01014,-122.05249,Rad Trap,156,0,DH,UCSC
63,37.01023,-122.05271,Rad Trap,156,0,DH,UCSC
64,37.01031,-122.05271,Rad Trap,156,0,DH,UCSC
