,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.07688,-121.86438,Ridge Trail (from Nisene),1027,232,DH,Demo
1,37.07703,-121.86445,Ridge Trail (from Nisene),1027,232,DH,Demo
2,37.07736,-121.86471,Ridge Trail (from Nisene),1027,232,DH,Demo
3,37.07757,-121.86502,Ridge Trail (from Nisene),1027,232,DH,Demo
4,37.07786,-121.86529,Ridge Trail (from Nisene),1027,232,DH,Demo
5,37.07808,-121.86561,Ridge Trail (from Nisene),1027,232,DH,Demo
6,37.07829,-121.86581,Ridge Trail (from Nisene),1027,232,DH,Demo
7,37.0788,-121.86597,Ridge Trail (from Nisene),1027,232,DH,Demo
8,37.07895,-121.86625,Ridge Trail (from Nisene),1027,232,DH,Demo
9,37.07898,-121.86651,Ridge Trail (from Nisene),1027,232,DH,Demo
10,37.07915,-121.86697,Ridge Trail (from Nisene),1027,232,DH,Demo
11,37.07929,-121.86741,Ridge Trail (from Nisene),1027,232,DH,Demo
12,37.07952,-121.86774,Ridge Trail (from Nisene),1027,232,DH,Demo
13,37.07968,-121.86803,Ridge Trail (from Nisene),1027,232,DH,Demo
14,37.07968,-121.86851,Ridge Trail (from Nisene),1027,232,DH,Demo
15,37.07994,-121.86868,Ridge Trail (from Nisene),1027,232,DH,Demo
16,37.08019,-121.86913,Ridge Trail (from Nisene),1027,232,DH,Demo
17,37.08023,-121.8693,Ridge Trail (from Nisene),1027,232,DH,Demo
18,37.08024,-121.86959,Ridge Trail (from Nisene),1027,232,DH,Demo
19,37.08017,-121.86986,Ridge Trail (from Nisene),1027,232,DH,Demo
20,37.08014,-121.8701,Ridge Trail (from Nisene),1027,232,DH,Demo
21,37.08017,-121.87025,Ridge Trail (from Nisene),1027,232,DH,Demo
22,37.08002,-121.87085,Ridge Trail (from Nisene),1027,232,DH,Demo
23,37.08,-121.87128,Ridge Trail (from Nisene),1027,232,DH,Demo
24,37.07995,-121.87155,Ridge Trail (from Nisene),1027,232,DH,Demo
25,37.07966,-121.87182,Ridge Trail (from Nisene),1027,232,DH,Demo
26,37.07938,-121.87199,Ridge Trail (from Nisene),1027,232,DH,Demo
27,37.07938,-121.87223,Ridge Trail (from Nisene),1027,232,DH,Demo
28,37.07958,-121.8724,Ridge Trail (from Nisene),1027,232,DH,Demo
29,37.07961,-121.8725,Ridge Trail (from Nisene),1027,232,DH,Demo
