,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.00795,-122.04896,Rincon,4109,889,Climb,UCSC
1,37.00783,-122.04883,Rincon,4109,889,Climb,UCSC
2,37.00773,-122.04866,Rincon,4109,889,Climb,UCSC
3,37.00764,-122.04856,Rincon,4109,889,Climb,UCSC
4,37.00758,-122.04844,Rincon,4109,889,Climb,UCSC
5,37.00736,-122.04813,Rincon,4109,889,Climb,UCSC
6,37.00724,-122.04763,Rincon,4109,889,Climb,UCSC
7,37.00721,-122.0473,Rincon,4109,889,Climb,UCSC
8,37.00713,-122.04712,Rincon,4109,889,Climb,UCSC
9,37.00709,-122.04691,Rincon,4109,889,Climb,UCSC
10,37.00702,-122.04678,Rincon,4109,889,Climb,UCSC
11,37.00693,-122.04669,Rincon,4109,889,Climb,UCSC
12,37.00678,-122.04662,Rincon,4109,889,Climb,UCSC
13,37.00657,-122.04639,Rincon,4109,889,Climb,UCSC
14,37.00652,-122.04636,Rincon,4109,889,Climb,UCSC
15,37.00648,-122.04635,Rincon,4109,889,Climb,UCSC
16,37.00636,-122.04641,Rincon,4109,889,Climb,UCSC
17,37.00631,-122.04646,Rincon,4109,889,Climb,UCSC
