,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.00361,-122.05862,Sarclacc Pit,293,0,Climb,UCSC
1,37.00363,-122.05859,Sarclacc Pit,293,0,Climb,UCSC
2,37.00368,-122.05855,Sarclacc Pit,293,0,Climb,UCSC
3,37.00367,-122.05853,Sarclacc Pit,293,0,Climb,UCSC
4,37.00373,-122.05842,Sarclacc Pit,293,0,Climb,UCSC
5,37.00374,-122.05825,Sarclacc Pit,293,0,Climb,UCSC
6,37.00379,-122.05814,Sarclacc Pit,293,0,Climb,UCSC
7,37.0038,-122.05806,Sarclacc Pit,293,0,Climb,UCSC
8,37.00387,-122.05793,Sarclacc Pit,293,0,Climb,UCSC
9,37.00393,-122.05788,Sarclacc Pit,293,0,Climb,UCSC
10,37.00396,-122.05775,Sarclacc Pit,293,0,Climb,UCSC
11,37.00415,-122.05743,Sarclacc Pit,293,0,Climb,UCSC
12,37.00416,-122.05727,Sarclacc Pit,293,0,Climb,UCSC
13,37.00415,-122.05698,Sarclacc Pit,293,0,Climb,UCSC
14,37.00418,-122.05678,Sarclacc Pit,293,0,Climb,UCSC
15,37.00422,-122.05663,Sarclacc Pit,293,0,Climb,UCSC
16,37.00427,-122.05658,Sarclacc Pit,293,0,Climb,UCSC
17,37.00435,-122.05638,Sarclacc Pit,293,0,Climb,UCSC
18,37.00444,-122.05626,Sarclacc Pit,293,0,Climb,UCSC
19,37.00463,-122.0561,Sarclacc Pit,293,0,Climb,UCSC
20,37.00471,-122.05609,Sarclacc Pit,293,0,Climb,UCSC
21,37.00482,-122.05603,Sarclacc Pit,293,0,Climb,UCSC
22,37.0049,-122.05601,Sarclacc Pit,293,0,Climb,UCSC
23,37.00501,-122.05607,Sarclacc Pit,293,0,Climb,UCSC
24,37.00511,-122.0561,Sarclacc Pit,293,0,Climb,UCSC
25,37.00514,-122.05614,Sarclacc Pit,293,0,Climb,UCSC
26,37.00514,-122.05618,Sarclacc Pit,293,0,Climb,UCSC
27,37.00527,-122.05623,Sarclacc Pit,293,0,Climb,UCSC
28,37.00531,-122.05624,Sarclacc Pit,293,0,Climb,UCSC
29,37.00532,-122.05622,Sarclacc Pit,293,0,Climb,UCSC
30,37.00533,-122.05624,Sarclacc Pit,293,0,Climb,UCSC
31,37.00541,-122.05626,Sarclacc Pit,293,0,Climb,UCSC
32,37.00552,-122.05622,Sarclacc Pit,293,0,Climb,UCSC
33,37.00561,-122.05637,Sarclacc Pit,293,0,Climb,UCSC
