,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.07478,-121.90921,Sawpit,235,200,DH,Demo
1,37.07484,-121.90922,Sawpit,235,200,DH,Demo
2,37.07487,-121.90919,Sawpit,235,200,DH,Demo
3,37.07497,-121.90917,Sawpit,235,200,DH,Demo
4,37.07522,-121.90922,Sawpit,235,200,DH,Demo
5,37.07539,-121.9092,Sawpit,235,200,DH,Demo
6,37.07543,-121.90923,Sawpit,235,200,DH,Demo
7,37.07577,-121.90937,Sawpit,235,200,DH,Demo
8,37.07581,-121.90945,Sawpit,235,200,DH,Demo
9,37.07596,-121.90958,Sawpit,235,200,DH,Demo
10,37.0761,-121.90977,Sawpit,235,200,DH,Demo
11,37.07615,-121.90979,Sawpit,235,200,DH,Demo
12,37.07625,-121.90992,Sawpit,235,200,DH,Demo
13,37.07624,-121.90986,Sawpit,235,200,DH,Demo
14,37.07628,-121.90989,Sawpit,235,200,DH,Demo
15,37.07631,-121.90994,Sawpit,235,200,DH,Demo
16,37.07636,-121.91,Sawpit,235,200,DH,Demo
17,37.07649,-121.91009,Sawpit,235,200,DH,Demo
18,37.07649,-121.91014,Sawpit,235,200,DH,Demo
19,37.07652,-121.9102,Sawpit,235,200,DH,Demo
20,37.07674,-121.91042,Sawpit,235,200,DH,Demo
21,37.07694,-121.91065,Sawpit,235,200,DH,Demo
22,37.07716,-121.91073,Sawpit,235,200,DH,Demo
23,37.07721,-121.91077,Sawpit,235,200,DH,Demo
24,37.07732,-121.91089,Sawpit,235,200,DH,Demo
25,37.07735,-121.911,Sawpit,235,200,DH,Demo
26,37.07741,-121.91103,Sawpit,235,200,DH,Demo
27,37.07752,-121.91112,Sawpit,235,200,DH,Demo
28,37.07754,-121.9112,Sawpit,235,200,DH,Demo
29,37.07757,-121.91123,Sawpit,235,200,DH,Demo
30,37.07769,-121.91125,Sawpit,235,200,DH,Demo
31,37.0779,-121.91144,Sawpit,235,200,DH,Demo
32,37.07795,-121.91153,Sawpit,235,200,DH,Demo
33,37.07809,-121.91163,Sawpit,235,200,DH,Demo
34,37.07817,-121.91188,Sawpit,235,200,DH,Demo
35,37.07823,-121.91193,Sawpit,235,200,DH,Demo
36,37.07833,-121.91197,Sawpit,235,200,DH,Demo
37,37.07836,-121.91203,Sawpit,235,200,DH,Demo
38,37.07854,-121.9122,Sawpit,235,200,DH,Demo
39,37.07858,-121.91221,Sawpit,235,200,DH,Demo
40,37.07866,-121.91218,Sawpit,235,200,DH,Demo
41,37.07887,-121.91239,Sawpit,235,200,DH,Demo
42,37.0789,-121.91246,Sawpit,235,200,DH,Demo
43,37.07907,-121.91267,Sawpit,235,200,DH,Demo
44,37.07905,-121.91278,Sawpit,235,200,DH,Demo
45,37.07906,-121.91284,Sawpit,235,200,DH,Demo
46,37.07915,-121.91298,Sawpit,235,200,DH,Demo
47,37.07918,-121.9131,Sawpit,235,200,DH,Demo
48,37.07915,-121.91318,Sawpit,235,200,DH,Demo
49,37.0791,-121.91319,Sawpit,235,200,DH,Demo
50,37.07907,-121.91318,Sawpit,235,200,DH,Demo
51,37.07905,-121.91315,Sawpit,235,200,DH,Demo
52,37.07904,-121.91316,Sawpit,235,200,DH,Demo
53,37.07911,-121.91333,Sawpit,235,200,DH,Demo
54,37.07912,-121.9134,Sawpit,235,200,DH,Demo
55,37.07918,-121.91348,Sawpit,235,200,DH,Demo
56,37.07932,-121.91369,Sawpit,235,200,DH,Demo
57,37.07937,-121.91386,Sawpit,235,200,DH,Demo
58,37.0794,-121.91389,Sawpit,235,200,DH,Demo
59,37.07966,-121.91434,Sawpit,235,200,DH,Demo
60,37.07972,-121.91438,Sawpit,235,200,DH,Demo
61,37.07984,-121.91453,Sawpit,235,200,DH,Demo
62,37.07993,-121.91456,Sawpit,235,200,DH,Demo
63,37.07999,-121.91463,Sawpit,235,200,DH,Demo
64,37.08,-121.91478,Sawpit,235,200,DH,Demo
65,37.07998,-121.91481,Sawpit,235,200,DH,Demo
66,37.07996,-121.91479,Sawpit,235,200,DH,Demo
67,37.0799,-121.91485,Sawpit,235,200,DH,Demo
68,37.07991,-121.91491,Sawpit,235,200,DH,Demo
69,37.07997,-121.91501,Sawpit,235,200,DH,Demo
70,37.08005,-121.91507,Sawpit,235,200,DH,Demo
71,37.08011,-121.9151,Sawpit,235,200,DH,Demo
72,37.08026,-121.91515,Sawpit,235,200,DH,Demo
73,37.08029,-121.91515,Sawpit,235,200,DH,Demo
