,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.02361,-122.07422,Scenic Dirt,19,0,Climb,UCSC
1,37.02346,-122.07434,Scenic Dirt,19,0,Climb,UCSC
2,37.02327,-122.0744,Scenic Dirt,19,0,Climb,UCSC
3,37.02312,-122.07437,Scenic Dirt,19,0,Climb,UCSC
4,37.02295,-122.07429,Scenic Dirt,19,0,Climb,UCSC
5,37.02262,-122.0742,Scenic Dirt,19,0,Climb,UCSC
6,37.02227,-122.07402,Scenic Dirt,19,0,Climb,UCSC
7,37.02206,-122.0741,Scenic Dirt,19,0,Climb,UCSC
8,37.02198,-122.07418,Scenic Dirt,19,0,Climb,UCSC
9,37.02187,-122.07425,Scenic Dirt,19,0,Climb,UCSC
10,37.02164,-122.0743,Scenic Dirt,19,0,Climb,UCSC
11,37.02152,-122.0743,Scenic Dirt,19,0,Climb,UCSC
12,37.02143,-122.07432,Scenic Dirt,19,0,Climb,UCSC
13,37.02129,-122.07442,Scenic Dirt,19,0,Climb,UCSC
14,37.0208,-122.07498,Scenic Dirt,19,0,Climb,UCSC
15,37.02074,-122.07504,Scenic Dirt,19,0,Climb,UCSC
16,37.02055,-122.07513,Scenic Dirt,19,0,Climb,UCSC
17,37.02043,-122.07517,Scenic Dirt,19,0,Climb,UCSC
18,37.02026,-122.07518,Scenic Dirt,19,0,Climb,UCSC
19,37.02004,-122.07506,Scenic Dirt,19,0,Climb,UCSC
20,37.01975,-122.07494,Scenic Dirt,19,0,Climb,UCSC
21,37.01968,-122.07492,Scenic Dirt,19,0,Climb,UCSC
22,37.01957,-122.07496,Scenic Dirt,19,0,Climb,UCSC
23,37.01946,-122.07509,Scenic Dirt,19,0,Climb,UCSC
24,37.01907,-122.07579,Scenic Dirt,19,0,Climb,UCSC
25,37.01904,-122.07595,Scenic Dirt,19,0,Climb,UCSC
26,37.01903,-122.07617,Scenic Dirt,19,0,Climb,UCSC
27,37.01897,-122.07655,Scenic Dirt,19,0,Climb,UCSC
28,37.0189,-122.07691,Scenic Dirt,19,0,Climb,UCSC
29,37.01878,-122.07728,Scenic Dirt,19,0,Climb,UCSC
30,37.01866,-122.07746,Scenic Dirt,19,0,Climb,UCSC
31,37.01851,-122.0776,Scenic Dirt,19,0,Climb,UCSC
32,37.0181,-122.07788,Scenic Dirt,19,0,Climb,UCSC
33,37.01804,-122.07796,Scenic Dirt,19,0,Climb,UCSC
34,37.018,-122.07806,Scenic Dirt,19,0,Climb,UCSC
35,37.01797,-122.07828,Scenic Dirt,19,0,Climb,UCSC
36,37.018,-122.07873,Scenic Dirt,19,0,Climb,UCSC
37,37.01796,-122.07903,Scenic Dirt,19,0,Climb,UCSC
