,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.04159,-121.88653,Secret Squirrel,28,49,DH,Nisene
1,37.04155,-121.8865,Secret Squirrel,28,49,DH,Nisene
2,37.04143,-121.88634,Secret Squirrel,28,49,DH,Nisene
3,37.04128,-121.88626,Secret Squirrel,28,49,DH,Nisene
4,37.04118,-121.88617,Secret Squirrel,28,49,DH,Nisene
5,37.04108,-121.88615,Secret Squirrel,28,49,DH,Nisene
6,37.04104,-121.88616,Secret Squirrel,28,49,DH,Nisene
7,37.041,-121.88617,Secret Squirrel,28,49,DH,Nisene
8,37.04088,-121.88629,Secret Squirrel,28,49,DH,Nisene
9,37.04084,-121.88629,Secret Squirrel,28,49,DH,Nisene
10,37.0408,-121.88626,Secret Squirrel,28,49,DH,Nisene
11,37.04078,-121.88615,Secret Squirrel,28,49,DH,Nisene
12,37.04076,-121.88612,Secret Squirrel,28,49,DH,Nisene
13,37.04063,-121.88616,Secret Squirrel,28,49,DH,Nisene
14,37.04059,-121.88615,Secret Squirrel,28,49,DH,Nisene
15,37.04057,-121.88612,Secret Squirrel,28,49,DH,Nisene
16,37.04053,-121.88597,Secret Squirrel,28,49,DH,Nisene
17,37.0405,-121.88579,Secret Squirrel,28,49,DH,Nisene
18,37.0406,-121.88567,Secret Squirrel,28,49,DH,Nisene
19,37.04064,-121.8856,Secret Squirrel,28,49,DH,Nisene
20,37.04064,-121.88549,Secret Squirrel,28,49,DH,Nisene
21,37.0406,-121.88539,Secret Squirrel,28,49,DH,Nisene
22,37.0406,-121.88529,Secret Squirrel,28,49,DH,Nisene
23,37.04063,-121.88532,Secret Squirrel,28,49,DH,Nisene
24,37.04067,-121.88529,Secret Squirrel,28,49,DH,Nisene
25,37.0407,-121.88513,Secret Squirrel,28,49,DH,Nisene
26,37.04079,-121.88502,Secret Squirrel,28,49,DH,Nisene
27,37.0408,-121.8848,Secret Squirrel,28,49,DH,Nisene
28,37.04078,-121.88475,Secret Squirrel,28,49,DH,Nisene
29,37.04075,-121.88474,Secret Squirrel,28,49,DH,Nisene
30,37.0406,-121.88476,Secret Squirrel,28,49,DH,Nisene
31,37.04052,-121.88484,Secret Squirrel,28,49,DH,Nisene
32,37.04043,-121.88484,Secret Squirrel,28,49,DH,Nisene
33,37.04041,-121.88486,Secret Squirrel,28,49,DH,Nisene
34,37.04034,-121.88496,Secret Squirrel,28,49,DH,Nisene
35,37.0403,-121.88497,Secret Squirrel,28,49,DH,Nisene
36,37.0402,-121.88491,Secret Squirrel,28,49,DH,Nisene
37,37.04015,-121.88483,Secret Squirrel,28,49,DH,Nisene
38,37.04014,-121.88477,Secret Squirrel,28,49,DH,Nisene
39,37.04017,-121.88451,Secret Squirrel,28,49,DH,Nisene
40,37.04025,-121.88438,Secret Squirrel,28,49,DH,Nisene
41,37.0403,-121.88418,Secret Squirrel,28,49,DH,Nisene
42,37.04027,-121.88403,Secret Squirrel,28,49,DH,Nisene
43,37.04028,-121.88399,Secret Squirrel,28,49,DH,Nisene
44,37.04036,-121.884,Secret Squirrel,28,49,DH,Nisene
45,37.04043,-121.88397,Secret Squirrel,28,49,DH,Nisene
46,37.04046,-121.88389,Secret Squirrel,28,49,DH,Nisene
47,37.04047,-121.88381,Secret Squirrel,28,49,DH,Nisene
48,37.04045,-121.88376,Secret Squirrel,28,49,DH,Nisene
49,37.04027,-121.88355,Secret Squirrel,28,49,DH,Nisene
50,37.04017,-121.88338,Secret Squirrel,28,49,DH,Nisene
51,37.03998,-121.88322,Secret Squirrel,28,49,DH,Nisene
52,37.03986,-121.88276,Secret Squirrel,28,49,DH,Nisene
53,37.0398,-121.88272,Secret Squirrel,28,49,DH,Nisene
54,37.03966,-121.8827,Secret Squirrel,28,49,DH,Nisene
55,37.03963,-121.88268,Secret Squirrel,28,49,DH,Nisene
56,37.0395,-121.88269,Secret Squirrel,28,49,DH,Nisene
57,37.03942,-121.88261,Secret Squirrel,28,49,DH,Nisene
58,37.03929,-121.8824,Secret Squirrel,28,49,DH,Nisene
59,37.03927,-121.88232,Secret Squirrel,28,49,DH,Nisene
60,37.03927,-121.88219,Secret Squirrel,28,49,DH,Nisene
61,37.03923,-121.88211,Secret Squirrel,28,49,DH,Nisene
62,37.03917,-121.88205,Secret Squirrel,28,49,DH,Nisene
63,37.03917,-121.882,Secret Squirrel,28,49,DH,Nisene
64,37.03923,-121.88182,Secret Squirrel,28,49,DH,Nisene
65,37.03935,-121.88164,Secret Squirrel,28,49,DH,Nisene
66,37.03936,-121.88158,Secret Squirrel,28,49,DH,Nisene
67,37.03932,-121.88149,Secret Squirrel,28,49,DH,Nisene
68,37.03923,-121.88142,Secret Squirrel,28,49,DH,Nisene
69,37.03915,-121.88105,Secret Squirrel,28,49,DH,Nisene
70,37.03916,-121.88084,Secret Squirrel,28,49,DH,Nisene
71,37.03914,-121.88073,Secret Squirrel,28,49,DH,Nisene
72,37.0391,-121.88067,Secret Squirrel,28,49,DH,Nisene
73,37.03901,-121.88046,Secret Squirrel,28,49,DH,Nisene
74,37.03893,-121.88024,Secret Squirrel,28,49,DH,Nisene
75,37.03893,-121.88017,Secret Squirrel,28,49,DH,Nisene
76,37.0389,-121.88007,Secret Squirrel,28,49,DH,Nisene
77,37.03875,-121.87982,Secret Squirrel,28,49,DH,Nisene
78,37.03869,-121.87956,Secret Squirrel,28,49,DH,Nisene
79,37.0387,-121.87937,Secret Squirrel,28,49,DH,Nisene
80,37.03863,-121.87929,Secret Squirrel,28,49,DH,Nisene
81,37.03863,-121.87924,Secret Squirrel,28,49,DH,Nisene
82,37.0386,-121.8791,Secret Squirrel,28,49,DH,Nisene
83,37.03855,-121.87906,Secret Squirrel,28,49,DH,Nisene
84,37.03852,-121.87899,Secret Squirrel,28,49,DH,Nisene
85,37.03847,-121.87892,Secret Squirrel,28,49,DH,Nisene
86,37.03843,-121.87868,Secret Squirrel,28,49,DH,Nisene
87,37.03828,-121.87836,Secret Squirrel,28,49,DH,Nisene
88,37.03831,-121.87825,Secret Squirrel,28,49,DH,Nisene
89,37.03822,-121.87813,Secret Squirrel,28,49,DH,Nisene
90,37.03821,-121.87809,Secret Squirrel,28,49,DH,Nisene
91,37.03803,-121.87791,Secret Squirrel,28,49,DH,Nisene
92,37.03798,-121.87782,Secret Squirrel,28,49,DH,Nisene
93,37.03795,-121.87781,Secret Squirrel,28,49,DH,Nisene
94,37.03788,-121.87783,Secret Squirrel,28,49,DH,Nisene
95,37.03763,-121.87786,Secret Squirrel,28,49,DH,Nisene
96,37.03751,-121.87782,Secret Squirrel,28,49,DH,Nisene
97,37.03741,-121.87785,Secret Squirrel,28,49,DH,Nisene
98,37.03734,-121.87784,Secret Squirrel,28,49,DH,Nisene
99,37.03729,-121.87776,Secret Squirrel,28,49,DH,Nisene
100,37.03733,-121.87761,Secret Squirrel,28,49,DH,Nisene
101,37.03733,-121.87757,Secret Squirrel,28,49,DH,Nisene
102,37.0373,-121.87754,Secret Squirrel,28,49,DH,Nisene
103,37.03738,-121.87742,Secret Squirrel,28,49,DH,Nisene
