,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.03553,-121.89704,Showtime,44,0,DH,Nisene
1,37.03543,-121.89692,Showtime,44,0,DH,Nisene
2,37.03538,-121.89682,Showtime,44,0,DH,Nisene
3,37.03531,-121.8968,Showtime,44,0,DH,Nisene
4,37.0353,-121.89682,Showtime,44,0,DH,Nisene
5,37.03524,-121.89685,Showtime,44,0,DH,Nisene
6,37.03512,-121.89684,Showtime,44,0,DH,Nisene
7,37.03506,-121.89687,Showtime,44,0,DH,Nisene
8,37.03503,-121.89685,Showtime,44,0,DH,Nisene
9,37.03497,-121.89671,Showtime,44,0,DH,Nisene
10,37.03486,-121.8967,Showtime,44,0,DH,Nisene
11,37.03468,-121.89646,Showtime,44,0,DH,Nisene
12,37.03465,-121.89644,Showtime,44,0,DH,Nisene
13,37.03453,-121.8964,Showtime,44,0,DH,Nisene
14,37.03444,-121.89643,Showtime,44,0,DH,Nisene
15,37.0343,-121.89638,Showtime,44,0,DH,Nisene
16,37.03409,-121.8964,Showtime,44,0,DH,Nisene
17,37.03396,-121.89633,Showtime,44,0,DH,Nisene
18,37.03392,-121.89638,Showtime,44,0,DH,Nisene
19,37.03386,-121.8964,Showtime,44,0,DH,Nisene
20,37.03372,-121.89651,Showtime,44,0,DH,Nisene
21,37.03362,-121.89655,Showtime,44,0,DH,Nisene
22,37.0335,-121.89655,Showtime,44,0,DH,Nisene
23,37.03342,-121.89641,Showtime,44,0,DH,Nisene
24,37.03328,-121.89626,Showtime,44,0,DH,Nisene
25,37.03326,-121.89627,Showtime,44,0,DH,Nisene
26,37.03321,-121.89623,Showtime,44,0,DH,Nisene
27,37.03315,-121.89594,Showtime,44,0,DH,Nisene
28,37.03307,-121.89595,Showtime,44,0,DH,Nisene
29,37.03306,-121.89594,Showtime,44,0,DH,Nisene
30,37.03291,-121.89576,Showtime,44,0,DH,Nisene
