,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.03544,-121.89696,Sideshow,239,248,DH,Nisene
1,37.03542,-121.89695,Sideshow,239,248,DH,Nisene
2,37.03538,-121.89688,Sideshow,239,248,DH,Nisene
3,37.03533,-121.89685,Sideshow,239,248,DH,Nisene
4,37.03525,-121.89686,Sideshow,239,248,DH,Nisene
5,37.03517,-121.89693,Sideshow,239,248,DH,Nisene
6,37.0351,-121.89695,Sideshow,239,248,DH,Nisene
7,37.03507,-121.89697,Sideshow,239,248,DH,Nisene
8,37.03504,-121.89701,Sideshow,239,248,DH,Nisene
9,37.03497,-121.89723,Sideshow,239,248,DH,Nisene
10,37.03493,-121.8973,Sideshow,239,248,DH,Nisene
11,37.03488,-121.89745,Sideshow,239,248,DH,Nisene
12,37.03492,-121.89744,Sideshow,239,248,DH,Nisene
13,37.03489,-121.89762,Sideshow,239,248,DH,Nisene
14,37.0349,-121.8977,Sideshow,239,248,DH,Nisene
15,37.0348,-121.89779,Sideshow,239,248,DH,Nisene
16,37.03473,-121.89788,Sideshow,239,248,DH,Nisene
17,37.03462,-121.89817,Sideshow,239,248,DH,Nisene
18,37.03464,-121.89814,Sideshow,239,248,DH,Nisene
19,37.03461,-121.89812,Sideshow,239,248,DH,Nisene
20,37.03455,-121.89815,Sideshow,239,248,DH,Nisene
21,37.03452,-121.89819,Sideshow,239,248,DH,Nisene
22,37.0345,-121.89828,Sideshow,239,248,DH,Nisene
23,37.03447,-121.89869,Sideshow,239,248,DH,Nisene
24,37.03452,-121.89886,Sideshow,239,248,DH,Nisene
25,37.03451,-121.89892,Sideshow,239,248,DH,Nisene
26,37.03442,-121.89911,Sideshow,239,248,DH,Nisene
27,37.03443,-121.89925,Sideshow,239,248,DH,Nisene
28,37.0342,-121.89969,Sideshow,239,248,DH,Nisene
29,37.03418,-121.89983,Sideshow,239,248,DH,Nisene
30,37.03408,-121.90003,Sideshow,239,248,DH,Nisene
31,37.03405,-121.90001,Sideshow,239,248,DH,Nisene
32,37.03391,-121.90001,Sideshow,239,248,DH,Nisene
33,37.0338,-121.89999,Sideshow,239,248,DH,Nisene
34,37.03368,-121.90004,Sideshow,239,248,DH,Nisene
35,37.03359,-121.90012,Sideshow,239,248,DH,Nisene
36,37.03355,-121.90013,Sideshow,239,248,DH,Nisene
37,37.03344,-121.90005,Sideshow,239,248,DH,Nisene
38,37.03338,-121.90004,Sideshow,239,248,DH,Nisene
39,37.03326,-121.90007,Sideshow,239,248,DH,Nisene
