,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.00655,-122.0537,Slag,5,0,DH,UCSC
1,37.00665,-122.05363,Slag,5,0,DH,UCSC
2,37.00668,-122.05358,Slag,5,0,DH,UCSC
3,37.00674,-122.05354,Slag,5,0,DH,UCSC
4,37.00682,-122.05339,Slag,5,0,DH,UCSC
5,37.00691,-122.05327,Slag,5,0,DH,UCSC
6,37.007,-122.05322,Slag,5,0,DH,UCSC
7,37.00706,-122.05322,Slag,5,0,DH,UCSC
8,37.00708,-122.05313,Slag,5,0,DH,UCSC
9,37.00712,-122.0531,Slag,5,0,DH,UCSC
10,37.00718,-122.053,Slag,5,0,DH,UCSC
11,37.00719,-122.05294,Slag,5,0,DH,UCSC
12,37.00725,-122.0528,Slag,5,0,DH,UCSC
13,37.00717,-122.05259,Slag,5,0,DH,UCSC
14,37.00723,-122.05243,Slag,5,0,DH,UCSC
15,37.00723,-122.05222,Slag,5,0,DH,UCSC
16,37.00725,-122.05217,Slag,5,0,DH,UCSC
17,37.00724,-122.05211,Slag,5,0,DH,UCSC
18,37.0073,-122.0518,Slag,5,0,DH,UCSC
19,37.00732,-122.0514,Slag,5,0,DH,UCSC
20,37.00735,-122.05128,Slag,5,0,DH,UCSC
21,37.00739,-122.0512,Slag,5,0,DH,UCSC
22,37.0076,-122.05108,Slag,5,0,DH,UCSC
23,37.00768,-122.05097,Slag,5,0,DH,UCSC
24,37.00774,-122.05086,Slag,5,0,DH,UCSC
25,37.00773,-122.05097,Slag,5,0,DH,UCSC
26,37.00776,-122.05099,Slag,5,0,DH,UCSC
27,37.00776,-122.05101,Slag,5,0,DH,UCSC
28,37.00774,-122.05099,Slag,5,0,DH,UCSC
29,37.00773,-122.05094,Slag,5,0,DH,UCSC
30,37.00776,-122.05092,Slag,5,0,DH,UCSC
31,37.00778,-122.05087,Slag,5,0,DH,UCSC
32,37.0078,-122.05078,Slag,5,0,DH,UCSC
33,37.00778,-122.05076,Slag,5,0,DH,UCSC
34,37.00779,-122.05073,Slag,5,0,DH,UCSC
35,37.00787,-122.05057,Slag,5,0,DH,UCSC
36,37.00788,-122.05052,Slag,5,0,DH,UCSC
37,37.00785,-122.05021,Slag,5,0,DH,UCSC
38,37.00787,-122.05017,Slag,5,0,DH,UCSC
39,37.00796,-122.05019,Slag,5,0,DH,UCSC
40,37.00794,-122.0501,Slag,5,0,DH,UCSC
41,37.00787,-122.05003,Slag,5,0,DH,UCSC
42,37.00784,-122.04995,Slag,5,0,DH,UCSC
43,37.00767,-122.0497,Slag,5,0,DH,UCSC
44,37.00755,-122.04959,Slag,5,0,DH,UCSC
45,37.0075,-122.04947,Slag,5,0,DH,UCSC
46,37.00747,-122.04926,Slag,5,0,DH,UCSC
47,37.00753,-122.04915,Slag,5,0,DH,UCSC
48,37.00751,-122.04904,Slag,5,0,DH,UCSC
49,37.00755,-122.04893,Slag,5,0,DH,UCSC
