,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.015,-122.06846,Smokes,9,0,DH,UCSC
1,37.01503,-122.06837,Smokes,9,0,DH,UCSC
2,37.0151,-122.06828,Smokes,9,0,DH,UCSC
3,37.01518,-122.06823,Smokes,9,0,DH,UCSC
4,37.01527,-122.06812,Smokes,9,0,DH,UCSC
5,37.01532,-122.06798,Smokes,9,0,DH,UCSC
6,37.0154,-122.0679,Smokes,9,0,DH,UCSC
7,37.01549,-122.06785,Smokes,9,0,DH,UCSC
8,37.01557,-122.06775,Smokes,9,0,DH,UCSC
9,37.0156,-122.06767,Smokes,9,0,DH,UCSC
10,37.01567,-122.06764,Smokes,9,0,DH,UCSC
11,37.01571,-122.06759,Smokes,9,0,DH,UCSC
12,37.01578,-122.06755,Smokes,9,0,DH,UCSC
13,37.01584,-122.06743,Smokes,9,0,DH,UCSC
14,37.01587,-122.06741,Smokes,9,0,DH,UCSC
15,37.01599,-122.06715,Smokes,9,0,DH,UCSC
16,37.0161,-122.06705,Smokes,9,0,DH,UCSC
17,37.01615,-122.06699,Smokes,9,0,DH,UCSC
18,37.01612,-122.06687,Smokes,9,0,DH,UCSC
19,37.01614,-122.06679,Smokes,9,0,DH,UCSC
20,37.01617,-122.06673,Smokes,9,0,DH,UCSC
21,37.01618,-122.06667,Smokes,9,0,DH,UCSC
22,37.0162,-122.06663,Smokes,9,0,DH,UCSC
23,37.01629,-122.06653,Smokes,9,0,DH,UCSC
24,37.01632,-122.06655,Smokes,9,0,DH,UCSC
25,37.0164,-122.06651,Smokes,9,0,DH,UCSC
26,37.01642,-122.06642,Smokes,9,0,DH,UCSC
27,37.01646,-122.06638,Smokes,9,0,DH,UCSC
28,37.01648,-122.06639,Smokes,9,0,DH,UCSC
29,37.0165,-122.06635,Smokes,9,0,DH,UCSC
30,37.01658,-122.066,Smokes,9,0,DH,UCSC
31,37.01658,-122.06596,Smokes,9,0,DH,UCSC
32,37.01652,-122.06585,Smokes,9,0,DH,UCSC
33,37.01648,-122.06571,Smokes,9,0,DH,UCSC
34,37.01646,-122.06561,Smokes,9,0,DH,UCSC
35,37.01661,-122.06549,Smokes,9,0,DH,UCSC
36,37.01666,-122.0655,Smokes,9,0,DH,UCSC
37,37.01674,-122.0655,Smokes,9,0,DH,UCSC
38,37.01675,-122.06537,Smokes,9,0,DH,UCSC
39,37.01671,-122.06523,Smokes,9,0,DH,UCSC
40,37.01665,-122.06514,Smokes,9,0,DH,UCSC
41,37.01659,-122.0649,Smokes,9,0,DH,UCSC
42,37.01658,-122.06484,Smokes,9,0,DH,UCSC
43,37.01661,-122.06473,Smokes,9,0,DH,UCSC
44,37.01663,-122.06451,Smokes,9,0,DH,UCSC
45,37.01665,-122.06447,Smokes,9,0,DH,UCSC
46,37.01672,-122.06453,Smokes,9,0,DH,UCSC
47,37.01679,-122.06456,Smokes,9,0,DH,UCSC
48,37.01685,-122.06454,Smokes,9,0,DH,UCSC
