,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.03611,-122.10661,Sour Milk,171,86,DH,Empire/Wilder
1,37.03588,-122.10661,Sour Milk,171,86,DH,Empire/Wilder
2,37.03581,-122.10664,Sour Milk,171,86,DH,Empire/Wilder
3,37.03575,-122.10664,Sour Milk,171,86,DH,Empire/Wilder
4,37.0357,-122.10661,Sour Milk,171,86,DH,Empire/Wilder
5,37.03565,-122.10668,Sour Milk,171,86,DH,Empire/Wilder
6,37.0356,-122.1067,Sour Milk,171,86,DH,Empire/Wilder
7,37.03558,-122.10675,Sour Milk,171,86,DH,Empire/Wilder
8,37.0356,-122.10686,Sour Milk,171,86,DH,Empire/Wilder
9,37.03558,-122.10698,Sour Milk,171,86,DH,Empire/Wilder
10,37.03546,-122.10707,Sour Milk,171,86,DH,Empire/Wilder
11,37.03534,-122.10711,Sour Milk,171,86,DH,Empire/Wilder
12,37.03521,-122.10709,Sour Milk,171,86,DH,Empire/Wilder
13,37.03512,-122.10705,Sour Milk,171,86,DH,Empire/Wilder
14,37.03499,-122.10708,Sour Milk,171,86,DH,Empire/Wilder
15,37.03492,-122.10713,Sour Milk,171,86,DH,Empire/Wilder
16,37.03491,-122.10717,Sour Milk,171,86,DH,Empire/Wilder
17,37.03486,-122.10722,Sour Milk,171,86,DH,Empire/Wilder
18,37.03475,-122.10728,Sour Milk,171,86,DH,Empire/Wilder
19,37.03468,-122.10729,Sour Milk,171,86,DH,Empire/Wilder
20,37.03462,-122.10736,Sour Milk,171,86,DH,Empire/Wilder
21,37.03453,-122.1074,Sour Milk,171,86,DH,Empire/Wilder
22,37.03436,-122.10742,Sour Milk,171,86,DH,Empire/Wilder
23,37.03417,-122.10748,Sour Milk,171,86,DH,Empire/Wilder
24,37.03404,-122.10748,Sour Milk,171,86,DH,Empire/Wilder
25,37.0339,-122.10744,Sour Milk,171,86,DH,Empire/Wilder
26,37.03381,-122.10747,Sour Milk,171,86,DH,Empire/Wilder
27,37.03375,-122.10754,Sour Milk,171,86,DH,Empire/Wilder
28,37.0337,-122.10757,Sour Milk,171,86,DH,Empire/Wilder
29,37.03363,-122.10755,Sour Milk,171,86,DH,Empire/Wilder
30,37.0336,-122.10752,Sour Milk,171,86,DH,Empire/Wilder
31,37.03355,-122.10752,Sour Milk,171,86,DH,Empire/Wilder
32,37.0335,-122.10754,Sour Milk,171,86,DH,Empire/Wilder
33,37.03343,-122.10758,Sour Milk,171,86,DH,Empire/Wilder
34,37.03341,-122.10757,Sour Milk,171,86,DH,Empire/Wilder
35,37.03338,-122.10753,Sour Milk,171,86,DH,Empire/Wilder
36,37.03331,-122.10751,Sour Milk,171,86,DH,Empire/Wilder
37,37.03324,-122.10747,Sour Milk,171,86,DH,Empire/Wilder
38,37.03318,-122.1075,Sour Milk,171,86,DH,Empire/Wilder
39,37.03311,-122.10751,Sour Milk,171,86,DH,Empire/Wilder
40,37.03302,-122.10754,Sour Milk,171,86,DH,Empire/Wilder
41,37.03238,-122.10757,Sour Milk,171,86,DH,Empire/Wilder
42,37.03227,-122.10756,Sour Milk,171,86,DH,Empire/Wilder
43,37.03218,-122.10752,Sour Milk,171,86,DH,Empire/Wilder
44,37.03205,-122.10757,Sour Milk,171,86,DH,Empire/Wilder
45,37.03198,-122.10757,Sour Milk,171,86,DH,Empire/Wilder
46,37.03191,-122.1076,Sour Milk,171,86,DH,Empire/Wilder
47,37.03183,-122.10762,Sour Milk,171,86,DH,Empire/Wilder
48,37.03171,-122.10773,Sour Milk,171,86,DH,Empire/Wilder
49,37.03159,-122.10777,Sour Milk,171,86,DH,Empire/Wilder
50,37.03148,-122.10776,Sour Milk,171,86,DH,Empire/Wilder
51,37.03131,-122.10767,Sour Milk,171,86,DH,Empire/Wilder
52,37.03127,-122.10764,Sour Milk,171,86,DH,Empire/Wilder
53,37.03123,-122.10763,Sour Milk,171,86,DH,Empire/Wilder
54,37.03117,-122.10765,Sour Milk,171,86,DH,Empire/Wilder
55,37.03109,-122.10756,Sour Milk,171,86,DH,Empire/Wilder
56,37.03125,-122.10754,Sour Milk,171,86,DH,Empire/Wilder
57,37.03116,-122.10755,Sour Milk,171,86,DH,Empire/Wilder
58,37.0312,-122.10756,Sour Milk,171,86,DH,Empire/Wilder
59,37.03109,-122.1076,Sour Milk,171,86,DH,Empire/Wilder
60,37.03089,-122.1076,Sour Milk,171,86,DH,Empire/Wilder
61,37.03083,-122.10757,Sour Milk,171,86,DH,Empire/Wilder
62,37.03074,-122.10759,Sour Milk,171,86,DH,Empire/Wilder
63,37.03072,-122.10763,Sour Milk,171,86,DH,Empire/Wilder
64,37.03061,-122.10773,Sour Milk,171,86,DH,Empire/Wilder
65,37.03051,-122.10777,Sour Milk,171,86,DH,Empire/Wilder
66,37.03042,-122.10775,Sour Milk,171,86,DH,Empire/Wilder
67,37.03023,-122.10756,Sour Milk,171,86,DH,Empire/Wilder
68,37.03007,-122.10765,Sour Milk,171,86,DH,Empire/Wilder
69,37.02999,-122.10774,Sour Milk,171,86,DH,Empire/Wilder
70,37.02986,-122.1078,Sour Milk,171,86,DH,Empire/Wilder
71,37.02957,-122.10784,Sour Milk,171,86,DH,Empire/Wilder
72,37.02954,-122.10787,Sour Milk,171,86,DH,Empire/Wilder
73,37.02952,-122.10792,Sour Milk,171,86,DH,Empire/Wilder
