,lat,long,name,pedal_ct,ebike_ct,type,region
0,36.99431,-122.06339,Star Wars,700,70,DH,UCSC
1,36.99452,-122.06357,Star Wars,700,70,DH,UCSC
2,36.9948,-122.06358,Star Wars,700,70,DH,UCSC
3,36.99487,-122.0636,Star Wars,700,70,DH,UCSC
4,36.99498,-122.06368,Star Wars,700,70,DH,UCSC
5,36.99513,-122.06375,Star Wars,700,70,DH,UCSC
6,36.9952,-122.06382,Star Wars,700,70,DH,UCSC
7,36.99526,-122.06391,Star Wars,700,70,DH,UCSC
8,36.99555,-122.06411,Star Wars,700,70,DH,UCSC
9,36.99568,-122.06434,Star Wars,700,70,DH,UCSC
10,36.99577,-122.06444,Star Wars,700,70,DH,UCSC
11,36.99587,-122.06451,Star Wars,700,70,DH,UCSC
12,36.99607,-122.06457,Star Wars,700,70,DH,UCSC
13,36.99625,-122.06454,Star Wars,700,70,DH,UCSC
14,36.9965,-122.06454,Star Wars,700,70,DH,UCSC
15,36.99686,-122.06471,Star Wars,700,70,DH,UCSC
16,36.99693,-122.06476,Star Wars,700,70,DH,UCSC
17,36.99703,-122.06479,Star Wars,700,70,DH,UCSC
18,36.99713,-122.06481,Star Wars,700,70,DH,UCSC
19,36.99733,-122.06481,Star Wars,700,70,DH,UCSC
20,36.99749,-122.06489,Star Wars,700,70,DH,UCSC
21,36.99774,-122.06489,Star Wars,700,70,DH,UCSC
22,36.99798,-122.06499,Star Wars,700,70,DH,UCSC
23,36.99814,-122.06507,Star Wars,700,70,DH,UCSC
24,36.99821,-122.06515,Star Wars,700,70,DH,UCSC
25,36.9983,-122.06518,Star Wars,700,70,DH,UCSC
26,36.99852,-122.0653,Star Wars,700,70,DH,UCSC
27,36.99857,-122.06531,Star Wars,700,70,DH,UCSC
28,36.99864,-122.06529,Star Wars,700,70,DH,UCSC
29,36.99877,-122.06538,Star Wars,700,70,DH,UCSC
30,36.99912,-122.06553,Star Wars,700,70,DH,UCSC
31,36.99933,-122.06566,Star Wars,700,70,DH,UCSC
32,36.99957,-122.0657,Star Wars,700,70,DH,UCSC
33,36.99964,-122.06564,Star Wars,700,70,DH,UCSC
34,36.99984,-122.06557,Star Wars,700,70,DH,UCSC
35,36.99991,-122.06541,Star Wars,700,70,DH,UCSC
36,37.00006,-122.06527,Star Wars,700,70,DH,UCSC
37,37.00015,-122.06522,Star Wars,700,70,DH,UCSC
38,37.00027,-122.06522,Star Wars,700,70,DH,UCSC
39,37.00033,-122.06517,Star Wars,700,70,DH,UCSC
40,37.00037,-122.06507,Star Wars,700,70,DH,UCSC
41,37.00046,-122.06502,Star Wars,700,70,DH,UCSC
42,37.00055,-122.06494,Star Wars,700,70,DH,UCSC
43,37.00063,-122.06484,Star Wars,700,70,DH,UCSC
44,37.00074,-122.06476,Star Wars,700,70,DH,UCSC
45,37.00083,-122.06476,Star Wars,700,70,DH,UCSC
46,37.00083,-122.06472,Star Wars,700,70,DH,UCSC
47,37.00111,-122.06481,Star Wars,700,70,DH,UCSC
48,37.0013,-122.06484,Star Wars,700,70,DH,UCSC
49,37.00134,-122.06487,Star Wars,700,70,DH,UCSC
