,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.09012,-121.88923,Sulphur Springs,588,311,Climb,Demo
1,37.09004,-121.88922,Sulphur Springs,588,311,Climb,Demo
2,37.09002,-121.88916,Sulphur Springs,588,311,Climb,Demo
3,37.09,-121.88914,Sulphur Springs,588,311,Climb,Demo
4,37.08989,-121.88909,Sulphur Springs,588,311,Climb,Demo
5,37.08942,-121.88909,Sulphur Springs,588,311,Climb,Demo
6,37.08925,-121.88912,Sulphur Springs,588,311,Climb,Demo
7,37.08877,-121.88908,Sulphur Springs,588,311,Climb,Demo
8,37.0887,-121.88906,Sulphur Springs,588,311,Climb,Demo
9,37.08864,-121.88896,Sulphur Springs,588,311,Climb,Demo
10,37.08811,-121.88886,Sulphur Springs,588,311,Climb,Demo
11,37.08808,-121.88884,Sulphur Springs,588,311,Climb,Demo
12,37.088,-121.88875,Sulphur Springs,588,311,Climb,Demo
13,37.0879,-121.88872,Sulphur Springs,588,311,Climb,Demo
14,37.08782,-121.88872,Sulphur Springs,588,311,Climb,Demo
15,37.08768,-121.8888,Sulphur Springs,588,311,Climb,Demo
16,37.0876,-121.88881,Sulphur Springs,588,311,Climb,Demo
17,37.08739,-121.8888,Sulphur Springs,588,311,Climb,Demo
18,37.08727,-121.88883,Sulphur Springs,588,311,Climb,Demo
19,37.08709,-121.88885,Sulphur Springs,588,311,Climb,Demo
20,37.08699,-121.8888,Sulphur Springs,588,311,Climb,Demo
21,37.08685,-121.88881,Sulphur Springs,588,311,Climb,Demo
22,37.08675,-121.88879,Sulphur Springs,588,311,Climb,Demo
23,37.08664,-121.88885,Sulphur Springs,588,311,Climb,Demo
24,37.08649,-121.88886,Sulphur Springs,588,311,Climb,Demo
25,37.08636,-121.88889,Sulphur Springs,588,311,Climb,Demo
26,37.08628,-121.88888,Sulphur Springs,588,311,Climb,Demo
27,37.08621,-121.88885,Sulphur Springs,588,311,Climb,Demo
28,37.08614,-121.88877,Sulphur Springs,588,311,Climb,Demo
29,37.08592,-121.88843,Sulphur Springs,588,311,Climb,Demo
30,37.08584,-121.88825,Sulphur Springs,588,311,Climb,Demo
31,37.08581,-121.88809,Sulphur Springs,588,311,Climb,Demo
32,37.08575,-121.88795,Sulphur Springs,588,311,Climb,Demo
33,37.08571,-121.8878,Sulphur Springs,588,311,Climb,Demo
34,37.08566,-121.88775,Sulphur Springs,588,311,Climb,Demo
35,37.0856,-121.88777,Sulphur Springs,588,311,Climb,Demo
36,37.08554,-121.88775,Sulphur Springs,588,311,Climb,Demo
37,37.08548,-121.88784,Sulphur Springs,588,311,Climb,Demo
38,37.08532,-121.88787,Sulphur Springs,588,311,Climb,Demo
39,37.08515,-121.88782,Sulphur Springs,588,311,Climb,Demo
40,37.08511,-121.88784,Sulphur Springs,588,311,Climb,Demo
41,37.08495,-121.88796,Sulphur Springs,588,311,Climb,Demo
42,37.08474,-121.88809,Sulphur Springs,588,311,Climb,Demo
43,37.08447,-121.88834,Sulphur Springs,588,311,Climb,Demo
44,37.0844,-121.88836,Sulphur Springs,588,311,Climb,Demo
45,37.0843,-121.88836,Sulphur Springs,588,311,Climb,Demo
46,37.08415,-121.88838,Sulphur Springs,588,311,Climb,Demo
47,37.08395,-121.88852,Sulphur Springs,588,311,Climb,Demo
48,37.08385,-121.88853,Sulphur Springs,588,311,Climb,Demo
49,37.08382,-121.88855,Sulphur Springs,588,311,Climb,Demo
50,37.08376,-121.88856,Sulphur Springs,588,311,Climb,Demo
51,37.08374,-121.88858,Sulphur Springs,588,311,Climb,Demo
52,37.08375,-121.88866,Sulphur Springs,588,311,Climb,Demo
53,37.08378,-121.88872,Sulphur Springs,588,311,Climb,Demo
54,37.08379,-121.8889,Sulphur Springs,588,311,Climb,Demo
55,37.08382,-121.88894,Sulphur Springs,588,311,Climb,Demo
56,37.08385,-121.88905,Sulphur Springs,588,311,Climb,Demo
57,37.08385,-121.88913,Sulphur Springs,588,311,Climb,Demo
58,37.08372,-121.88935,Sulphur Springs,588,311,Climb,Demo
59,37.08349,-121.88963,Sulphur Springs,588,311,Climb,Demo
60,37.0834,-121.88977,Sulphur Springs,588,311,Climb,Demo
61,37.08339,-121.88991,Sulphur Springs,588,311,Climb,Demo
62,37.08336,-121.88998,Sulphur Springs,588,311,Climb,Demo
63,37.08322,-121.89006,Sulphur Springs,588,311,Climb,Demo
64,37.08306,-121.89012,Sulphur Springs,588,311,Climb,Demo
65,37.08298,-121.89019,Sulphur Springs,588,311,Climb,Demo
66,37.08272,-121.89016,Sulphur Springs,588,311,Climb,Demo
67,37.08256,-121.89023,Sulphur Springs,588,311,Climb,Demo
68,37.08248,-121.89022,Sulphur Springs,588,311,Climb,Demo
69,37.08228,-121.89024,Sulphur Springs,588,311,Climb,Demo
70,37.08222,-121.89027,Sulphur Springs,588,311,Climb,Demo
71,37.08199,-121.8902,Sulphur Springs,588,311,Climb,Demo
72,37.08186,-121.89005,Sulphur Springs,588,311,Climb,Demo
73,37.08179,-121.89,Sulphur Springs,588,311,Climb,Demo
74,37.08166,-121.88995,Sulphur Springs,588,311,Climb,Demo
75,37.08153,-121.88992,Sulphur Springs,588,311,Climb,Demo
76,37.08139,-121.8898,Sulphur Springs,588,311,Climb,Demo
77,37.08126,-121.88965,Sulphur Springs,588,311,Climb,Demo
78,37.08132,-121.88937,Sulphur Springs,588,311,Climb,Demo
79,37.08132,-121.8892,Sulphur Springs,588,311,Climb,Demo
80,37.08135,-121.88905,Sulphur Springs,588,311,Climb,Demo
81,37.08133,-121.88892,Sulphur Springs,588,311,Climb,Demo
82,37.08126,-121.88883,Sulphur Springs,588,311,Climb,Demo
83,37.08116,-121.88879,Sulphur Springs,588,311,Climb,Demo
84,37.08113,-121.88876,Sulphur Springs,588,311,Climb,Demo
85,37.081,-121.88856,Sulphur Springs,588,311,Climb,Demo
86,37.08096,-121.88844,Sulphur Springs,588,311,Climb,Demo
87,37.08093,-121.88823,Sulphur Springs,588,311,Climb,Demo
88,37.08093,-121.88814,Sulphur Springs,588,311,Climb,Demo
89,37.08088,-121.88789,Sulphur Springs,588,311,Climb,Demo
90,37.08077,-121.88765,Sulphur Springs,588,311,Climb,Demo
91,37.0808,-121.88745,Sulphur Springs,588,311,Climb,Demo
92,37.08076,-121.88739,Sulphur Springs,588,311,Climb,Demo
93,37.08073,-121.88727,Sulphur Springs,588,311,Climb,Demo
94,37.08077,-121.8871,Sulphur Springs,588,311,Climb,Demo
95,37.08083,-121.88695,Sulphur Springs,588,311,Climb,Demo
96,37.08082,-121.88674,Sulphur Springs,588,311,Climb,Demo
97,37.08096,-121.88659,Sulphur Springs,588,311,Climb,Demo
98,37.08103,-121.88622,Sulphur Springs,588,311,Climb,Demo
99,37.081,-121.8861,Sulphur Springs,588,311,Climb,Demo
100,37.081,-121.88586,Sulphur Springs,588,311,Climb,Demo
101,37.08089,-121.88571,Sulphur Springs,588,311,Climb,Demo
102,37.08084,-121.88558,Sulphur Springs,588,311,Climb,Demo
103,37.08081,-121.88557,Sulphur Springs,588,311,Climb,Demo
104,37.08056,-121.88578,Sulphur Springs,588,311,Climb,Demo
105,37.08047,-121.88581,Sulphur Springs,588,311,Climb,Demo
106,37.08041,-121.8858,Sulphur Springs,588,311,Climb,Demo
107,37.08028,-121.88571,Sulphur Springs,588,311,Climb,Demo
108,37.08012,-121.88558,Sulphur Springs,588,311,Climb,Demo
109,37.08012,-121.8855,Sulphur Springs,588,311,Climb,Demo
110,37.08009,-121.88543,Sulphur Springs,588,311,Climb,Demo
