,lat,long,name,pedal_ct,ebike_ct,type,region
0,37.02194,-122.07226,Sweetness,787,242,DH,UCSC
1,37.02202,-122.07214,Sweetness,787,242,DH,UCSC
2,37.02216,-122.07206,Sweetness,787,242,DH,UCSC
3,37.02228,-122.07173,Sweetness,787,242,DH,UCSC
4,37.02233,-122.07164,Sweetness,787,242,DH,UCSC
5,37.02234,-122.07159,Sweetness,787,242,DH,UCSC
6,37.02233,-122.07156,Sweetness,787,242,DH,UCSC
7,37.02226,-122.07143,Sweetness,787,242,DH,UCSC
8,37.02224,-122.07131,Sweetness,787,242,DH,UCSC
9,37.02226,-122.0712,Sweetness,787,242,DH,UCSC
10,37.02235,-122.07103,Sweetness,787,242,DH,UCSC
11,37.02239,-122.07083,Sweetness,787,242,DH,UCSC
12,37.0224,-122.07077,Sweetness,787,242,DH,UCSC
13,37.02238,-122.07051,Sweetness,787,242,DH,UCSC
14,37.0224,-122.07038,Sweetness,787,242,DH,UCSC
15,37.02245,-122.07024,Sweetness,787,242,DH,UCSC
16,37.02263,-122.06999,Sweetness,787,242,DH,UCSC
17,37.02267,-122.06989,Sweetness,787,242,DH,UCSC
18,37.02266,-122.06983,Sweetness,787,242,DH,UCSC
19,37.02259,-122.06965,Sweetness,787,242,DH,UCSC
20,37.02261,-122.06954,Sweetness,787,242,DH,UCSC
21,37.02259,-122.06943,Sweetness,787,242,DH,UCSC
22,37.02257,-122.06937,Sweetness,787,242,DH,UCSC
23,37.02258,-122.06926,Sweetness,787,242,DH,UCSC
24,37.02267,-122.06905,Sweetness,787,242,DH,UCSC
25,37.02293,-122.06867,Sweetness,787,242,DH,UCSC
26,37.0231,-122.06852,Sweetness,787,242,DH,UCSC
27,37.02329,-122.06837,Sweetness,787,242,DH,UCSC
28,37.02334,-122.06815,Sweetness,787,242,DH,UCSC
29,37.02342,-122.06803,Sweetness,787,242,DH,UCSC
30,37.0235,-122.068,Sweetness,787,242,DH,UCSC
31,37.02353,-122.06802,Sweetness,787,242,DH,UCSC
32,37.02359,-122.068,Sweetness,787,242,DH,UCSC
33,37.02379,-122.06788,Sweetness,787,242,DH,UCSC
34,37.02384,-122.06784,Sweetness,787,242,DH,UCSC
35,37.02394,-122.06764,Sweetness,787,242,DH,UCSC
36,37.02409,-122.06746,Sweetness,787,242,DH,UCSC
37,37.02445,-122.06731,Sweetness,787,242,DH,UCSC
38,37.02464,-122.06728,Sweetness,787,242,DH,UCSC
39,37.02476,-122.06729,Sweetness,787,242,DH,UCSC
40,37.02486,-122.06727,Sweetness,787,242,DH,UCSC
41,37.02514,-122.06737,Sweetness,787,242,DH,UCSC
42,37.02528,-122.06738,Sweetness,787,242,DH,UCSC
43,37.02535,-122.06736,Sweetness,787,242,DH,UCSC
44,37.0256,-122.06716,Sweetness,787,242,DH,UCSC
45,37.02618,-122.06679,Sweetness,787,242,DH,UCSC
46,37.02677,-122.06671,Sweetness,787,242,DH,UCSC
47,37.02696,-122.06662,Sweetness,787,242,DH,UCSC
48,37.02714,-122.06666,Sweetness,787,242,DH,UCSC
49,37.02718,-122.06665,Sweetness,787,242,DH,UCSC
50,37.02763,-122.06631,Sweetness,787,242,DH,UCSC
51,37.0279,-122.06614,Sweetness,787,242,DH,UCSC
52,37.0281,-122.06597,Sweetness,787,242,DH,UCSC
53,37.02855,-122.06578,Sweetness,787,242,DH,UCSC
54,37.02875,-122.06564,Sweetness,787,242,DH,UCSC
55,37.02888,-122.06562,Sweetness,787,242,DH,UCSC
56,37.02896,-122.06558,Sweetness,787,242,DH,UCSC
57,37.029,-122.06555,Sweetness,787,242,DH,UCSC
58,37.02903,-122.0655,Sweetness,787,242,DH,UCSC
59,37.02905,-122.06544,Sweetness,787,242,DH,UCSC
60,37.02905,-122.06535,Sweetness,787,242,DH,UCSC
61,37.02903,-122.06532,Sweetness,787,242,DH,UCSC
62,37.02906,-122.06506,Sweetness,787,242,DH,UCSC
63,37.02904,-122.06494,Sweetness,787,242,DH,UCSC
64,37.02896,-122.06478,Sweetness,787,242,DH,UCSC
65,37.02896,-122.06472,Sweetness,787,242,DH,UCSC
66,37.02901,-122.06456,Sweetness,787,242,DH,UCSC
67,37.0291,-122.06443,Sweetness,787,242,DH,UCSC
68,37.02925,-122.06441,Sweetness,787,242,DH,UCSC
69,37.02932,-122.06438,Sweetness,787,242,DH,UCSC
70,37.02941,-122.06433,Sweetness,787,242,DH,UCSC
71,37.02955,-122.06415,Sweetness,787,242,DH,UCSC
72,37.02968,-122.06408,Sweetness,787,242,DH,UCSC
73,37.02968,-122.06394,Sweetness,787,242,DH,UCSC
